"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1975.tb01599.x","solanum lycopersicum (tomato)","botrytis cinerea","""stem","leaves","fruit""","present; pathogenic; caused grey mould infections",NA,NA,"abstract-csv","doi_10.1111_j.1744-7348.1975.tb01599.x","Abstract"
"Relevant","abstract","abstract",0,"10.5586/aa.1977.024","linum usitatissimum (flax)","fusarium sp.","soil","present","pathogenic","soil-borne infection",NA,NA,"abstract-csv","doi_10.5586_aa.1977.024","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf02980298","fragaria x ananassa (strawberry","botrytis cinerea pers.","leaf","present","pathogenic","caused fruit rot","not specified","not specified","abstract-csv","doi_10.1007_bf02980298","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf02980298","cv. tioga)","botrytis cinerea pers.","leaf","present","pathogenic","caused fruit rot","not specified","not specified","abstract-csv","doi_10.1007_bf02980298","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877709412477","oryza sativa l.","not mentioned (nematode","roots","present","pathogenic","""caused by the nematode; artificially inoculated to rice plants""","deep-water rice field","not specified","abstract-csv","doi_10.1080_09670877709412477","Abstract"
"Relevant","abstract","abstract",0,"10.1080/09670877709412477","oryza sativa l.","ditylenchus angustus is not a fungus)","roots","present","pathogenic","""caused by the nematode; artificially inoculated to rice plants""","deep-water rice field","not specified","abstract-csv","doi_10.1080_09670877709412477","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1365-3059.1975.tb01880.x","avena sativa (oat)","pyrenophora avenae","seed","present","pathogenic","cause of leaf spot and seedling blight",NA,"northern ireland","abstract-csv","doi_10.1111_j.1365-3059.1975.tb01880.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1365-2338.1976.tb01551.x","solanum tuberosum (tomato)","striga spp.","not specified","present","pathogenic","""the text suggests the tomato is a susceptible host to potato wart disease; caused by striga spp.""","not specified","newfoundland","abstract-csv","doi_10.1111_j.1365-2338.1976.tb01551.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1365-2338.1972.tb02122.x","tulipa spp.","botrytis tulipae lind","not specified","present","pathogenic","soil-borne pathogen causing disease in tulips","agricultural soil","not specified","abstract-csv","doi_10.1111_j.1365-2338.1972.tb02122.x","Abstract"
"Relevant","abstract","abstract",0,"10.1139/m75-258","populus x euramericana (yellow poplar)","glomus sp.","root","present","mycorrhizal","""intracellular hyphae and vesicles observed in mycorrhizal roots. hyphal deterioration observed; hypothesized to release mineral nutrients absorbed by the host.""",NA,NA,"abstract-csv","doi_10.1139_m75-258","Abstract"
"Relevant","abstract","abstract",0,"10.1071/ea9720185","musa acuminata (banana)","gloesporium musarum","""cut surface","crown tissues in hands""","present","pathogenic; causes crown rot disease; tropical","""new south wales","australia""","abstract-csv","doi_10.1071_ea9720185","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1973.tb07743.x","apium graveolens",NA,NA,"present","unknown","the text does not provide information about any fungal interaction with the plant host.; ; ; abstract-csv; doi_10.1111_j.1744-7348.1973.tb07743.x relelevant; abstract; abstract; 0; 10.1002/ps.2780070409; higher plants; target fungus (unspecified); ""leaf; spores""; present; pathogenic; mycelium and spores show differing susceptibility to fungicide; activity in vitro does not always reflect effectiveness in vivo; emergence of insensitive strains",NA,NA,"abstract-csv","doi_10.1002_ps.2780070409","Abstract"
"Relevant","abstract","abstract",0,"10.1080/03015521.1976.10425852","solanum tuberosum (potato)","rhizoctonia solani kuhn","stem","present","pathogenic","causes potato black scurf disease","agricultural","not specified","abstract-csv","doi_10.1080_03015521.1976.10425852","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf03041434","cucumis sativus (cucumber)","cladosporium cucumerinum",NA,"present","pathogenic","resistance to triforine observed after uv irradiation and selection of resistant strains.","greenhouse","dutch (based on the publishing organization)","abstract-csv","doi_10.1007_bf03041434","Abstract"
"Relevant","abstract","abstract",0,"10.1093/oxfordjournals.aob.a084575","aesculus indica colebr.","endogone sp.","root","present","mycorrhizal","nodules develop without any fungal stimulus but are occupied by endogone in nature. typical endogone infection was synthesized when endogone spores were added to the autoclaved sand.",NA,NA,"abstract-csv","doi_10.1093_oxfordjournals.aob.a084575","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01976639","lycopersicon esculentum (tomato)",NA,NA,"present","pathogenic","isolated from tomatoes under glass in the netherlands","agricultural (glasshouse)","netherlands","abstract-csv","doi_10.1007_bf01976639","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1976.tb00590.x","fragaria x ananassa (strawberry)","verticillium dahliae","soil","present","pathogenic","""the text describes the strawberry plant as being affected by verticillium dahliae; suggesting a pathogenic interaction.""",NA,NA,"abstract-csv","doi_10.1111_j.1744-7348.1976.tb00590.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1974.tb01503.x","hordeum vulgare cv. zephyr (barley)","puccinia hordei","leaf","present","pathogenic","""interaction noted as affecting development and severity of both pathogens on the same leaf; with pre-inoculation reducing the development of the other.""","agricultural field","not specified","abstract-csv","doi_10.1111_j.1744-7348.1974.tb01503.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1974.tb01503.x","hordeum vulgare cv. zephyr (barley)","erysiphe graminis","leaf","present","pathogenic","""interaction noted as affecting development and severity of both pathogens on the same leaf; with pre-inoculation reducing the development of the other.""","agricultural field","not specified","abstract-csv","doi_10.1111_j.1744-7348.1974.tb01503.x","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01981496","cyclamen spp.","botrytis cinerea","not specified","present","pathogenic","isolated from cyclamen that had been sprayed with benlate (benomyl)",NA,"not specified","abstract-csv","doi_10.1007_bf01981496","Abstract"
"Relevant","abstract","abstract",0,"10.1071/ch9742261","triticum aestivum (wheat)","erysiphe graminis","root","present","pathogenic","applied to plant roots as a fungicide against wheat mildew.","not_specified","not_specified","abstract-csv","doi_10.1071_ch9742261","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01976954","not specified","schimmels",NA,"present","pathogenic","mentioned in literature but no specific context provided","not specified","netherlands","abstract-csv","doi_10.1007_bf01976954","Abstract"
"Relevant","abstract","abstract",0,"10.1016/0048-3575(75)90058-9","unknown","ustilago maydis",NA,"present","pathogenic (for ustilago maydis and cryptococcus laurentii)","""systemically active fungicide; inhibits mitochondrial succinic dehydrogenase complex""",NA,NA,"abstract-csv","doi_10.1016_0048-3575(75)90058-9","Abstract"
"Relevant","abstract","abstract",0,"10.1016/0048-3575(75)90058-9","unknown","cryptococcus laurentii",NA,"present","pathogenic (for ustilago maydis and cryptococcus laurentii)","""systemically active fungicide; inhibits mitochondrial succinic dehydrogenase complex""",NA,NA,"abstract-csv","doi_10.1016_0048-3575(75)90058-9","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1365-3059.1972.tb01745.x","aphis gossypii","cephalosporium aphidicola","implicitly plant surface","present","pathogenic (to aphids)","""inhibition of fungal development observed in vitro; not on individuals feeding on treated cucumber plants""","implicitly greenhouse or controlled environment","not specified","abstract-csv","doi_10.1111_j.1365-3059.1972.tb01745.x","Abstract"
"Relevant","abstract","abstract",0,"10.1002/ps.2780050302","not_mentioned","not_mentioned","protoplast","present","pathogenic","""study investigates the effects of tridemorph on fungi; focusing on mycelial growth inhibition and potential protein synthesis interference""","not_mentioned","not_mentioned","abstract-csv","doi_10.1002_ps.2780050302","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1365-2338.1973.tb02093.x","phaseolus vulgaris (beans)","benomyl","seed","present","systemic fungicide","seed treatment results in important passage of benomyl through the teguments.",NA,NA,"abstract-csv","doi_10.1111_j.1365-2338.1973.tb02093.x","Abstract"
"Relevant","full-text","full-text",13,"10.1038/231332a0","acer pseudoplatanus","aureobasidium pullulans","leaf","present","unknown","isolated from surface-sterilized leaves","not specified","not specified","full-text","doi_10.1038_231332a0","Full-Text"
"Relevant","full-text","full-text",13,"10.1038/231332a0","acer pseudoplatanus","cladosporium herbarum","leaf","present","unknown","isolated from surface-sterilized leaves","not specified","not specified","full-text","doi_10.1038_231332a0","Full-Text"
"Relevant","full-text","full-text",13,"10.1038/231332a0","acer pseudoplatanus","epicoccum nigrum","leaf","present","unknown","isolated from surface-sterilized leaves","not specified","not specified","full-text","doi_10.1038_231332a0","Full-Text"
"Relevant","abstract","abstract",0,"10.1017/s0014479700005330","cucumis sativus (cucumber)","oidium sp.","surface of cucumber","present","pathogenic","caused powdery mildew disease on cucumbers",NA,NA,"abstract-csv","doi_10.1017_s0014479700005330","Abstract"
"Uncertain","abstract","abstract",0,"10.1021/jf60188a048","no plant host mentioned","no fungus mentioned",NA,"present","not applicable",NA,NA,NA,"abstract-csv","doi_10.1021_jf60188a048","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1365-2338.1973.tb02094.x","sphaerotheca fuliginea (schlecht.) salm.","rhizoctonia solani kühn.","not specified","present","pathogenic","isolated from plant in field trials","agricultural","netherlands","abstract-csv","doi_10.1111_j.1365-2338.1973.tb02094.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1973.tb07301.x","malus domestica (apple","podosphaera leucotricha","not specified","present","pathogenic","fungus causing powdery mildew on apple cultivars","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1973.tb07301.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1973.tb07301.x","specifically cox's orange pippin","podosphaera leucotricha","not specified","present","pathogenic","fungus causing powdery mildew on apple cultivars","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1973.tb07301.x","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1973.tb07301.x","golden delicious and jonathan)","podosphaera leucotricha","not specified","present","pathogenic","fungus causing powdery mildew on apple cultivars","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1973.tb07301.x","Abstract"
"Relevant","abstract","abstract",0,"10.1016/0048-4059(75)90088-0","trifolium (clover)","vesicular-arbuscular mycorrhizal fungi","root organ cultures","present","mycorrhizal","infections formed in root organ cultures grown on a modified white's agar medium and liquid culture. pre-germinated spores were used as inoculum.",NA,NA,"abstract-csv","doi_10.1016_0048-4059(75)90088-0","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1744-7348.1975.tb01531.x","rosa spp.","oidium rosae","leaf","present","pathogenic","""the text describes the presence of oidium rosae (powdery mildew) on rosa spp. as a pathogen; but no specific extraction method or interaction notes are provided.""",NA,NA,"abstract-csv","doi_10.1111_j.1744-7348.1975.tb01531.x","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00288233.1975.10421059","grasses","acaulospora laevis","roots","present","mycorrhizal","soil-borne spores and vegetative hyphae identification","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00288233.1975.10421059","grasses","glomus fasciculatus","roots","present","mycorrhizal","soil-borne spores and vegetative hyphae identification","not specified","new zealand","abstract-csv","doi_10.1080_00288233.1975.10421059","Abstract"
