relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1975.tb01599.x,Solanum lycopersicum (Tomato),Botrytis cinerea,"""stem",leaves,"fruit""",Present; Pathogenic; Caused grey mould infections,,,Abstract-CSV,DOI_10.1111_j.1744-7348.1975.tb01599.x
Relevant,Abstract,Abstract,0,10.5586/aa.1977.024,Linum usitatissimum (Flax),Fusarium sp.,Soil,Present,Pathogenic,Soil-borne infection,,,Abstract-CSV,DOI_10.5586_aa.1977.024
Relevant,Abstract,Abstract,0,10.1007/BF02980298,Fragaria x ananassa (strawberry,Botrytis cinerea Pers.,leaf,Present,Pathogenic,Caused fruit rot,Not specified,Not specified,Abstract-CSV,DOI_10.1007_BF02980298
Relevant,Abstract,Abstract,0,10.1007/BF02980298,cv. Tioga),Botrytis cinerea Pers.,leaf,Present,Pathogenic,Caused fruit rot,Not specified,Not specified,Abstract-CSV,DOI_10.1007_BF02980298
Relevant,Abstract,Abstract,0,10.1080/09670877709412477,Oryza sativa L.,Not mentioned (nematode,Roots,Present,Pathogenic,"""Caused by the nematode; artificially inoculated to rice plants""",Deep-water rice field,Not specified,Abstract-CSV,DOI_10.1080_09670877709412477
Relevant,Abstract,Abstract,0,10.1080/09670877709412477,Oryza sativa L.,Ditylenchus angustus is not a fungus),Roots,Present,Pathogenic,"""Caused by the nematode; artificially inoculated to rice plants""",Deep-water rice field,Not specified,Abstract-CSV,DOI_10.1080_09670877709412477
Relevant,Abstract,Abstract,0,10.1111/j.1365-3059.1975.tb01880.x,Avena sativa (Oat),Pyrenophora avenae,Seed,Present,Pathogenic,Cause of leaf spot and seedling blight,,Northern Ireland,Abstract-CSV,DOI_10.1111_j.1365-3059.1975.tb01880.x
Relevant,Abstract,Abstract,0,10.1111/j.1365-2338.1976.tb01551.x,Solanum tuberosum (Tomato),Striga spp. (Potato Wart Disease causal agent),Not specified,Present,Pathogenic,"""The text suggests the Tomato is a susceptible host to Potato Wart Disease; caused by Striga spp.""",Not specified,Newfoundland,Abstract-CSV,DOI_10.1111_j.1365-2338.1976.tb01551.x
Relevant,Abstract,Abstract,0,10.1111/j.1365-2338.1972.tb02122.x,Tulipa spp.,Botrytis tulipae (Lib.) Lind,Not specified,Present,Pathogenic,Soil-borne pathogen causing disease in tulips,Agricultural soil,Not specified,Abstract-CSV,DOI_10.1111_j.1365-2338.1972.tb02122.x
Relevant,Abstract,Abstract,0,10.1139/m75-258,Populus x euramericana (Yellow Poplar),Glomus sp. (Vesicular-arbuscular Mycorrhiza),Root,Present,Mycorrhizal,"""Intracellular hyphae and vesicles observed in mycorrhizal roots. Hyphal deterioration observed; hypothesized to release mineral nutrients absorbed by the host.""",,,Abstract-CSV,DOI_10.1139_m75-258
Relevant,Abstract,Abstract,0,10.1071/EA9720185,Musa acuminata (Banana),Gloesporium musarum,"""cut surface","crown tissues in hands""",Present,Pathogenic; Causes crown rot disease; Tropical,"""New South Wales","Australia""",Abstract-CSV,DOI_10.1071_EA9720185
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1973.tb07743.x,Apium graveolens,Not mentioned,,Present,Unknown,"The text does not provide information about any fungal interaction with the plant host.; ; ; Abstract-CSV; DOI_10.1111_j.1744-7348.1973.tb07743.x Relelevant; Abstract; Abstract; 0; 10.1002/ps.2780070409; Higher Plants; Target Fungus (Unspecified); ""Leaf; Spores""; Present; Pathogenic; Mycelium and spores show differing susceptibility to fungicide; activity in vitro does not always reflect effectiveness in vivo; emergence of insensitive strains",,,Abstract-CSV,DOI_10.1002_ps.2780070409
Relevant,Abstract,Abstract,0,10.1080/03015521.1976.10425852,Solanum tuberosum (Potato),Rhizoctonia solani Kuhn,Stem,Present,Pathogenic,Causes potato black scurf disease,Agricultural,Not specified,Abstract-CSV,DOI_10.1080_03015521.1976.10425852
Relevant,Abstract,Abstract,0,10.1007/BF03041434,Cucumis sativus (Cucumber),Cladosporium cucumerinum,,Present,Pathogenic,Resistance to triforine observed after UV irradiation and selection of resistant strains.,Greenhouse,Dutch (Based on the publishing organization),Abstract-CSV,DOI_10.1007_BF03041434
Relevant,Abstract,Abstract,0,10.1093/oxfordjournals.aob.a084575,Aesculus indica Colebr.,Endogone sp.,root,Present,Mycorrhizal,Nodules develop without any fungal stimulus but are occupied by Endogone in nature. Typical Endogone infection was synthesized when Endogone spores were added to the autoclaved sand.,,,Abstract-CSV,DOI_10.1093_oxfordjournals.aob.a084575
Relevant,Abstract,Abstract,0,10.1007/BF01976639,Lycopersicon esculentum (Tomato),Fusarium oxysporum Schlecht. f. lycopersici (Sacc.) Snyder & Hansen,,Present,Pathogenic,Isolated from tomatoes under glass in the Netherlands,Agricultural (glasshouse),Netherlands,Abstract-CSV,DOI_10.1007_BF01976639
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1976.tb00590.x,Fragaria x ananassa (Strawberry),Verticillium dahliae,Soil,Present,Pathogenic,"""The text describes the strawberry plant as being affected by Verticillium dahliae; suggesting a pathogenic interaction.""",,,Abstract-CSV,DOI_10.1111_j.1744-7348.1976.tb00590.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1974.tb01503.x,Hordeum vulgare cv. Zephyr (Barley),['Puccinia hordei',leaf,Present,Pathogenic,"""Interaction noted as affecting development and severity of both pathogens on the same leaf; with pre-inoculation reducing the development of the other.""",Agricultural field,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1974.tb01503.x
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1974.tb01503.x,Hordeum vulgare cv. Zephyr (Barley),'Erysiphe graminis'],leaf,Present,Pathogenic,"""Interaction noted as affecting development and severity of both pathogens on the same leaf; with pre-inoculation reducing the development of the other.""",Agricultural field,Not specified,Abstract-CSV,DOI_10.1111_j.1744-7348.1974.tb01503.x
Relevant,Abstract,Abstract,0,10.1007/BF01981496,Cyclamen spp.,Botrytis cinerea,Not specified,Present,Pathogenic,Isolated from cyclamen that had been sprayed with Benlate (Benomyl),,Not specified,Abstract-CSV,DOI_10.1007_BF01981496
Relevant,Abstract,Abstract,0,10.1071/CH9742261,Triticum aestivum (Wheat),Erysiphe graminis,root,Present,Pathogenic,Applied to plant roots as a fungicide against wheat mildew.,Not_Specified,Not_Specified,Abstract-CSV,DOI_10.1071_CH9742261
Relevant,Abstract,Abstract,0,10.1007/BF01976954,Not specified,Schimmels (Fungi),,Present,Pathogenic,Mentioned in literature but no specific context provided,Not specified,Netherlands,Abstract-CSV,DOI_10.1007_BF01976954
Relevant,Abstract,Abstract,0,10.1016/0048-3575(75)90058-9,Unknown,Ustilago maydis,,Present,Pathogenic (for Ustilago maydis and Cryptococcus laurentii),"""Systemically active fungicide; inhibits mitochondrial succinic dehydrogenase complex""",,,Abstract-CSV,DOI_10.1016_0048-3575(75)90058-9
Relevant,Abstract,Abstract,0,10.1016/0048-3575(75)90058-9,Unknown,Cryptococcus laurentii,,Present,Pathogenic (for Ustilago maydis and Cryptococcus laurentii),"""Systemically active fungicide; inhibits mitochondrial succinic dehydrogenase complex""",,,Abstract-CSV,DOI_10.1016_0048-3575(75)90058-9
