"code","iso","country","CDO.raw.1850","CDO.raw.1851","CDO.raw.1852","CDO.raw.1853","CDO.raw.1854","CDO.raw.1855","CDO.raw.1856","CDO.raw.1857","CDO.raw.1858","CDO.raw.1859","CDO.raw.1860","CDO.raw.1861","CDO.raw.1862","CDO.raw.1863","CDO.raw.1864","CDO.raw.1865","CDO.raw.1866","CDO.raw.1867","CDO.raw.1868","CDO.raw.1869","CDO.raw.1870","CDO.raw.1871","CDO.raw.1872","CDO.raw.1873","CDO.raw.1874","CDO.raw.1875","CDO.raw.1876","CDO.raw.1877","CDO.raw.1878","CDO.raw.1879","CDO.raw.1880","CDO.raw.1881","CDO.raw.1882","CDO.raw.1883","CDO.raw.1884","CDO.raw.1885","CDO.raw.1886","CDO.raw.1887","CDO.raw.1888","CDO.raw.1889","CDO.raw.1890","CDO.raw.1891","CDO.raw.1892","CDO.raw.1893","CDO.raw.1894","CDO.raw.1895","CDO.raw.1896","CDO.raw.1897","CDO.raw.1898","CDO.raw.1899","CDO.raw.1900","CDO.raw.1901","CDO.raw.1902","CDO.raw.1903","CDO.raw.1904","CDO.raw.1905","CDO.raw.1906","CDO.raw.1907","CDO.raw.1908","CDO.raw.1909","CDO.raw.1910","CDO.raw.1911","CDO.raw.1912","CDO.raw.1913","CDO.raw.1914","CDO.raw.1915","CDO.raw.1916","CDO.raw.1917","CDO.raw.1918","CDO.raw.1919","CDO.raw.1920","CDO.raw.1921","CDO.raw.1922","CDO.raw.1923","CDO.raw.1924","CDO.raw.1925","CDO.raw.1926","CDO.raw.1927","CDO.raw.1928","CDO.raw.1929","CDO.raw.1930","CDO.raw.1931","CDO.raw.1932","CDO.raw.1933","CDO.raw.1934","CDO.raw.1935","CDO.raw.1936","CDO.raw.1937","CDO.raw.1938","CDO.raw.1939","CDO.raw.1940","CDO.raw.1941","CDO.raw.1942","CDO.raw.1943","CDO.raw.1944","CDO.raw.1945","CDO.raw.1946","CDO.raw.1947","CDO.raw.1948","CDO.raw.1949","CDO.raw.1950","CDO.raw.1951","CDO.raw.1952","CDO.raw.1953","CDO.raw.1954","CDO.raw.1955","CDO.raw.1956","CDO.raw.1957","CDO.raw.1958","CDO.raw.1959","CDO.raw.1960","CDO.raw.1961","CDO.raw.1962","CDO.raw.1963","CDO.raw.1964","CDO.raw.1965","CDO.raw.1966","CDO.raw.1967","CDO.raw.1968","CDO.raw.1969","CDO.raw.1970","CDO.raw.1971","CDO.raw.1972","CDO.raw.1973","CDO.raw.1974","CDO.raw.1975","CDO.raw.1976","CDO.raw.1977","CDO.raw.1978","CDO.raw.1979","CDO.raw.1980","CDO.raw.1981","CDO.raw.1982","CDO.raw.1983","CDO.raw.1984","CDO.raw.1985","CDO.raw.1986","CDO.raw.1987","CDO.raw.1988","CDO.raw.1989","CDO.raw.1990","CDO.raw.1991","CDO.raw.1992","CDO.raw.1993","CDO.raw.1994","CDO.raw.1995","CDO.raw.1996","CDO.raw.1997","CDO.raw.1998","CDO.raw.1999","CDO.raw.2000","CDO.raw.2001","CDO.raw.2002","CDO.raw.2003","CDO.raw.2004","CDO.raw.2005","CDO.raw.2006","CDO.raw.2007","CDO.raw.2008","CDO.raw.2009","CDO.raw.2010","CDO.raw.2011","CDO.raw.2012","CDO.raw.2013","CDO.raw.2014","CDO.raw.2015","CDO.raw.2016","CDO.raw.2017","CDO.raw.2018","CDO.raw.2019","CDO.raw.2020","CDO.raw.2021","CDO.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.656,84.272,91.6,91.6,106.256,106.256,153.888,183.2,293.12,329.76,384.571420472442,413.884723801632,490.797704566929,688.594272755905,706.735977322833,838.550829606299,1006.91653417323,1091.15881826772,1281.86511370079,1223.39084638289,941.231977322833,1670.39684420247,1893.55350174036,1530.34689387576,1635.45360477954,1913.15233432248,2121.3828968918,1980.85859914796,2384.17492418396,2153.29973608393,2232.75421743787,1756.3024923918,1978.46268983778,2094.58052041183,2519.95376883639,2821.539726236,3501.42174643251,3133.64489083782,3113.82608856231,2856.89592205929,2764.8550301002,2024.326,1914.30111450382,1482.054,1486.943,1453.82890954774,1417.327,1370.104,1304.152,1278.504,1091.64,1047.128,1069.098,1340.99549322493,1559.60248955917,1237.247,1889.507,2159.31807251265,2799.909,4254.47736551722,6391.88759633028,8364.80299999999,11838.316,10035.314,9250.51,9170.30936741215,9791.093,9067.59834387674,9867.96900000002,10818.0482189781,11081.6211236859,11888.0658680657,12283.1484881211,12147.9484857952
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.328,7.328,18.32,128.210284094488,296.724568188977,348.08,432.352,692.496,626.484568188976,743.792,461.664,153.888,120.912,483.648,926.992,703.488,1014.928,296.72529296716,402.980568188976,373.66914519685,413.972568188976,501.908568188976,663.005704566929,838.788556850395,1505.60684094488,1201.46512503937,1443.31884094488,2022.23084094488,2278.53330868113,2461.73254551181,2080.61711370079,2014.6948296063,2172.1586824253,2549.578585418,2677.49252283465,3069.21364787402,3241.30278425197,3739.48649310113,4348.02314165046,5637.97729763739,5286.40569098787,4341.51215513594,4591.17163805031,4947.19790617516,5717.34294907945,6491.24472928783,7583.97089615258,5170.83660803242,7339.6219092425,7307.60666806157,7630.8092347803,7825.90291316995,7881.54047691409,8058.07733775945,7447.08078461061,7329.22190778297,8986.16904820521,5520.60200174035,4290.22550677219,2517.11606287421,2337.99871532265,1923.8060704853,2089.06490943057,2017.50792305889,1543.00922317525,1754.70912229586,2986.19581658338,3024.92593356099,3220.656,3748.272,4303.49945572246,4176.68440892595,4261.41303667584,3910.7149793938,3948.96960453977,4397.04310829224,4406.55199999999,4783.865,5314.67599999998,4850.06,5287.46542679319,5999.65048866599,4712.14404669678,4631.97891230409,5293.04769152514,4894.95324134938,4826.94374581728,5018.92141354055,4903.652005091,4954.72978004645
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.664,7.328,18.32,18.32,21.984,25.648,25.648,14.656,29.312,32.976,40.304,58.624,73.0719886614174,80.3806087230401,84.0045568503935,98.6194117504542,113.227409133858,120.614840944882,138.845693228347,131.643785043626,51.0285568503935,69.3485568503939,32.976,161.216,238.16,311.44,498.304,468.665125039371,497.920512985805,615.135977322833,761.638820413667,743.286829606299,801.883545002147,908.164784382032,3783.60450015748,4131.17932976378,3889.20675023622,3999.00598000247,4152.30156850395,4606.57813669293,4995.05322193002,5537.08555716534,5214.11867086616,5657.01693228347,6151.24090960629,6055.92009925885,5661.01009308299,5419.15409133857,5643.04439811024,6588.53302429613,8420.86156850395,8431.58740276406,9050.23610352334,11262.9678944022,15058.9597959055,18649.531216378,28322.6397959055,38277.4009209449,31876.6603640945,32001.2070869884,39131.0704639789,41844.9131447478,62455.2664809906,45545.5515261029,66416.4674404841,46341.9820794678,39173.029228976,52503.9091385964,70946.5302151656,72609.0684260633,76080.38820378,83883.5021947267,83708.0410860312,79808.2659997961,76737.6283480091,78806.8339293137,79883.3053222643,81943.9699970194,88608.3896032051,96776.918545192,100039.431185118,88369.4135587351,106536.558894902,91449.1037572909,85398.5971183979,86839.2524933301,90692.38361108,94580.6095744043,91714.2289514461,110992.516141587,105896.178330666,109889.441844513,111087.40849474,118856.33335162,118353.260485068,125094.566806627,135674.290582072,140786.380056714,151282.791026104,160087.451198648,158481.621294501,165089.606484921,171276.017931052,178577.208914038,169892.757006264,180225.210122426,176345.144988397
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.704,406.704,406.704,410.368,406.704,425.024,454.336,465.328,490.976,512.96,523.952,523.952,531.28,534.944,560.592,575.248,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,468.992,465.328,494.64,483.648,373.728,363.046230424386,368.64535841323
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.864,249.152,311.44,274.681136377953,347.903561811024,413.734840944881,501.611409133857,618.681113700789,592.884534173228,618.591965984252,548.950579548418,453.706892536968,1179.1266501665,1149.72338645669,1222.91423874016,1186.15537511811,1552.46622740157,991.814795590551,1669.53866297076,2783.09273704107,3577.91718320983,3405.38275291829,4500.53220156969,4873.66382992126,4866.39756303924,4408.81128440946,3280.04230792729,3527.51096798055,5399.80809545918,5489.19101357814,5334.35163565001,5266.77401655083,4635.17857250112,5100.53482558548,4985.84694264555,4676.11424203712,4633.83950258729,5786.02876313745,5049.30573378161,4922.74974194999,5089.86393479014,5064.05441061205,5164.44854632725,5748.38872264751,11353.2480891868,12616.6504619177,15248.9567187538,15884.2494577448,16513.2940273303,17261.2778466703,15995.1075497942,15908.4614116944,16080.0016293949,17484.4279072775,17015.6870396701,15386.8186159691,17144.8391357931,17587.9374494314,18750.1563653134,20668.3313958509,22983.3207636783,23397.0309210925,25940.9598503748,25709.7410621127,24767.7250913395,26030.3577881436,23992.7061868084,22617.0270531367,21434.457795376,19222.1725663289,16764.7857375548,17505.7151431895,16070.2679825779
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.632,47.632,47.632,54.96,54.96,58.624,62.288,62.288,65.952,65.952,76.944,84.272,84.272,87.936,102.592,109.92,120.912,124.576,124.576,124.576,131.904,124.576,120.912,117.248,120.912,139.232,139.232,128.24,131.904,146.56,142.896,137.698330397673,138.967388631334
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.984,29.312,29.312,36.64,47.632,102.592,84.272,91.6,150.224,348.08,564.256,989.28,1256.752,461.664,425.024,373.728,329.76,428.688,707.152,403.04,465.328,490.976,406.704,142.896,106.256,293.12,84.272,146.56,249.152,249.152,274.8,285.792,285.792,241.824,249.152,249.152,256.48,267.472,271.136,289.456,311.44,322.432,344.416,355.408,370.064,406.704,428.688,450.672,479.984,516.624,534.944,538.608,556.928,549.6,545.936,556.928,556.928,567.92,582.576,597.232,604.56,615.552,641.2,619.216,596.692765056584,602.192017402446
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1084.544,890.352,1755.056,1370.336,937.984,1384.992,1553.536,1993.216,2264.352,2304.656,2081.152,2348.624,2920.208,2070.16,2491.52,2813.952,2861.584,3795.904,3982.768,6254.448,6254.448,7617.456,5935.68,8907.184,9944.096,9478.768,10145.616,8672.688,6939.616,4986.704,2231.376,2520.832,3726.288,5891.712,5539.968,7298.688,8445.52,10959.024,11237.488,11259.472,13373.6,12738.7770910236,13130.3496365354,12767.4947729134,12843.8147388977,13100.4433184252,13232.287310565,14239.6798752756,13997.2310789146,15095.9861026772,16710.9789755658,16347.4088864669,17377.4694664567,15864.4147530588,13940.4591710236,13479.1802985286,14076.8899372438,13951.8077618898,13665.9860459843,13702.4180346457,14514.933169938,17391.620296063,15364.6259666142,29921.1927962205,34962.9162280315,36095.121943937,35134.7379212598,36750.3545970629,39559.98816,44296.737830551,47607.7754784252,44192.511455748,48948.7994784252,48764.4999899214,51126.7102173228,53640.1250696065,50032.6600125983,55670.0412756968,58804.8495584252,63072.6666607874,65475.9816114625,69009.2173656694,77248.8698998425,82648.0012409449,88847.1286779263,90066.6401198764,93975.9068334398,95480.3774938804,94845.4795840755,99699.1550766641,100705.868623771,102555.595254085,110616.144490598,108656.130174116,101968.542112024,103351.137013518,105142.036371612,106451.700559264,100531.21579262,104150.065051931,114877.228598386,121404.742314225,117020.421964876,112079.088,117505.744,121230.584,117777.484979622,118469.417531834,125239.786629911,131134.844025161,136523.743828,139004.990816,147673.557727191,142765.208430176,134422.277008,124454.616772827,133993.823552,156712.416966552,161189.172024,174209.916828,173482.074116,187243.459888,178110.958912,185854.335976,189676.105884238,191292.11300925,189537.744865735,188396.532578551,191743.839635632,189920.438158451,186898.879713116,180599.326353631,178511.61499402,166879.580653778,189744.121595931,192864.425331586
51,"ARM","Armenia",0.250711496010915,0,0,0,0,0.760221955645998,0,0,1.0675457249497,1.13224546585574,1.49618150845223,1.900554889115,1.71454313401013,1.79541781014268,2.01377943570057,1.92481729195476,6.081775645168,6.97948455023932,5.80680174631733,7.87719345531068,8.54845326721087,11.5408162841153,11.848140053419,11.1202679682261,13.4979834465231,15.5360252850635,19.2886102576139,19.6848961706634,25.7262344777652,26.3974942896653,30.9669134911546,32.6167568842587,34.3555624211086,39.1029059100894,39.7013785134704,43.2436893280763,44.3516723910923,46.9315745597205,48.9534414630346,52.8677757878501,59.8715227409289,65.9209485156442,69.7786705671669,81.788559972851,83.3009164165296,95.7151792028766,97.4378098044999,112.658423852646,126.350506521888,146.577263022639,166.043797567745,170.467642352195,164.644665670652,161.053830050366,179.185932439285,159.945846987351,182.437094419813,204.346044184122,205.599601664177,217.03528086932,212.845972645653,220.674641295285,249.975536458109,271.552900050274,245.082618552089,224.952911662697,239.761064862567,220.658466360058,87.9997350998312,75.1649239975949,68.5412880223389,74.3319148334295,90.6524244769789,100.139023987327,119.306322230742,117.753528448997,170.613216769234,212.11810056046,232.910505176425,250.873219498524,342.56575118371,411.899874410261,463.407890202876,518.653103607856,626.746331042027,708.371359909978,810.891339686416,830.096847749568,876.235157819657,887.024280910975,1063.54845284308,934.307126852701,512.575609860507,534.953632746387,775.782243333903,817.777955622604,916.521012161131,1102.40389611287,1170.82705693722,1330.32362471465,1480.40836482837,1602.72804590861,1715.95231620113,1814.82286440568,1980.26662519262,2245.19183053153,2464.11892378907,2697.31664058674,2880.62376301383,3028.57229082166,3153.86295628409,3256.15378338752,3422.60071570726,3675.32637858507,3912.89910773989,4152.76626657701,4387.2869283352,4592.71242819317,4727.0586958341,4926.95978649932,5180.8044335574,5507.85630773635,5802.02540553698,6055.59698456218,6295.42096915694,6624.85470531955,6881.7800707268,7118.71894613306,7368.14900567656,7428.92542608194,7719.75085256465,7585.53380527783,7729.93292521542,7845.64560477251,7919.89326143494,8534.35958904408,8064.16747207967,8189.54948099529,9290.23556383869,9462.47062979149,8947.54569814633,7307.80027104089,5723.69777497217,2510.24709350061,2684.70241645559,3362.69395237616,2500.31219130615,3252.76090140854,3419.0941708292,3040.20374100728,3491.407,3532.701,3076.79331067961,3455.56,3691.19699999999,4376.16899999999,4401.59,5100.20988041088,5574.79,4363.33200000001,4252.74999999999,4968.878,5748.25200000002,5535.004,5604.11266226041,5469.32334878434,5203.01335324215,5540.1529478166,5825.78598104265,6284.11023222748,6799.02221327015,7064.14320145242,6407.7598419776
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3938757404829,35.7587860767,82.7467031469978,103.410316864866,134.573461578988,111.779751317151,109.356137532872,117.021130608413,129.407558149521,144.989130506582,157.576827012474,184.001764847297,199.499475135698,186.173792425595,150.44855117636,183.347640711747,106.831889266201,172.546206268316,216.330592315795,251.359778395152,281.776550698198,319.338371251092,327.045295360962,0,409.579280182231,645.961530751707,372.976838268791,431.663435079729,873.142050113894,722.233658314351,934.07795899772,637.986697038725,558.851808656036,719.370897494306,618.56082004556,645.552564920275,708.942268792711,679.087763097951,660.275334851937,592.387006833711,553.944218678817,682.359489749431,634.510487471525,830.405120728929,928.761403189067,808.320965831435,783.783015945329,869.461357630978,788.0771571754,570.711817767653,1219.12714350797,636.759799544418,542.288692482916,568.871471526196,585.434587699316,557.624911161733,623.468410022778,320.424728929385,800.141649202733,936.531753986333,179.536,447.008,611.888,648.528,487.312,531.28,538.608,648.528,659.52,707.152,725.472,758.448,806.08,809.744,2377.936,2407.248,2436.56,2561.136,2616.096,2718.688,2715.024,2821.28,2656.4,2627.088,2506.176,2498.848,1348.352,861.04,872.032,897.68,883.024,890.352,872.032,890.352,890.352,857.966520170117,865.873729164463
