"code","iso","country","FLI.raw.2020"
4,"AFG","Afghanistan",NA
8,"ALB","Albania",67.5208899250127
12,"DZA","Algeria",NA
20,"AND","Andorra",45.7426398401826
24,"AGO","Angola",83.4540077941755
660,"AIA","Anguilla",12.1041784037559
28,"ATG","Antigua and Barbuda",46.0836363636364
32,"ARG","Argentina",72.2422879128552
51,"ARM","Armenia",54.1540700175636
533,"ABW","Aruba",NA
36,"AUS","Australia",72.1633724494861
40,"AUT","Austria",35.577664679967
31,"AZE","Azerbaijan",65.359918846123
44,"BHS","Bahamas",NA
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",53.9228152125971
52,"BRB","Barbados",5.03524038461538
112,"BLR","Belarus",36.2061474342206
56,"BEL","Belgium",13.8821267336988
84,"BLZ","Belize",60.459629728577
204,"BEN","Benin",58.4390205657077
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",88.3761214502937
68,"BOL","Bolivia",84.6786843581474
70,"BIH","Bosnia and Herzegovina",59.8772360874986
72,"BWA","Botswana",NA
76,"BRA","Brazil",75.1431698113312
92,"VGB","British Virgin Islands",18.7641176470588
96,"BRN","Brunei Darussalam",75.7645211662803
100,"BGR","Bulgaria",60.9975045455256
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",44.3757113172418
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",63.3227761855452
120,"CMR","Cameroon",80.0152581314973
124,"CAN","Canada",89.9065436692713
136,"CYM","Cayman Islands",50.808135731807
140,"CAF","Central African Republic",92.7133783350103
148,"TCD","Chad",NA
152,"CHL","Chile",73.4932003147543
156,"CHN","China",71.3670106674841
170,"COL","Colombia",82.5831728137298
174,"COM","Comoros",77.9023570179416
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",46.4306817480204
384,"CIV","Cote d'Ivoire",36.4659099845072
191,"HRV","Croatia",49.0488805349746
192,"CUB","Cuba",53.5858434516656
531,"CUW","Curacao",63.6852556237219
196,"CYP","Cyprus",74.530877914952
203,"CZE","Czech Republic",17.0761385458827
180,"COD","Dem. Rep. Congo",75.5603912360002
208,"DNK","Denmark",4.28847930471969
262,"DJI","Djibouti",NA
212,"DMA","Dominica",10.0391805485445
214,"DOM","Dominican Republic",41.7785202950857
218,"ECU","Ecuador",76.4176215144843
818,"EGY","Egypt",NA
222,"SLV","El Salvador",40.2471658631961
226,"GNQ","Equatorial Guinea",80.0114458172344
232,"ERI","Eritrea",NA
233,"EST","Estonia",30.254207039224
748,"SWZ","Eswatini",41.3464618445947
231,"ETH","Ethiopia",71.6632094487821
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",83.672059717953
246,"FIN","Finland",50.8709691764864
250,"FRA","France",43.5000676791586
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",90.6891754749124
270,"GMB","Gambia",47.9907044723765
268,"GEO","Georgia",77.8798777102457
276,"DEU","Germany",22.7739657003162
288,"GHA","Ghana",45.1879177980152
300,"GRC","Greece",66.1032806635489
304,"GRL","Greenland",NA
308,"GRD","Grenada",43.9841391471626
320,"GTM","Guatemala",38.5151421353513
831,"GGY","Guernsey",3.70572916666667
324,"GIN","Guinea",48.8206958514671
624,"GNB","Guinea-Bissau",56.2612789022367
328,"GUY","Guyana",95.8053565773966
332,"HTI","Haiti",40.145765515197
336,"VAT","Holy See",NA
340,"HND","Honduras",44.7455618617393
344,"HKG","Hong Kong",21.2265547422024
348,"HUN","Hungary",22.4576258937946
352,"ISL","Iceland",NA
356,"IND","India",70.875886674977
360,"IDN","Indonesia",66.1015812591526
364,"IRN","Iran",NA
368,"IRQ","Iraq",NA
372,"IRL","Ireland",NA
833,"IMN","Isle of Man",1.65580907534247
376,"ISR","Israel",NA
380,"ITA","Italy",36.5212454062024
388,"JAM","Jamaica",50.1337559754379
392,"JPN","Japan",57.4443768591685
832,"JEY","Jersey",0.161641791044776
400,"JOR","Jordan",NA
398,"KAZ","Kazakhstan",NA
404,"KEN","Kenya",NA
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",NA
418,"LAO","Laos",55.7916920510282
428,"LVA","Latvia",20.6418284963926
422,"LBN","Lebanon",37.5416115981119
426,"LSO","Lesotho",45.9433333333333
430,"LBR","Liberia",47.8215291028679
434,"LBY","Libya",NA
438,"LIE","Liechtenstein",38.3780654338549
440,"LTU","Lithuania",16.4334107733866
442,"LUX","Luxembourg",11.0212595196251
446,"MAC","Macao",12.7727142857143
450,"MDG","Madagascar",46.2660058329801
454,"MWI","Malawi",57.2813009584021
458,"MYS","Malaysia",50.1029194277508
462,"MDV","Maldives",NA
466,"MLI","Mali",NA
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",NA
484,"MEX","Mexico",68.1644030618944
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",NA
499,"MNE","Montenegro",64.9571128811237
504,"MAR","Morocco",NA
508,"MOZ","Mozambique",69.1949976236417
