"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014","FSS.raw.2015","FSS.raw.2016","FSS.raw.2017","FSS.raw.2018","FSS.raw.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01000100010001,0.02,0,0.02,0,0.08,0,0,0,0,0,0,0,0,0.08,0.1,0.10998900109989,0.13,0.17,0.16001600160016,0.13998600139986,0.11,0.1,0.0999900009999,0.09000900090009,0.08,0.07,0.08,0.08000800080008,0.08,0.06999300069993,0.04999500049995,0.03999600039996,0.02,0.04,0.07,0.11001100110011,0.12998700129987,0.11,0.14998500149985,0.18998100189981,0.2,0.18,0.15,0.14998500149985,0.26,0.29002900290029,0.25
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0,0,0,0.47,0,0,0,0,0.43004300430043,0.27,0.24002400240024,0.22,0,0.27,0.29,0.37,0.3000300030003,0.22,0.17998200179982,0.12,0.6,1.07,2.17,3.29,4.24,4.07,3.03969603039696,2.61026102610261,3.74,8.1,8.29,7.92079207920792,3.66036603660366,2.08,1.48985101489851,1.21,1.82,1.89,2.56,2.71027102710271,3.28032803280328,2.85,2.37,1.93980601939806,1.96019601960196,2.37023702370237,2.59,2.9,3.96960303969603,4.24042404240424,3.73,2.02,1.4001400140014,2.05,4.85,6.15,5.82,5.12948705129487,5.39,4.73952604739526,4.93950604939506,5.34946505349465,7.09,6.75932406759324,6,3.82038203820382
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.81,0,0.41995800419958,0,0.45,0.34,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.05999400059994,0.29,0.38,0.27,0.21,0.47,0,0.84,0,0,0,0.40995900409959,0,0,0.18,0.17,0.16,0.13,0,0,0,0,0,0,0,0
32,"ARG","Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.44004400440044,0.43,0.49004900490049,0.02,0.09,0,0.7000700070007,1.26987301269873,1.55015501550155,1,0.52994700529947,0.38,0.32,0.36,0.3999600039996,0.39,0.32,0.21,0.26,0.24002400240024,0.22,0.15,0.16998300169983,0.17998200179982,0.16,0.24,0.2999700029997,0.32996700329967,0.19,0.18998100189981,0.23002300230023,0.31003100310031,0.31996800319968,0.33,0.3,0.26,0.18,0.28002800280028,0.31,0.28997100289971,0.2,0.2,0.21,0.22002200220022,0.25,0.27,0.2999700029997,0.27002700270027,0.49,0.58,0.58994100589941,0.38003800380038,0.36
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
