"code","iso","country","GDP.raw.1990","GDP.raw.1991","GDP.raw.1992","GDP.raw.1993","GDP.raw.1994","GDP.raw.1995","GDP.raw.1996","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016","GDP.raw.2017","GDP.raw.2018","GDP.raw.2019","GDP.raw.2020","GDP.raw.2021","GDP.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26890054382.385,29265058689.4061,29678901146.3632,33011757107.8906,34780330056.488,39589169629.9389,41143038133.026,49943751386.6576,57116893447.1231,57360414055.1093,64675178730.6937,68297470348.5577,70158264544.684,71176481723.2911,72785293847.6716,74711922906.3738,75600418108.8303,78557606648.6734,76710638229.7132,60831536120.7871,NA
8,"ALB","Albania",15864229287.9428,11421905330.1147,10601000325.4331,11614393589.2621,12578721195.0287,14254500360.2357,15551659812.6879,13853421037.256,15076598285.6704,17020092966.3848,18202345488.065,19711922905.6032,20606159050.6868,21745398880.0436,22944585414.1958,24212600545.8892,25641787799.8421,27176002509.104,29214213956.3594,30194143223.7472,31313421438.7448,32110475192.1001,32565558589.7763,32891871199.0764,33475520630.1684,34218250835.6181,35352579241.1673,36696895966.9462,38171871046.5525,38968789777.6784,37682008369.76,41038920567.8786,43026942689.1096
12,"DZA","Algeria",225295872151.353,222592320366.391,226598987259.707,221840406809.915,219843850796.635,228197905672.693,237554016313.727,240167110349.002,252415641644.534,260492946093.774,270391678044.55,278503428386.457,294099620376.119,315274793044.568,328831609144.759,348232674083.211,354152629544.359,366193818947.302,374982470602.349,380982190133.396,394697548978.332,406143777896.585,419952666346.271,431711341003.966,448116371962.843,464696677723.626,479566971411.093,485801342039.046,491630958145.898,496547267726.087,471223357071.129,487244951213.159,502349544700.099
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4232696300,4263776300,4052490400,3897104400,4017094090,4065158880,4194237630,4226415000,4271820920,4393814100,3878802720,4225599200,4594282060
24,"AGO","Angola",68524299596.3331,69203621614.5424,65163319907.1914,49534928874.7461,50198381600.3808,57728138854.9269,65547051434.1772,70315125753.2641,73613711279.5091,75219586822.4077,77517262550.4312,80777637494.1042,91816458022.4212,94561770117.2916,104916283945.135,120685201422.089,134624342186.34,153485212526.646,170629510765.873,172096924558.46,179666394277.964,185904506976.356,201784669021.091,211782318527.228,221995646360.782,224090334147.222,218308554288.735,217987313632.158,215117812148.692,213607097926.956,201563471094.763,203980641447.534,210192674041.075
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",966660878.498707,987701012.340387,999143283.533761,1051896837.02964,1122128907.86638,1073208717.58486,1144088355.05811,1206688390.53595,1263778327.75848,1310634399.38612,1391938703.33822,1328633282.77418,1342284218.74565,1423848705.72136,1505962467.96911,1603455937.83402,1807225500.07155,1975575480.02984,1975292169.62637,1738993947.59403,1602646479.53838,1571256843.20244,1624253234.18701,1614493479.87958,1675775254.70452,1739878569.87427,1835510285.65921,1893230443.98334,2022419987.96754,2110275122.26937,1740930865.6586,1855047139.80899,2011960630.41888
32,"ARG","Argentina",461383067195.929,503521692862.146,543487677674.491,588091597641.289,622413803601.144,604704826243.565,638124986359.867,689883602459.331,716445355021.616,692190405307.751,686729030353.619,656452248351.554,584935157747.954,636626116266.938,694110738086.543,755551060091.098,816351398559.736,889885482455.565,925990210832.673,871185248000,959396223037.209,1016997908810.97,1006559234253.78,1030770242883.07,1004870951838,1032315583600.75,1010840035079.44,1039330591568.54,1012127189427.81,991875931195.231,893251375114.368,986133881445.537,1037837319671.9
51,"ARM","Armenia",18327906064.3003,16183541332.9899,9418820611.43951,8589964511.29035,9053822833.63031,9678536466.07655,10246221416.4922,10586506596.0205,11359321576.2289,11734179188.3105,12426495760.7871,13619439353.7327,15417205348.1442,17575614097.1234,19421053577.114,22120580024.1606,25040496587.2317,28471044620.0698,30435546698.9769,26144134614.2082,26719305575.777,27975112937.4842,29989321069.253,30978968664.5384,32094211536.6445,33121226305.4854,33187468758.0387,35676528915.4363,37531708418.9153,40384118258.2046,37476461743.9344,39612620062.8291,44603810190.7455
533,"ABW","Aruba",2025472682.25797,2186758474.1649,2315391347.72166,2484593044.8417,2688426605.77626,2756904694.34618,2789595753.48052,2986175079.02193,3045659222.21781,3083365757.75578,3318213058.37736,3457444044.043,3424329647.45225,3462712243.50061,3714833217.5438,3700533819.01598,3742679414.67693,3858579802.74454,3929324195.46114,3470238242.72578,3375410652.48865,3489053240.78871,3452928444.50789,3674945421.6504,3674192821.72789,3804392608.32332,3884920800.03264,4097906578.10494,4313368560.44231,4340759735.66229,3533851600.65655,4140702570.61893,NA
36,"AUS","Australia",529123069148.475,527096147392.417,529355384619.606,550780648215.098,572706803633.267,594968525843.069,617915517233.588,642093534784.624,671715601127.4,705008006077.568,732511576576.46,747465194904.733,777315889171.479,801501281816.837,835297651545.648,861640873871.273,885255311297.898,918699520272.853,951481199941.249,969278531721.698,990666305254.389,1014356951989,1053937239439.54,1081115691197.09,1108997849871.16,1132871644781.43,1163805248731.07,1190365421747.98,1224684193991.24,1251276940341.42,1250640223864.98,1278607196123.75,1324861943935.35
40,"AUT","Austria",287877610666.848,297785286478.443,304019494756.947,305621097436.388,312962480111.461,321312267538.717,328861608034.195,335746652652.378,347771169942.14,360139064725.604,372296358893.85,377013979923.414,383240569094.825,386848667609.275,397429443747.181,406348020084.216,420383450698.257,436052887762.183,442421107373.803,425765818911.111,433587535848.305,446260420568.48,449296979861.322,449411571762.946,452383408466.616,456972845319.882,466064032926.316,476590426691.819,488149581132.161,495556707144.377,463573633529.714,484697992882.052,508918072433.699
31,"AZE","Azerbaijan",54652854605.6186,54270284527.3544,42005200047.01,32301999374.3051,25938505097.0468,22877761727.0493,23175172493.2955,24519332532.1961,26971265690.1671,28967139701.7542,32182491960.5264,35368558621.2804,38706967255.1185,42658290361.3658,46605804001.5187,59637503648.0424,80212442406.6171,100265552889.211,111053101726.768,121377002012.806,127505259496.577,127632764931.807,130396319940.942,137972086435.698,141767018076.399,143317915111.376,138875059914.371,139152809949.428,141240102098.67,144771104746.385,138545947094.179,146327312364.737,153082546341.841
44,"BHS","Bahamas",9656325975.77717,9252519205.72799,8898556499.26155,8925946816.0139,9207017349.53429,9610169814.1974,10016058260.2234,10704736326.3601,10222638182.7398,11469546344.3258,11945444666.1403,12259031653.0785,12590598123.2537,12431386699.2802,12541123545.2432,12966927306.8667,13293285926.7249,13485604399.1414,13172265405.0754,12622217214.4633,12816395633.4215,12895009373.9193,13293062733.1399,12912443272.8372,13150975216.9942,13282064249.2564,13273163560.1349,13593751984.1175,13802176454.3792,13699491298.2643,10478990730.714,12258812231.5023,14020276060.9776
48,"BHR","Bahrain",19143294359.5147,21293086082.5424,22717593193.6643,25641348952.8748,25577245199.8358,26582428773.7152,27674968221.8626,28530954929.9429,29897588466.6886,31183184459.9341,32835915082.0051,33653840687.5828,34780756594.7147,36970706753.4516,39551617223.3436,42228865351.1674,44959806124.9449,48688754662.264,51729372637.1175,53043239697.4314,55342292396.8801,56440015074.3357,58544160034.475,61715403401.7232,64400264665.9136,66000855034.9501,68349250016.7145,71282082008.2729,72786939763.3731,74364207031.5634,70910259290.2113,72803356661.944,76342224646.3432
50,"BGD","Bangladesh",185404967819.375,191866753330.019,202309457388.127,211841392347.551,220082290364.602,231353316056.791,241817239647.53,252674583421.121,265755614506.452,278166817262.825,292891006710.801,307761925989.386,319558822052.481,334704527805.124,352241481691.733,375263790993.624,400301034556.576,428556680809.182,454329178591.34,477250652625.34,503842048117.849,536412308288.868,571394215867.741,605755610765.035,642470817903.494,684569616926.987,733266327481.642,781590411613.399,838798238917.004,904911533749.695,936113115340.722,1001067000655.87,1072141043632.99
52,"BRB","Barbados",3649364591.12634,3507042772.25239,3307403633.83192,3333633593.62439,3400665713.09404,3469155052.55215,3607105211.46069,3778085690.1079,3918950288.99339,3932065268.88962,4106931667.50608,4009783668.27471,4041356768.02491,4129275707.3293,4187564506.86812,4353201845.5576,4619300561.71424,4715273410.1729,4745455787.7401,4507340941.35406,4400734904.36152,4370467570.86899,4351557469.94861,4288572730.42294,4284830395.19655,4390777963.0503,4501997461.37833,4522539648.68581,4476086875.63334,4470216610.63178,3875185115.33965,3867850441.39769,4254596626.33776
112,"BLR","Belarus",90636004771.2497,89548376728.7525,80951731312.7174,74799398241.6493,66047865732.0298,59178887371.2738,60835898969.8069,67771194740.7611,73463969284.4332,75961743625.3793,80367527368.7919,84165138956.6786,88411495341.9751,94638487202.9779,105474350866.552,115388941454.991,126927829614.658,137843631257.837,151903680873.582,152207481111.07,164077026612.218,172902249866.035,175819345166.81,177583641028.143,180649107524.278,173730855365.87,169342706853.966,173629826921.652,179098540532.584,181688675573.478,180466084980.405,184867411115.468,176183357453.771
56,"BEL","Belgium",353910993696.706,360398445086.651,365914901703.961,362395263927.975,374089655902.479,383010786203.891,388072085801.765,402794212092.751,410696262264.66,425246177251.417,441051214253.456,445901096710.163,453512113792.175,458219490391.071,474583444734.03,485602024421.712,497996287418.469,516307018968.288,518614543398.304,508134675995.647,522689140465.188,531546180596.913,535475461831.324,537934591084.72,546426066893.871,557581131065.091,564643935471.557,573788797293.568,584076515952.734,597285805409.521,565255840906.087,600787435262.179,620300033117.038
84,"BLZ","Belize",1167930669.86615,1301692363.07726,1458384632.26741,1549342583.65097,1552399993.78151,1562336576.70576,1578387979.89109,1634950067.30608,1699155680.04741,1851261834.04176,2092032881.82175,2197513531.32537,2309873353.6227,2525420767.82575,2642366705.31889,2700457497.79914,2824282608.086,2916769264.53482,2872436817.642,2859442824.58721,2895367393.62105,2892309983.49051,3003905453.2552,3139960204.06422,3268371429.54688,3378438194.24631,3382259956.90948,3324933516.96187,3361622438.52834,3512964239.99006,3042123079.88695,3505167844.15718,3930300722.80872
204,"BEN","Benin",10829251969.552,11286874436.5493,11620707543.812,12298912033.5651,12547399307.3432,13305914520.933,13881300057.7825,14677349358.5246,15258720948.2003,16073757802.47,17015312596.6121,17922762308.1962,18754921695.056,19400761822.8883,20260154372.6862,20607244157.9321,21419940047.2018,22702212482.9423,23813843817.0103,24366156424.6825,24881272742.8566,25618692190.0679,26851264681.8907,28782255584.8599,30612139032.0882,31156469106.8687,32196993426.2032,34023063767.8647,36301676624.9392,38794036239.5523,40287138158.1103,43169864848.4734,45869382226.4971
60,"BMU","Bermuda",3913226388.85258,3774918015.8216,3772662947.20449,3886166044.31753,3909468015.37137,4081451312.28006,4187588450.80187,4380217554.82478,4551046043.59044,4704991866.95012,5143363318.31215,5514839418.43801,5433341640.0347,5618656986.12881,5749081029.13362,5845332495.22823,6169389918.25616,6375764630.20097,6256795678.60925,5904744699.40928,5756956126.27891,5541487978.00699,5247495465.80897,5232817772.57041,5039147649.75544,5078227736.38443,5044853303.55627,5227044136.51153,5204421421.5194,5220360833.0949,4863394898.50026,5009968693.42423,5156616135.79443
64,"BTN","Bhutan",1529010316.69005,1522773855.35289,1592835027.19021,1624474570.00364,1704910487.95891,1825517855.36111,1927111079.64083,2030670917.14528,2150765421.33491,2322481930.82955,2400402785.50963,2600811321.47638,2886699832.15725,3112535088.29575,3299559298.76063,3540006412.38459,3787797589.79803,4483269577.18031,4698442334.64709,5015508904.3698,5614656381.87508,6062852898.98342,6373174013.78458,6508283558.72915,6884234277.35022,7341501096.72828,7938147353.08061,8307416844.22731,8561219214.89645,9053931934.19522,8147660570.11521,8480705881.72663,NA
68,"BOL","Bolivia",31491963975.8903,33150496656.8402,33696318982.0071,35134914619.7482,36774754228.6478,38495178949.3676,40174085338.5554,42164393386.8173,44284990310.7157,44474036478.7471,45589361172.7574,46356994438.2886,47509228009.1384,48797364634.4045,50833822900.3196,53081406385.6937,55627726133.6856,58166789314.4665,61743173119.2022,63815891177.9766,66449395975.9023,69907483970.3605,73488337951.0082,78482613796.4856,82768211473.244,86788418429.8011,90489007910.6098,94285208501.691,98267460868.9834,100445761215.968,91668926758.7059,97266051942.8977,100252172887.53
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,6509292456.15361,7863225127.02612,14858166686.7657,19967826922.2342,23082807260.2537,25298756691.7805,28528261750.4952,29219590875.1834,30688589504.0462,31875359854.4366,33891561207.4335,35212375671.2505,37118774947.4535,39292868492.792,41431905862.1486,40187102509.5059,40534989902.5107,40923927689.6934,40587599925.2573,41541350346.5526,42020675671.1595,43833763031.4958,45254965497.8771,46723082267.5412,48511407870.1019,49912098776.3922,48407201508.1205,51985293689.3554,54011060638.7809
72,"BWA","Botswana",12294438183.2763,13211444577.5303,13596831688.6409,13857361539.4586,14360094996.9522,15369668587.2894,16265689528.7118,17619953090.397,17698126406.1426,19409046885.7034,19794839702.028,19844440413.704,21048904851.879,22022605036.2689,22618497463.5915,23649142245.0926,25627126017.0306,27111591585.6786,27993280324.1113,24033845078.2586,26466601136.1697,28276527528.1603,28228202727.3011,31362330331.8035,33149031169.6682,31540974380.3709,33812498275.3189,35203223635.2295,36678184825.6513,37790471524.0329,34491570641.4551,38585843664.9637,40817011895.3716
76,"BRA","Brazil",1567624706715.49,1583805565677.82,1575188522272.15,1652761673968.03,1749495672141.34,1823390758959.68,1863666981932.48,1926935605666.74,1933450534507.11,1942497875887.32,2027733700699.17,2055917098426.17,2118693742881.18,2142864415484.06,2266292648028.57,2338862331514.08,2431527793059.79,2579118383866.49,2710503715139.52,2707093576146.85,2910889693667.91,3026580765470.29,3084726708326.3,3177417275748.5,3193430052501.08,3080198578728.2,2979293832693.15,3018705988834.89,3072549644189.19,3110058648864.81,3008149528512.65,3158221587261.26,3249826771296.48
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",18428919884.5686,19008682897.7249,19913226441.082,19973876727.188,20602134525.5171,21524843836.6747,22144397236.8854,21818615159.9052,21696756263.0502,22358975358.8289,22996076889.8896,23627098557.2186,24541962723.8529,25254650394.4204,25382014206.0119,25480371340.6547,26600926645.0082,26642046839.3565,26125267156.9915,25664277532.74,26331283314.8852,27317473701.2105,27566838984.6099,26980760126.4509,26303987537.3725,26200774964.8048,25551541319.6116,25891019749.5614,25904544646.2882,26906819938.6988,27211828478.7284,26778952921.2749,26342902784.7162
