"code","iso","country","GHG.raw.1850","GHG.raw.1851","GHG.raw.1852","GHG.raw.1853","GHG.raw.1854","GHG.raw.1855","GHG.raw.1856","GHG.raw.1857","GHG.raw.1858","GHG.raw.1859","GHG.raw.1860","GHG.raw.1861","GHG.raw.1862","GHG.raw.1863","GHG.raw.1864","GHG.raw.1865","GHG.raw.1866","GHG.raw.1867","GHG.raw.1868","GHG.raw.1869","GHG.raw.1870","GHG.raw.1871","GHG.raw.1872","GHG.raw.1873","GHG.raw.1874","GHG.raw.1875","GHG.raw.1876","GHG.raw.1877","GHG.raw.1878","GHG.raw.1879","GHG.raw.1880","GHG.raw.1881","GHG.raw.1882","GHG.raw.1883","GHG.raw.1884","GHG.raw.1885","GHG.raw.1886","GHG.raw.1887","GHG.raw.1888","GHG.raw.1889","GHG.raw.1890","GHG.raw.1891","GHG.raw.1892","GHG.raw.1893","GHG.raw.1894","GHG.raw.1895","GHG.raw.1896","GHG.raw.1897","GHG.raw.1898","GHG.raw.1899","GHG.raw.1900","GHG.raw.1901","GHG.raw.1902","GHG.raw.1903","GHG.raw.1904","GHG.raw.1905","GHG.raw.1906","GHG.raw.1907","GHG.raw.1908","GHG.raw.1909","GHG.raw.1910","GHG.raw.1911","GHG.raw.1912","GHG.raw.1913","GHG.raw.1914","GHG.raw.1915","GHG.raw.1916","GHG.raw.1917","GHG.raw.1918","GHG.raw.1919","GHG.raw.1920","GHG.raw.1921","GHG.raw.1922","GHG.raw.1923","GHG.raw.1924","GHG.raw.1925","GHG.raw.1926","GHG.raw.1927","GHG.raw.1928","GHG.raw.1929","GHG.raw.1930","GHG.raw.1931","GHG.raw.1932","GHG.raw.1933","GHG.raw.1934","GHG.raw.1935","GHG.raw.1936","GHG.raw.1937","GHG.raw.1938","GHG.raw.1939","GHG.raw.1940","GHG.raw.1941","GHG.raw.1942","GHG.raw.1943","GHG.raw.1944","GHG.raw.1945","GHG.raw.1946","GHG.raw.1947","GHG.raw.1948","GHG.raw.1949","GHG.raw.1950","GHG.raw.1951","GHG.raw.1952","GHG.raw.1953","GHG.raw.1954","GHG.raw.1955","GHG.raw.1956","GHG.raw.1957","GHG.raw.1958","GHG.raw.1959","GHG.raw.1960","GHG.raw.1961","GHG.raw.1962","GHG.raw.1963","GHG.raw.1964","GHG.raw.1965","GHG.raw.1966","GHG.raw.1967","GHG.raw.1968","GHG.raw.1969","GHG.raw.1970","GHG.raw.1971","GHG.raw.1972","GHG.raw.1973","GHG.raw.1974","GHG.raw.1975","GHG.raw.1976","GHG.raw.1977","GHG.raw.1978","GHG.raw.1979","GHG.raw.1980","GHG.raw.1981","GHG.raw.1982","GHG.raw.1983","GHG.raw.1984","GHG.raw.1985","GHG.raw.1986","GHG.raw.1987","GHG.raw.1988","GHG.raw.1989","GHG.raw.1990","GHG.raw.1991","GHG.raw.1992","GHG.raw.1993","GHG.raw.1994","GHG.raw.1995","GHG.raw.1996","GHG.raw.1997","GHG.raw.1998","GHG.raw.1999","GHG.raw.2000","GHG.raw.2001","GHG.raw.2002","GHG.raw.2003","GHG.raw.2004","GHG.raw.2005","GHG.raw.2006","GHG.raw.2007","GHG.raw.2008","GHG.raw.2009","GHG.raw.2010","GHG.raw.2011","GHG.raw.2012","GHG.raw.2013","GHG.raw.2014","GHG.raw.2015","GHG.raw.2016","GHG.raw.2017","GHG.raw.2018","GHG.raw.2019","GHG.raw.2020","GHG.raw.2021","GHG.raw.2022"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,9956.02435,10311.49108,10490.40984,10724.5907,10957.1476,11207.7087,11557.5718,11861.915,12352.9364,12661.7778,13015.9907204724,13317.4056238016,12877.5204045669,13320.0191727559,13719.1633773228,14177.5810296063,14754.2498341732,15328.3954182677,15900.2053137008,16277.4348463829,15587.1799773228,16534.0491442025,16702.7107017404,14182.5500938758,14946.9237047795,16041.5299343225,17121.1684968918,17198.652499148,17329.676924184,17044.2097360839,16824.1722174379,16483.8274923918,16651.4946898378,16713.4195204118,16430.7987688364,15616.590726236,15343.6797464325,13385.9898908378,13622.5980885623,13662.5449220593,13091.7320301002,12312.983,12658.4111145038,12308.194,12542.723,12738.8089095477,13341.407,14509.204,15539.052,16448.004,17447.44,15703.228,14072.998,16909.0954932249,17710.2024895592,17427.747,18643.407,19036.4180725126,20009.209,23027.2773655172,25883.9875963303,30195.603,34351.716,32446.914,31752.71,32439.9093674122,32448.793,31784.0983438767,32888.069,34315.8482189781,34478.4211236859,34667.5658680657,35621.7484881211,35566.6484857952
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,1418.04128,1408.19271,1413.13809,1546.90175409449,1759.96746818898,1834.12443,1958.89311,2294.913996,2255.32358818898,2458.95207,2185.94316,1895.74928,1930.96342,2443.49958,3061.11375,2862.24993,3304.37011,2461.11758296716,2635.41305818898,2649.65184519685,2747.10550818898,2911.23176818898,3162.11919456693,3441.2823568504,4350.21097094488,4032.48961503937,4415.81371094488,5244.98612094488,5520.53904868113,5771.74883551181,5287.25403370079,5210.4824496063,5555.7670824253,6028.427835418,6243.50272283465,6629.86474787402,6774.65488425197,7357.26969310113,7935.97754165046,9448.99329763739,9173.66339098787,8166.28175513594,8530.20323805031,9144.98160617516,10075.7987490794,11280.0426292878,12430.0007961526,10117.5783080324,12308.2053092425,12689.6516680616,13320.3458347803,13240.81121317,13187.5503769141,13502.9189377595,13025.1941846106,12940.197107783,14757.9163482052,10750.7791017403,9304.57150677219,6739.89006287421,6759.82171532265,7160.7060704853,7294.54490943057,6897.72792305889,6084.69922317525,6203.57912229586,7490.69581658338,7646.49593356099,7763.966,8382.182,8987.95945572246,8732.11440892595,8815.09303667584,8402.7749793938,8306.42960453977,8504.41310829224,8394.17199999999,8792.725,9310.58599999998,8923.81,9368.87542679319,10159.940488666,8945.82404669678,8883.48891230409,9504.05769152514,9050.15324134938,8775.18374581728,8724.44141354055,8386.052005091,8374.91978004645
12,"DZA","Algeria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,2193.313,2212.09,2230.867,2249.644,2265.974,2285.024,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,2575.104,2608.728,2655.13,2685.09,2713.274,2714.26952,2779.59363,2784.9777,2881.2911,2912.2131,2916.8691,2973.3165,3004.12048866142,3114.82320872304,3099.41875685039,3097.71231175045,3142.24700913386,3176.82954094488,3184.18449322835,3206.90608504363,3071.89435685039,3111.97835685039,3083.7809,4406.1276,4382.4604,4632.989,5161.034,5323.56512503937,5738.5705129858,6089.50597732283,6499.80882041367,6620.1368296063,6874.46354500215,7108.12478438203,24659.8145001575,25604.6593297638,24134.7267502362,26478.9559800025,26921.9315685039,29020.4281366929,30155.52322193,31721.6355571653,28927.4986708662,32551.5669322835,35465.4609096063,36523.4300992589,34566.070093083,32132.7340913386,32061.3543981102,35639.1530242961,42121.3515685039,40812.8974027641,40802.9861035233,45316.7678944022,50641.8897959055,54697.831216378,73302.1397959055,84111.3009209449,75643.6103640945,76152.9070869884,86945.9704639789,92560.6131447478,117377.166480991,104103.351526103,120502.767440484,98239.9820794678,93129.529228976,109363.209138596,129891.630215166,133967.568426063,139414.48820378,149271.102194727,149161.241086031,148887.365999796,149226.528348009,150418.033929314,152692.005322264,159480.169997019,165252.989603205,180420.918545192,185935.731185118,169629.113558735,187162.458894902,174994.203757291,174302.997118398,166865.65249333,167054.38361108,178389.609574404,173836.428951446,194596.716141587,193069.078330666,193913.241844513,198216.80849474,200071.03335162,204756.960485068,211165.366806627,224180.490582072,227819.780056714,241735.791026104,251350.951198648,254511.821294501,261272.506484921,268094.717931052,273219.808914038,260879.057006264,278276.110122426,276242.644988397
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,557.894,568.466,572.563,578.678,580.056,605.62,641.123,648.193,657.676,667.558,679.396,682.001,693.724,701.538,731.444,748.559,718.32,710.658,707.223,678.703,677.627,644.95,640.517,628.01,611.122,612.927,615.917,611.972,639.11,625.404,510.065,501.707230424386,496.64635841323
24,"AGO","Angola",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,18342.17017,18784.95868,19063.84726,18998.289046378,19124.012181811,19160.5442309449,19355.0216091339,19497.3922137008,19469.9966341732,19739.5050659843,19805.5647795484,19739.022292537,21797.4435501665,21931.4419864567,22222.5347387402,22376.4779751181,23314.1911274016,22291.4420955906,23758.0685629708,26286.4253370411,39778.0526832098,23883.5216529183,27320.7751015697,29872.7114299213,27031.3502630392,30143.6694844095,26072.3061079273,29371.9803679805,32307.2830954592,40978.8713135781,35074.43683565,30838.5638165508,33340.7727725011,34784.8333255855,29055.6499426455,29916.6212420371,30444.2515025873,41375.1457631375,33958.8277337816,36584.17674195,51381.9909347901,50867.423410612,49662.8385463272,53456.8787226475,69917.1580891868,76351.8804619177,83362.9567187538,85171.7494577448,92257.8940273303,90918.4778466703,87370.8075497942,86521.3614116944,88351.3016293949,93000.1279072775,97643.4870396701,96127.5186159691,87881.1391357931,89175.5374494314,89961.5563653134,90799.7313958509,99344.4207636783,98728.7309210925,100403.059850375,101921.041062113,99122.3250913395,103815.457788144,101464.906186808,99366.8270531367,92459.657795376,91902.0725663289,86275.2857375548,84806.3151431895,81639.3679825779
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,50.216294,50.335225,50.427998,57.89324,58.08394,61.93601,65.68444,65.67059,69.39718,69.44612,80.52508,87.93468,87.86896,91.68008,106.39584,113.84083,124.89542,128.62191,128.739,128.92434,136.38045,129.15316,125.54629,121.96136,125.67976,144.0487,144.09784,133.14669,136.8024,151.55911,147.89764,142.721810397673,144.037178631334
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,67.175,75.7002,76.9247,85.7765,98.4551,155.7276,139.3935,150.8308,211.74,411.5273,630.941,1059.5293,1330.2663,529.0528,498.1804,447.9228,404.1985,502.1164,782.7078,478.5655,542.5431,573.1174,496.2217,237.8587,199.7728,390.017,177.622,240.8938,347.0521,345.0875,371.147,382.2492,377.4584,333.8453,342.7527,343.1076,351.4407,364.4206,369.4749,388.7241,411.7425,423.8791,446.6791,456.4699,471.6709,509.047,533.4041,556.1515,585.6546,623.057,641.4326,645.0703,662.9049,632.9596,629.2966,641.1885,642.0338,653.0531,667.8183,683.4268,686.9864,698.0866,722.7658,699.3116,677.798465056584,683.979217402446
32,"ARG","Argentina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,14717.814,14831.012,16030.306,16307.876,16439.004,17496.452,18259.676,19338.016,20234.532,20908.546,21326.992,22271.604,23495.658,23303.24,24697.51,26061.102,27212.484,29264.204,30568.568,33984.748,35102.148,37636.856,37072.28,41051.984,43260.296,43939.168,45478.416,45149.888,44262.016,43453.804,41815.876,42950.832,45273.988,48557.112,49303.168,52145.188,54385.72,57973.624,59332.488,60409.572,63634.4,63808.9770910236,65576.2496365354,66065.3947729134,67288.0147388977,68744.5433184252,70103.587310565,72390.7798752756,73428.1310789146,75806.6861026772,78728.7789755658,79671.3088864669,82280.4694664567,82048.2147530588,81895.4591710236,83533.9802985286,86506.4899372438,88947.3077618898,91338.5860459843,94081.4180346457,97848.033169938,103244.020296063,103545.225966614,120166.992796221,127790.616228032,131543.021943937,133149.23792126,137739.954597063,143888.58816,152263.637830551,158624.375478425,157622.911455748,165427.899478425,167502.599989921,174118.710217323,177003.125069606,167790.660012598,179265.041275697,191763.849558425,200779.666660787,208727.981611462,212359.217365669,215244.869899842,222076.001240945,229967.128677926,236962.640119876,245287.90683344,247123.37749388,250087.479584076,259075.155076664,264756.868623771,260659.595254085,268477.144490598,264369.130174116,254970.542112024,254730.137013518,259787.036371612,262447.700559264,255417.21579262,256848.065051931,265388.228598386,274897.742314225,271600.421964876,267614.088,272526.744,276408.584,272537.484979622,276039.417531834,285176.786629911,288196.844025161,294522.743828,294575.990816,307993.557727191,307115.208430176,297698.277008,292582.616772827,315527.823552,341565.416966552,344825.172024,362138.916828,360723.074116,370741.459888,350185.958912,349593.335976,353077.105884238,357693.11300925,358783.744865735,359851.532578551,363977.839635632,368050.438158451,372534.879713116,366616.326353631,366451.61499402,355651.580653778,377441.121595931,382379.425331586
51,"ARM","Armenia",266.471711496011,268.129,268.948,270.312,271.131,272.710221955646,272.769,273.588,275.47354572495,276.899245465856,279.441181508452,282.565554889115,285.64454313401,288.990417810143,292.472779435701,294.560817291955,300.621775645168,303.424484550239,304.428801746317,308.403193455311,310.979453267211,317.239816284115,321.907140053419,326.631267968226,335.278983446523,344.133025285063,354.429610257614,361.368896170663,373.680234477765,379.802494289665,388.457913491155,393.919756884259,399.470562421109,407.756905910089,411.89337851347,419.246689328076,423.620672391092,429.46657455972,434.754441463035,439.48777578785,451.395522740929,461.802948515644,469.745670567167,486.113559972851,494.43091641653,510.930179202877,516.4648098045,535.497423852646,553.001506521888,576.494263022639,599.226797567745,606.916642352195,604.359665670652,603.761830050366,625.159932439285,608.912846987351,634.670094419813,659.845044184122,666.811601664177,681.51328086932,680.589972645653,689.783641295285,725.353536458109,751.571900050274,730.834618552089,719.430911662697,743.511064862567,730.414466360058,605.935735099831,597.468923997595,596.295288022339,606.99008483343,628.215054476979,642.606333987327,664.231452230742,667.583558448997,695.701146769234,742.11085056046,767.534935176425,790.129109498524,886.17981118371,967.758794410261,1030.69244020288,1097.09010360786,1216.06267104203,1308.56696990998,1427.67922968642,1463.75006774957,1530.01982781966,1558.76658091097,1756.78761284308,1640.6203168527,1237.68585986051,1281.31799274639,1542.5917333339,1611.8376156226,1735.65685216113,1949.33593611287,2045.00930693722,2229.02608471465,2403.63104482837,2561.35094590861,2715.42547620113,2860.58630440568,3077.77036519262,3397.15591053153,3667.81336378907,3960.91147058674,4201.38901301383,4406.49798082166,4588.94911628409,4696.77048338752,4942.16805570726,5249.31445858507,5492.34800773989,5759.43607657701,6083.8377283352,6346.42432819317,6510.7316958341,6729.69398649932,7002.6998335574,7433.22320773635,7787.32400553698,8106.31768456218,8400.61386915694,8822.74000531955,9120.5577707268,9371.12914613306,9675.06160567656,9752.14032608194,10097.4978525647,9968.70280527783,10153.9938252154,10321.5184047725,10431.1379614349,11100.0861890441,10657.1760720797,10823.4100809953,11940.3683638387,12090.7158297915,11678.9507981463,9715.21427104089,7921.85577497217,4387.29909350061,4478.32241645559,5116.93395237616,4267.37219130615,5016.36090140854,5117.2441708292,4740.20374100728,5225.917,5307.461,4984.13331067961,5409.61,5738.52699999999,6448.13899999999,6797.34,7290.54988041088,7763.22,6508.85200000001,6343.08999999999,7087.148,8075.72200000002,8015.224,8087.75266226041,8106.78334878434,8374.30335324215,8313.6629478166,8478.69598104265,8867.94023222748,9404.60221327015,9708.76320145242,9068.4798419776
533,"ABW","Aruba",0.630058,0.636044,0.64475,0.656176,0.667602,0.679028,0.695621,0.715207,0.7318,0.751113,0.767433,0.816393,0.865353,0.914586,0.963546,1.007066,1.050586,1.094106,1.137626,1.178426,1.219499,1.241805,1.26221,1.285881,1.307378,1.331868,1.353638,1.375135,1.396632,1.41459,1.434722,1.468181,1.512247,1.5506,1.583786,1.613979,1.644172,1.677085,1.707551,1.740464,1.790516,1.780455,1.775561,1.77094,1.766046,1.758705,1.754084,1.747016,1.742395,1.738047,1.717106,1.715751,1.714396,1.710321,1.709239,1.70843,1.707348,1.706539,1.705457,1.701655,1.700573,1.805571,1.910569,2.018014,2.120292,2.222297,2.324575,2.42658,2.528858,2.633856,2.735861,3.063899,3.419137,3.774375,4.12934,4.484578,38.2608917404829,40.9810400767,88.3513951469978,109.397446864866,140.969956578988,118.395211317151,116.190562532872,124.047047608413,136.625240149521,152.398304506582,165.177766012474,191.794468847297,207.511417135698,194.432445425595,158.89978817636,191.939245711747,115.566592266201,181.345137268316,225.250062315795,260.373679395152,290.966755698198,328.704880251092,336.560089360962,9.688914,419.521730182231,656.210551751707,383.614030268791,442.688525079729,884.990784113894,734.443363314351,947.00168899772,651.217817038725,572.610648656036,733.790727494306,633.39684004556,660.780304920275,724.510058792711,694.914003097951,676.387224851937,608.814476833711,570.768868678817,699.635719749431,652.268227471525,848.723240728929,947.069703189067,827.798965831435,803.413495945329,889.255237630978,807.9662871754,590.718237767653,1239.16369350797,656.864799544418,562.385902482916,588.952401526196,605.665667699316,577.975611161733,644.047630022778,341.278778929385,821.505309202733,958.026253986333,201.17276,468.55284,633.42262,670.7067,511.2351,556.7284,565.4729,676.8081,689.5153,738.8363,755.6263,792.5027,841.6347,845.68,2462.6632,2492.6011,2521.9121,2651.6328,2713.775,2817.3751,2786.7831,2893.9916,2724.8668,2692.5921,2561.5615,2558.2782,1391.092,927.1427,937.9446,962.7766,947.4947,953.0775,934.1316,952.5921,951.3666,919.037720170117,926.456529164463
