"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.28823402614672e-07,6.05165452682665e-07,5.87209981732614e-07,5.64750520218258e-07,5.47332875840881e-07,5.05421285342349e-07,5.59688307194624e-07,5.18262783184628e-07,5.28663258409775e-07,5.98874965703637e-07,5.01690364631358e-07,4.64917804977978e-07,4.62381867310175e-07,4.5589206173676e-07,4.36682970744007e-07,4.40198401013104e-07,4.53910825857852e-07,4.38893476959919e-07,4.51926442904206e-07,5.85580288773089e-07,-9999
8,"ALB","Albania",6.77674213263619e-07,8.14625164353271e-07,6.3577868653625e-07,5.82021064067635e-07,5.69271387723843e-07,5.1173627451576e-07,4.43536446021752e-07,4.39219973666553e-07,4.11470744577182e-07,4.40108983621754e-07,4.20083001862297e-07,3.93871568856078e-07,4.06780418387609e-07,4.13326952763832e-07,3.80574076684924e-07,3.64070477269426e-07,3.27698483623109e-07,3.05653107065953e-07,2.91105320204619e-07,2.78006629888346e-07,2.80797325747373e-07,2.89954787162122e-07,2.74026007427416e-07,2.84838626847604e-07,3.03503584034173e-07,2.61434288084211e-07,2.51282625001784e-07,2.58988054468849e-07,2.37089589617241e-07,2.25184918389325e-07,2.3152803661447e-07,2.04343873792207e-07,1.94643617617902e-07
12,"DZA","Algeria",6.62358022466382e-07,6.75755720959839e-07,6.73842399601117e-07,7.18895949977545e-07,7.5168347444965e-07,7.90633542465424e-07,7.82709272065352e-07,7.06296183987209e-07,7.41485185606979e-07,6.71780969048949e-07,6.44631515211351e-07,5.99151161118864e-07,5.68019718615879e-07,5.65822620488364e-07,5.28648779852911e-07,5.58812341931727e-07,5.45157828078426e-07,5.2953717897794e-07,5.28602865558853e-07,5.25145370395313e-07,5.18769272864952e-07,5.19927617505925e-07,5.33823234252844e-07,5.27713215795786e-07,5.39448692685007e-07,5.40892507409181e-07,5.30711738853944e-07,5.37817588951661e-07,5.45316997412297e-07,5.50239275638821e-07,5.53620810792886e-07,5.71121587672822e-07,5.49901254819118e-07
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60093460993174e-07,1.51262626043491e-07,1.58055155417518e-07,1.61147851209734e-07,1.52130367451762e-07,1.50775656768426e-07,1.46848379689922e-07,1.44796949660646e-07,1.49610672350001e-07,1.42337382912946e-07,1.31500629658216e-07,1.1873043482789e-07,1.0810097245384e-07
24,"AGO","Angola",7.49836061623017e-07,7.35039904326665e-07,7.62128734647948e-07,1.07917544118855e-06,1.39281697656676e-06,1.32261115595278e-06,1.27180330609482e-06,1.21128631351116e-06,1.25327051745876e-06,1.20870748813507e-06,1.12711420237463e-06,1.07110537143413e-06,9.62259964415311e-07,9.83485480357685e-07,9.30679999024097e-07,7.96514547626838e-07,6.5278788151219e-07,5.81004097928652e-07,5.27233278472872e-07,5.27608100079714e-07,5.52938245145508e-07,5.3107228289871e-07,4.97575263460083e-07,4.81253778742674e-07,4.46505716288905e-07,4.63275036753436e-07,4.64777509600519e-07,4.55837660446667e-07,4.29809400122881e-07,4.30238851883823e-07,4.28030363185169e-07,4.15756684268505e-07,3.88402537600451e-07
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",3.45359274824989e-07,3.47020703348109e-07,3.43401797974861e-07,3.34101869716048e-07,3.24758231826422e-07,3.44271243744146e-07,3.39767552288613e-07,3.41216923299581e-07,3.35406210638079e-07,3.40811366014212e-07,3.27938219481411e-07,3.55004579604655e-07,3.79239353998886e-07,3.74621332910341e-07,3.69299708212521e-07,3.65245209538538e-07,3.44758858247259e-07,3.2468139359085e-07,3.26569562679943e-07,3.8120023414524e-07,3.94946488874025e-07,4.0050524058015e-07,3.9475894922317e-07,3.97668871383666e-07,3.89702078585203e-07,3.83830407226787e-07,3.72336131995334e-07,3.62864648718931e-07,3.45173902628184e-07,3.42498374914615e-07,4.0168832306586e-07,3.6538072295369e-07,3.39956561307089e-07
32,"ARG","Argentina",5.80025811580892e-07,5.41241316637002e-07,5.0858298238281e-07,4.63426932254622e-07,4.43498225673552e-07,4.71596677012541e-07,4.51630715275948e-07,4.26916573720655e-07,4.11163236318438e-07,4.4495496523136e-07,4.47214541479384e-07,4.53495707807481e-07,5.00196667779883e-07,4.95625007346854e-07,4.92090668281759e-07,4.56388972549948e-07,4.43606659420086e-07,4.05358982956565e-07,4.00372979704203e-07,4.01964977845906e-07,3.64388901667003e-07,3.47175842570847e-07,3.55362209035247e-07,3.48073440558601e-07,3.58107209607711e-07,3.52583885604115e-07,3.64103542979999e-07,3.5843732757918e-07,3.62223572475008e-07,3.69453077213436e-07,3.98153969377592e-07,3.82748355672208e-07,3.68438692735072e-07
51,"ARM","Armenia",6.37222318642005e-07,6.00314484397588e-07,8.41066636872856e-07,5.107470569563e-07,4.94633316638461e-07,5.28688812643431e-07,4.16482527347832e-07,4.73844781175898e-07,4.50488538112858e-07,4.03965515178892e-07,4.20546314954763e-07,3.89697465670301e-07,3.23283837643089e-07,3.07790667802918e-07,2.9547969564135e-07,2.91499544449431e-07,2.71453881767904e-07,2.5606892819351e-07,2.55070824808314e-07,2.4896031542244e-07,2.37397262515328e-07,2.53337601025512e-07,2.69286589761439e-07,2.58731143918778e-07,2.52000353802927e-07,2.44760966095079e-07,2.52333295265663e-07,2.33028918466883e-07,2.25907541602064e-07,2.19589794570439e-07,2.50946908422919e-07,2.45092679707969e-07,2.03311775455881e-07
533,"ABW","Aruba",2.52402861059613e-07,2.54590713413199e-07,2.44223465962427e-07,2.72401994123396e-07,2.56475404059211e-07,2.67994864499739e-07,2.70873046410836e-07,2.65390567876405e-07,2.76339090683669e-07,2.74271710345362e-07,7.4216548385361e-07,7.20937509977819e-07,7.36468844895333e-07,7.65767587236572e-07,7.30524048074038e-07,7.61342886672814e-07,7.44595727080343e-07,7.50014706950354e-07,6.93469580124633e-07,7.75909868910049e-07,7.58888847527749e-07,7.33229911797418e-07,4.02873103904781e-07,2.52287474675916e-07,2.55279089995855e-07,2.53069727318264e-07,2.43890351636522e-07,2.32576678319677e-07,2.16566608419896e-07,2.19452851115856e-07,2.69215209779394e-07,2.2195212152916e-07,-9999
36,"AUS","Australia",9.62583749891932e-07,9.69077528529161e-07,9.68891199050725e-07,9.33868153414224e-07,9.065055911443e-07,8.86748732361714e-07,8.50494088326166e-07,8.33560421601174e-07,8.28856057775257e-07,8.49482844497314e-07,8.4872883327273e-07,8.70701933548212e-07,8.27520114421887e-07,7.12966721339314e-07,7.5289623141055e-07,6.8778698073515e-07,7.17937893400076e-07,6.92687049757179e-07,6.39027549690137e-07,6.3985442304373e-07,6.03539422567249e-07,6.86855636090718e-07,6.64054466008388e-07,5.61332164612641e-07,5.60332350008312e-07,5.54186666420178e-07,5.17818246513616e-07,5.44137500032908e-07,5.28104080730837e-07,4.94672482246684e-07,4.58604448229913e-07,4.51876805683675e-07,4.44515187279028e-07
