"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85394.357260079,88857.5710840378,88693.1023655213,85666.3856763499,79149.1160574269,66991.2544588282,55777.5134198266,48330.9097907207,41368.646242999,39853.2802463557,46800.56972322,NA
8,"ALB","Albania",1185.70816416367,5563.63595751537,9967.89277374599,12197.241524444,14819.1609388472,16180.8137060949,17724.5271759826,16886.4319768185,14188.7063741301,11555.5517744018,10067.5330434476,9681.20009204504,10035.3443815068,9523.22898005952,11469.6506170079,14363.3859908459,13067.950851783,12015.0645835027,12249.8639055979,10680.0556033889,8478.22454867627,7037.7757996463,5782.71596179161,4429.71073160666
12,"DZA","Algeria",288409.511634117,263925.853050523,215050.545101256,172752.081325819,166708.830446916,142181.405135587,200074.368137637,238829.423710424,248385.514161996,292460.753055361,310452.701694522,328631.864947024,334101.957690536,351373.6550039,366598.53955548,388078.118846692,435649.723352353,459480.914479479,477959.808121028,492091.60373242,492098.771336414,439713.215109329,436550.367706944,412369.264377865
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548.975274049586,393.555750413223,235.878350680426,88.2049007363424
24,"AGO","Angola",246913.976321691,234005.935178564,209323.869983981,175766.720045807,146080.060190124,140784.72465512,129616.098090092,105498.200598736,94740.9495272053,96544.3927954951,97959.23359132,113548.643697165,113387.943738998,117347.200641819,128055.9964851,135813.592427514,154899.014214483,145348.336690751,130651.754568371,98605.324475408,78454.209464617,66771.4250840005,58300.0408263162,63264.8671077491
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",793.449427272726,841.99803090909,894.182007878787,982.533007272726,1054.30123454545,1121.6731169697,1185.22236727273,1276.3563430303,1339.96458545455,1339.09024666667,1347.14015333333,1206.56595393939,1055.15532,953.733273333332,843.174192727273,765.21214,735.731112121212,772.863772121211,817.195987878788,877.351526060606,1004.07577575758,970.631345454546,876.914489264216,826.068189138851
32,"ARG","Argentina",420748.064501007,426081.873399701,404258.727964276,377626.880941844,401384.069265861,459946.430931287,495526.784471977,556997.077979072,584288.260933146,615945.883224069,584831.789037675,556816.045438542,506202.270418676,435426.163076192,383523.317595968,367151.141194756,360018.15966391,384870.129242019,412333.666227576,435047.094709573,426292.582856261,383781.455545819,411585.380773557,430427.752770759
51,"ARM","Armenia",0,672.039161625072,3863.50316215224,7230.88236213308,7599.38914390591,8196.62627700177,11022.6985336434,11984.0334080032,14382.0996796722,16897.9918529067,14169.2469076508,12582.3404306746,12814.6871658197,13593.8120081728,12976.4245942151,12332.4836903338,12191.405973852,12796.3016091917,13365.8690359677,14948.2395343146,14764.9882346215,14438.7012236833,14694.299577938,13983.1440944206
533,"ABW","Aruba",1936.02932363636,5901.52954424242,7748.32575939394,8998.56057030303,10091.1460678788,10564.5377248485,10642.6572818182,9865.76027333332,8769.87402181819,6517.83524606061,3721.74796666666,3018.32319212121,2536.8247351405,866.668731504132,0,0,0,0,0,0,0,0,225.649806732961,NA
