"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019","GPC.raw.2020","GPC.raw.2021","GPC.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280.46317065778,1292.33343722938,1260.06058051982,1352.3206265475,1366.99314578093,1528.34457777945,1556.84445154502,1823.74261448512,2026.16381797997,1961.09631655741,2122.83075870676,2165.3409147556,2144.44963352063,2108.71417281186,2101.42218654807,2096.09311055337,2060.69897292797,2079.92186098824,1968.34100152117,1517.0162662229,NA
8,"ALB","Albania",4827.02770509027,3496.36962587577,3264.82075682894,3598.81026672313,3921.61497019167,4471.60170207131,4908.93239201987,4400.31275393016,4819.06783239106,5474.84991414144,5892.58219111228,6441.44069815765,6753.88119038836,7153.99539943322,7580.12811430815,8040.08137703706,8568.54973366904,9150.11682057847,9912.14847022048,10313.9017112262,10749.4664263474,11052.7779347342,11227.95040747,11361.2524918298,11586.8174458823,11878.4376020777,12291.8420601944,12770.9918634405,13317.1192636809,13653.182207385,13278.3697687086,14595.9443859543,15501.6629314634
12,"DZA","Algeria",8828.87447349487,8517.37696170515,8471.5276053104,8109.88355918663,7869.27027171899,8013.12344209485,8195.86047951225,8147.87819801798,8435.03565835831,8584.07149594147,8786.19034965695,8926.11013358895,9299.68213373874,9835.16170946119,10114.7255553924,10566.3728391174,10592.2471112484,10775.5321067078,10847.1766343771,10824.576361634,11007.7466062444,11113.9688925215,11270.701045131,11360.6376117058,11561.2597954385,11751.6341191101,11888.3229666783,11809.4830333846,11725.8777414257,11627.2799177398,10844.7707637063,11029.1387821192,11187.382302721
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59182.8227464031,60421.6744370598,57066.8807119823,54606.5324309555,56088.2156071543,56660.4253895688,57819.653019024,57239.7984750193,56947.741324837,57553.5949595903,49920.2409266409,53465.5869625731,57555.1470735618
24,"AGO","Angola",5793.08451204045,5659.11932966026,5158.38383522696,3799.19489892034,3728.88619855212,4149.44573355063,4557.14777393147,4728.29234231606,4790.4186097768,4739.50963904534,4728.37436813593,4768.00889397813,5241.82058742633,5217.39051918638,5589.23793566635,6204.58875174684,6677.01974008672,7340.38890911245,7866.18434455051,7646.14435762931,7689.82073536757,7663.28605266516,8011.05009506365,8099.67882846485,8183.16457661161,7966.88555561334,7487.92509764053,7216.06137267002,6878.59002526807,6602.26921128364,6029.69189495339,5911.83565738444,5906.11567677032
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",15264.3519217204,15521.5924244961,15452.5013305767,15978.0180002679,16730.213917378,15690.6447203845,16391.4203137355,16943.5871624582,17414.1311767414,17754.2216901169,18545.5826172569,17432.7006858778,17388.2274596237,18236.9350716793,19077.0634773959,20076.0737937625,22340.3856860319,24087.6838669265,23726.9482603977,20571.5327275893,18701.750155066,18116.856451734,18526.0537238749,18243.4826025694,18779.1390773289,19344.6656127269,20267.5487573341,20777.5594989337,22072.5556934444,22908.6392551795,18787.5643794634,19899.8824253531,21457.9378904139
32,"ARG","Argentina",14136.5254005803,15209.4876309646,16190.510705998,17282.9649904397,18046.8929182229,17303.9238485647,18031.5481912295,19261.8986222468,19773.1763655293,18884.9431117375,18524.8096075258,17514.5041008813,15439.7446333669,16631.5739769268,17950.1512818383,19338.1461909357,20679.243097676,22316.2555259104,22992.390179143,21413.2831164661,23521.2701750961,24647.6292739542,24118.8675158911,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451328,23597.117752839,22747.241657583,22071.7480998394,19685.215869505,21527.1961367015,22447.0884757638
51,"ARM","Armenia",5153.29821050755,4473.51908831771,2634.96312448389,2484.55232933972,2683.63753337356,2912.78105698073,3105.95278074442,3236.06050832407,3505.36840234803,3660.034119553,3921.857521876,4346.9075055967,4965.22435904764,5698.77847656251,6334.85615310928,7259.20389235414,8273.78569972955,9476.47149359947,10201.5594510386,8819.67745940628,9068.78765139007,9551.15813085672,10289.9756312671,10677.3036548195,11105.5324996261,11506.0389896757,11580.3836431751,12509.6396064818,13231.4310690444,14317.5528692827,13357.6970638572,14193.1168340619,16041.8297023795
533,"ABW","Aruba",30823.482503317,32222.6581717096,32986.5418811497,34336.553964092,35984.8294174309,35780.7228338245,35125.9271123377,36479.9418385733,36105.2601768456,35495.248572597,37241.0304977201,38123.3423828495,37309.7879457867,37353.5586833002,39713.8466703421,39166.1337914332,39146.9093433145,39866.7155996626,40096.781454969,34978.0091392753,33639.3961838994,34446.8568911294,33815.1093359046,35720.6981109098,35467.2357639235,36490.5244570947,37043.6981523794,38865.188195117,40706.7492161559,40780.5164846798,33155.2432392602,38866.3334861966,NA
