"code","iso","country","IF5.raw.2005","IF5.raw.2006","IF5.raw.2007","IF5.raw.2008","IF5.raw.2009","IF5.raw.2010","IF5.raw.2011","IF5.raw.2012","IF5.raw.2013","IF5.raw.2014","IF5.raw.2015","IF5.raw.2016","IF5.raw.2017","IF5.raw.2018","IF5.raw.2019","IF5.raw.2020","IF5.raw.2021","IF5.raw.2022"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
12,"DZA","Algeria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",228.074913327165,153.270536739708,201.187270339927,159.678618668085,274.867157668356,288.933594615529,289.163839104308,312.122412292466,604.094380339902,791.401710801748,817.625590888793,907.600592359312,876.562569790823,616.361109289228,353.801991253176,312.622667049751,371.372986973888,381.431997512178
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",854.403804607544,976.17037197957,780.492060060809,1015.19434891616,998.751080918396,1115.3464031767,1143.73695290337,1732.92098401721,3573.43770427846,3537.09343297431,6456.81441544695,6801.10191140251,6284.4653674966,4115.04308383952,4026.26804139273,1789.1551914262,1270.08699843304,2486.14624006544
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",11215.4136201184,9468.54521002894,8146.64992438311,3918.1774033983,4720.64769167257,14874.4104369744,14636.4515929326,16673.0520838201,19577.2626990628,20653.1677672147,12291.868507253,14047.388163575,11647.8504081144,9826.8357277218,40747.2627683258,74667.9753391616,72508.4451426191,72848.7238174392
40,"AUT","Austria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
31,"AZE","Azerbaijan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
56,"BEL","Belgium",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
84,"BLZ","Belize",258.514874939925,238.486359082173,223.103028421488,166.822126338901,192.136665947207,179.891546454365,229.369034287167,234.157015156009,254.409644352019,255.991246629359,249.721730670593,382.803494771673,397.236351433285,346.603562276964,402.89987153159,585.293095498335,435.450518504854,382.614828642584
204,"BEN","Benin",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",56.8098028459797,68.4225111981863,73.834872959111,75.9176471496568,86.4364113507604,185.813847812334,187.583704620801,183.642639225056,181.269948736354,153.182869790528,42.0010658041805,49.5701850553117,83.3052095293355,85.8915500304741,88.0985118612608,94.1250294172124,78.3812304140386,44.1605720371927
68,"BOL","Bolivia",10245.8807937827,13216.5815624842,16628.2874513986,22118.6839091621,23017.7680293842,37840.4293187825,43081.0479753608,43798.1411807768,40622.2106858093,43291.1279948399,27726.391840681,32228.5065918044,46945.3507039211,52116.2809326931,67823.6085746816,93665.9129497808,109450.481540561,125457.057120551
70,"BIH","Bosnia and Herzegovina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
72,"BWA","Botswana",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
76,"BRA","Brazil",145537.791976766,175621.793506454,189503.432194074,193948.201058023,168195.614841817,164538.686311871,153032.447043477,163326.35895021,158605.519151938,180006.577959939,181933.10273488,327866.932542597,400489.140520993,449141.40764695,499825.184784879,578123.359334198,519173.800694382,544498.36708932
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",42.2507621022977,42.634394477881,58.3593179099381,71.7661346735352,148.667448636251,175.774526252724,217.272638831908,253.554656422754,302.573459313383,381.127369512857,432.309709448645,441.423367125852,412.429586872635,390.662781649518,273.165714921559,238.173784928263,217.174090515452,239.86734462084
100,"BGR","Bulgaria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
854,"BFA","Burkina Faso",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
108,"BDI","Burundi",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
132,"CPV","Cabo Verde",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
116,"KHM","Cambodia",15.26078245003,25.4232749974644,34.3867246199305,39.0027618447815,45.6115781013827,40.4835492145993,37.4840586517069,38.4423796230337,93.4005009422455,89.159384712584,94.6447959874223,101.328045515638,98.1791536533672,42.6215922150018,43.834120651759,38.7524504695281,30.7048011417631,25.6698266294476
120,"CMR","Cameroon",360.677258696294,359.923894856552,358.621505187371,367.584045029275,698.06774431742,715.00143470751,710.552772878051,727.724828227081,1032.50257759825,1153.54196572803,1267.46751557668,1463.91078700741,1718.32179845018,1659.29132780163,1562.55874621808,1745.54273397708,1888.61442814158,2040.25544006467
124,"CAN","Canada",910708.363259271,1031527.87337375,994211.018807439,1014847.68687809,897755.753858935,793333.671974526,796781.324207626,850266.915568752,979475.29640934,1117729.88457893,1168575.79691378,1105569.22590866,1071684.91289371,933207.703519757,810185.773373707,649823.097573889,733077.741254229,749466.614204559
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",46.4347322898872,52.7085804040456,55.3544341040631,85.9466445971315,89.449383851305,139.981507923701,141.008550770729,148.144558006219,146.063628058473,170.122781339633,146.97133986771,296.853038448662,441.717689599116,498.636656971395,584.434152139541,694.886667986081,659.10414901989,639.050437789483
148,"TCD","Chad",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
152,"CHL","Chile",1964.16246936648,2161.95433774583,1826.94668571657,2965.33431205674,3361.17635055571,3795.82209741503,4456.42730620311,10203.8821202376,8927.9561499137,8550.21883594445,8075.25486610373,7224.30534552437,997.295579801231,818.92577570103,719.412237460656,754.004629339073,763.335121630887,762.373933893693
156,"CHN","China",2429.93656194672,2071.54191490338,1253.20259854657,1377.76089097342,787.704077069644,660.710148810181,639.856809499496,567.666923203574,399.629895464521,292.200323287355,230.350995752218,253.721097723961,377.984453724809,409.473814878219,460.515864020431,541.728512764189,591.027042341565,521.87351812211
170,"COL","Colombia",1798.68050972693,2123.17883279514,2327.00575708844,2780.87847742529,2750.1901413596,3189.9270068827,3319.87990261837,4024.81403655621,4382.0589165225,5230.02240282584,5136.94316760654,6564.91938806125,8754.65485233416,14832.0580472364,19451.8162241173,28167.3162461784,33319.0684488956,38320.5509773065
174,"COM","Comoros",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",15.1706943525071,15.0796786800846,14.7581436686477,17.9154816759763,23.7769901368546,21.7700374464823,25.413562503457,27.935437126471,25.8860422635405,21.2847976080117,19.2661465250039,15.5317029882221,17.517780174524,30.5158705703678,30.9406520810079,38.7286661071014,46.5938012823074,42.3283709547653
384,"CIV","Cote d'Ivoire",85.086999245261,88.8317678379422,70.6119338179874,87.3197604333099,119.508213435078,191.612277465665,1609.91815813103,2167.83477581835,2232.50502485351,3327.88838964787,3534.45806415688,2661.0795474937,2199.01078562785,3095.3782309677,2200.63895529421,2475.93750054364,2030.41625078983,2045.64010558403
191,"HRV","Croatia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
192,"CUB","Cuba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0712861581152343,0.0712861581152343,0.106879817598741,0.106879817598741,1.21103286255136,6.93147922403935,5.69714345481282,6.55182950992621,6.55182950992621,5.83944798055935,2.04172222655273
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
203,"CZE","Czech Republic",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
180,"COD","Dem. Rep. Congo",12987.3463804093,13766.5494738203,14536.9910491981,15208.1909519935,18719.7237052429,21415.2801040093,22020.6099533185,24507.6696489977,34702.2228512894,43048.3666975164,48594.8280207042,62458.5728558528,72406.7341066783,76994.5410194335,82672.0637477356,93204.4935248918,97395.7955268561,104903.745688846
208,"DNK","Denmark",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
262,"DJI","Djibouti",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
212,"DMA","Dominica",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
214,"DOM","Dominican Republic",1287.68816412319,1282.53080022024,1294.79312215878,1294.18428826842,1258.77732187643,38.8133878494379,41.2746113933433,59.5314886825698,44.6312429238515,47.4828661471985,45.2400713750522,37.2151732119038,12.5185930824483,15.4843672501882,11.8827720258602,15.5038083898152,19.1245663138186,12.3743493453233
218,"ECU","Ecuador",258.005165069979,273.288817218397,311.059644049676,356.569755890571,356.383170413524,365.026089016238,403.952428485335,454.760989642099,499.202092848699,509.263560830737,527.01860099919,856.64131909037,972.255418049351,1071.93922714068,1124.69864237622,1322.85542750761,1052.91099199369,1106.81527694695
818,"EGY","Egypt",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
222,"SLV","El Salvador",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
226,"GNQ","Equatorial Guinea",46.578341365732,39.1549333383312,65.5400654439183,58.557147147957,68.9784427548557,104.93170160385,104.070925907424,78.5338059108163,119.557656813062,245.336827540261,304.699936698125,358.638155886842,386.820885797168,361.881432014041,254.226553667542,164.721502151466,129.423058843173,173.807794556509
232,"ERI","Eritrea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
233,"EST","Estonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
748,"SWZ","Eswatini",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
231,"ETH","Ethiopia",84.1632154477196,80.9142194567124,91.63733116515,81.9413048089135,86.4968024424819,79.008108747951,85.9658120241545,119.948403233133,317.317974049982,596.43969955933,604.306905801324,606.706530077966,719.843607340863,585.135534434264,331.19071625176,339.270351299203,357.35542087983,216.308900244025
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
246,"FIN","Finland",42.3417595306271,53.5063605385677,49.66285083028,57.3201521959987,47.6208054035251,43.788041079888,55.1248150384056,64.6580672731972,72.4370781647133,68.1906350232298,63.6475599694412,43.8367625104092,39.5091176973533,28.1185242087439,31.0004734320742,29.3978945801562,24.4154453083819,17.9752440353811
250,"FRA","France",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
258,"PYF","French Polynesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
266,"GAB","Gabon",1125.13186558127,1338.82353675863,1534.39158636739,1581.73619648362,2201.50097634697,2085.97009030511,1897.94801196942,1670.7507425404,2610.08075446777,3149.29823622774,3776.95250097832,4548.23127301076,4895.11823242592,4084.18101689479,3127.38751965343,2565.12489792678,1828.39253560265,1834.639627925
270,"GMB","Gambia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
268,"GEO","Georgia",32.8550923038172,39.5809527018264,47.0317730580347,48.6481164413658,45.0625204876818,39.9996493370607,31.2227832313025,25.3410532244157,36.6123590774926,32.622400292832,28.4251260088793,28.7547391822977,27.1825187570516,14.5392283863889,25.9573366873485,31.5746070199791,46.322948878827,57.5970334492528
276,"DEU","Germany",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
288,"GHA","Ghana",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
300,"GRC","Greece",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
320,"GTM","Guatemala",175.424224348989,231.755258145307,489.212103140984,693.792818327054,847.575820642699,757.229716966598,709.038656109986,498.167626886932,383.69151643969,238.004724324733,224.016649630929,376.000527282921,396.942634121988,340.620425173789,989.288444059681,1833.40315789637,1825.53939941609,1935.91755547256
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
624,"GNB","Guinea-Bissau",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
328,"GUY","Guyana",1173.64451108116,1381.13900401814,1477.92076567722,1682.39080471907,1800.23637771792,2120.74698811389,2354.85667990946,3033.82510054869,3053.61608964659,3520.16683895949,3785.24420107106,4687.7401690629,5143.80304603296,5286.81488040892,5391.1311537813,5370.72524684785,4587.4519935034,4033.52459967576
332,"HTI","Haiti",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
336,"VAT","Holy See",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
340,"HND","Honduras",278.53123586466,448.380904024063,576.498998522358,806.200891353075,1268.97662147862,1597.12976521352,2043.62884885802,2134.32152906876,2771.53627019199,3341.86955952103,3595.74704256649,4565.78088141261,6245.93305305561,7453.35647225403,8502.87005218908,11178.8611550497,13082.6821680691,13827.674743448
344,"HKG","Hong Kong",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
348,"HUN","Hungary",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
352,"ISL","Iceland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
