"code","iso","country","IFA.raw.2000"
4,"AFG","Afghanistan",-8888
8,"ALB","Albania",-8888
12,"DZA","Algeria",-8888
20,"AND","Andorra",-8888
24,"AGO","Angola",285836.634458954
660,"AIA","Anguilla",-8888
28,"ATG","Antigua and Barbuda",-8888
32,"ARG","Argentina",2088520.24311138
51,"ARM","Armenia",-8888
533,"ABW","Aruba",-8888
36,"AUS","Australia",3145326.1237714
40,"AUT","Austria",-8888
31,"AZE","Azerbaijan",-8888
44,"BHS","Bahamas",-8888
48,"BHR","Bahrain",-8888
50,"BGD","Bangladesh",-8888
52,"BRB","Barbados",-8888
112,"BLR","Belarus",-8888
56,"BEL","Belgium",-8888
84,"BLZ","Belize",427457.599883144
204,"BEN","Benin",-8888
60,"BMU","Bermuda",-8888
64,"BTN","Bhutan",481473.603152114
68,"BOL","Bolivia",23006053.0741104
70,"BIH","Bosnia and Herzegovina",-8888
72,"BWA","Botswana",-8888
76,"BRA","Brazil",244893049.760665
92,"VGB","British Virgin Islands",-8888
96,"BRN","Brunei Darussalam",199101.009305465
100,"BGR","Bulgaria",-8888
854,"BFA","Burkina Faso",-8888
108,"BDI","Burundi",-8888
132,"CPV","Cabo Verde",-8888
116,"KHM","Cambodia",114197.160623764
120,"CMR","Cameroon",5277549.70936621
124,"CAN","Canada",186090950.18439
136,"CYM","Cayman Islands",-8888
140,"CAF","Central African Republic",868101.09074758
148,"TCD","Chad",-8888
152,"CHL","Chile",5580270.40739871
156,"CHN","China",1687022.84679482
170,"COL","Colombia",34756904.4243763
174,"COM","Comoros",-8888
184,"COK","Cook Islands",-8888
188,"CRI","Costa Rica",315917.392424106
384,"CIV","Cote d'Ivoire",455951.527714903
191,"HRV","Croatia",-8888
192,"CUB","Cuba",3982.65699058797
531,"CUW","Curacao",-8888
196,"CYP","Cyprus",-8888
203,"CZE","Czech Republic",-8888
180,"COD","Dem. Rep. Congo",64343402.0369153
208,"DNK","Denmark",-8888
262,"DJI","Djibouti",-8888
212,"DMA","Dominica",-8888
214,"DOM","Dominican Republic",79081.481602827
218,"ECU","Ecuador",5262555.91092712
818,"EGY","Egypt",-8888
222,"SLV","El Salvador",-8888
226,"GNQ","Equatorial Guinea",422147.120380813
232,"ERI","Eritrea",-8888
233,"EST","Estonia",-8888
748,"SWZ","Eswatini",-8888
231,"ETH","Ethiopia",367201.431897705
234,"FRO","Faeroe Islands",-8888
238,"FLK","Falkland Islands",-8888
242,"FJI","Fiji",-8888
246,"FIN","Finland",421562.890413285
250,"FRA","France",-8888
258,"PYF","French Polynesia",-8888
266,"GAB","Gabon",10875632.0641981
270,"GMB","Gambia",-8888
268,"GEO","Georgia",437486.540408328
276,"DEU","Germany",-8888
288,"GHA","Ghana",-8888
300,"GRC","Greece",-8888
304,"GRL","Greenland",-8888
308,"GRD","Grenada",-8888
320,"GTM","Guatemala",565146.721614607
831,"GGY","Guernsey",-8888
324,"GIN","Guinea",-8888
624,"GNB","Guinea-Bissau",-8888
328,"GUY","Guyana",14356808.5401145
332,"HTI","Haiti",-8888
336,"VAT","Holy See",-8888
340,"HND","Honduras",673471.621519585
344,"HKG","Hong Kong",-8888
348,"HUN","Hungary",-8888
352,"ISL","Iceland",-8888
356,"IND","India",2566731.94905621
360,"IDN","Indonesia",35627847.0425611
364,"IRN","Iran",-8888
368,"IRQ","Iraq",-8888
372,"IRL","Ireland",-8888
833,"IMN","Isle of Man",-8888
376,"ISR","Israel",-8888
380,"ITA","Italy",-8888
388,"JAM","Jamaica",-8888
392,"JPN","Japan",112487.411143337
832,"JEY","Jersey",-8888
400,"JOR","Jordan",-8888
398,"KAZ","Kazakhstan",209615.762421074
404,"KEN","Kenya",-8888
296,"KIR","Kiribati",-8888
689,"XKX","Kosovo",-8888
414,"KWT","Kuwait",-8888
417,"KGZ","Kyrgyzstan",-8888
418,"LAO","Laos",843451.41043202
428,"LVA","Latvia",-8888
