"code","iso","country","IFC.raw.2001","IFC.raw.2002","IFC.raw.2003","IFC.raw.2004","IFC.raw.2005","IFC.raw.2006","IFC.raw.2007","IFC.raw.2008","IFC.raw.2009","IFC.raw.2010","IFC.raw.2011","IFC.raw.2012","IFC.raw.2013","IFC.raw.2014","IFC.raw.2015","IFC.raw.2016","IFC.raw.2017","IFC.raw.2018","IFC.raw.2019","IFC.raw.2020","IFC.raw.2021","IFC.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",425.869931256484,213.273309724303,311.753687096881,0.996924847961697,188.480713710194,51.8480483192019,452.856977725395,104.210428737673,576.939619849317,258.812898446058,52.9992707630959,567.649843666187,1564.07026897485,1513.47627215855,389.932298881284,502.874278115687,412.459730823746,263.062966466873,200.680681978291,184.035677864158,796.625877736372,462.754783515197
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",586.450266471237,1267.24805768832,590.255540729919,1164.35684842726,663.708309720982,1195.28310333137,288.856498094516,1763.76698500669,1082.14050843842,1246.68492101252,1337.23585196468,3234.77665366376,10966.3505863129,900.419151917695,15845.2898333757,3058.6733317425,651.593934134187,119.239168027494,456.543939683754,4659.72558354305,463.332366776705,6731.8901422962
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",16283.1559621896,9201.93149699068,26514.257182375,689.484975840225,3388.23848319651,7548.81391174228,2592.45506876154,5371.89457745097,4701.83641721156,54157.0522097056,6359.01969153357,12775.4575231989,19892.9476536644,10081.3617579708,12350.5559098972,15136.6179731436,777.768745895915,10787.8742517015,164683.496960991,181954.118764076,4338.96699043121,2479.16211999621
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",181.98912332743,336.633695486998,515.900811054843,13.4776880970876,244.573056733264,81.8465440386749,259.717042183569,234.496300641912,140.050386138613,183.347459269056,329.233983202683,283.656946527781,335.759446621963,147.958397525313,151.999879475227,994.642803708083,355.821229835841,82.5955008403581,429.439943798441,1063.96599930895,245.429918740678,91.6427805244954
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",30.0849676632107,23.1834065794238,28.1907325396408,111.116411802056,91.4734956455674,88.1485094242437,50.2452153840473,38.6046034923697,163.710232807574,588.360677953433,96.9977934665809,30.5398884053244,26.7411510488585,23.2748380784429,32.4516580216959,134.843389722237,199.215010775443,39.6728535545518,34.3096472323763,62.5842458014539,56.1243947063682,28.1117188912131
68,"BOL","Bolivia",4319.24935244303,7406.4021710297,4826.265173134,13838.6658604522,20838.8214118546,19172.7531959505,24464.9316156018,32278.2474619512,18334.0864615629,94952.1278588462,45375.8464788421,28050.3976426814,16398.5949871139,31678.6730067157,17128.447088052,67886.420234459,101634.618203265,42253.2461309739,110215.311216658,146339.968963548,146809.26318836,181667.496103214
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",43774.8360457564,101859.909788985,129011.379410134,236163.630214521,216879.204424435,194194.843694196,171268.103227084,151235.22372988,107400.699133492,198594.561774703,136663.647352228,222737.662760746,127631.024738522,214405.993173498,208227.185649405,866332.796390816,585848.702652722,370892.360368309,467824.878863144,599718.058396,571585.003191736,712471.53462741
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
