"code","iso","country","IFL.raw.2005","IFL.raw.2006","IFL.raw.2007","IFL.raw.2008","IFL.raw.2009","IFL.raw.2010","IFL.raw.2011","IFL.raw.2012","IFL.raw.2013","IFL.raw.2014","IFL.raw.2015","IFL.raw.2016","IFL.raw.2017","IFL.raw.2018","IFL.raw.2019","IFL.raw.2020","IFL.raw.2021","IFL.raw.2022"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
12,"DZA","Algeria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0.000797920510640201,0.000536217259309067,0.000703854041385368,0.000558635945914815,0.000961623264941663,0.00101083472089726,0.00101164023167167,0.00109196084288939,0.00211342531891814,0.00276872036469277,0.00286046465820043,0.00317524236904505,0.00306665578906645,0.00215634049307888,0.00123777692779958,0.00109371098509293,0.00129924908917586,0.00133444055634846
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",0.000409095294826874,0.000467398089723716,0.000373705767341794,0.000486083078325241,0.000478209911640839,0.000534036673503872,0.000547630293111013,0.000829736264100359,0.00171099021714768,0.00169358829278327,0.00309157377657393,0.00325642135087498,0.00300905169017385,0.00197031515371339,0.00192780896171472,0.000856661647081189,0.000608127693577403,0.00119038647016497
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
36,"AUS","Australia",0.00356573950642376,0.00301035404197632,0.00259008115654948,0.00124571419598939,0.00150084522428227,0.00472905188576733,0.00465339714133769,0.00530089772180072,0.00622423937254198,0.00656630408246842,0.00390797902142956,0.00446611499437505,0.00370322502333973,0.00312426608276122,0.0129548610111907,0.0237393428855737,0.0230527590110999,0.0231609445096555
40,"AUT","Austria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
31,"AZE","Azerbaijan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
44,"BHS","Bahamas",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
48,"BHR","Bahrain",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
50,"BGD","Bangladesh",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
56,"BEL","Belgium",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
84,"BLZ","Belize",0.000604773140097629,0.00055791816345614,0.000521930194907001,0.000390265903295452,0.000449487074272939,0.000420840678709521,0.00053658897244983,0.000547790038637801,0.00059516930900648,0.000598869330430294,0.000584202341328966,0.000895535592012685,0.000929300009034532,0.000810848987997211,0.000942549323352147,0.00136924245973949,0.00101869874023504,0.000895094223958542
204,"BEN","Benin",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
60,"BMU","Bermuda",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
64,"BTN","Bhutan",0.00011799152118425,0.000142110617799683,0.000153351860778511,0.000157677693341107,0.000179524714927003,0.000385927383341157,0.000389603299937373,0.000381417876333787,0.000376489900068487,0.000318154243114616,8.72344102131616e-05,0.00010295514589125,0.000173021343192965,0.000178393061360288,0.000182976826319235,0.000195493644513415,0.000162794449998696,9.17196119332026e-05
68,"BOL","Bolivia",0.000445355870508392,0.000574482790242596,0.00072277880077183,0.000961428882994846,0.00100050921186855,0.00164480318274871,0.00187259621789891,0.00190376598018304,0.00176571837659207,0.00188172772858449,0.00120517812209529,0.00140087073988682,0.00204056517442144,0.00226532907512682,0.0029480766803501,0.00407135950908444,0.00475746453283331,0.00545321949473083
70,"BIH","Bosnia and Herzegovina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
72,"BWA","Botswana",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
76,"BRA","Brazil",0.000594291230882219,0.000717136699788295,0.000773821194106066,0.00079197103081353,0.000686812529004785,0.000671879771486677,0.000624895019246305,0.000666929335519442,0.000647652186564477,0.00073504159524274,0.00074290839577801,0.00133881681355605,0.00163536344094858,0.00183403084769412,0.00204099375328683,0.00236071770880881,0.00212000218545105,0.00222341290461881
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",0.000212207674133262,0.000214134496990271,0.0002931141238988,0.000360450883317372,0.000746693596154313,0.000882840960303958,0.00109126839482046,0.00127349759454883,0.00151969826958119,0.00191424127302199,0.00217130847782588,0.00221708251839452,0.00207145904639728,0.00196213360752057,0.00137199563113446,0.0011962459947295,0.00109077342838709,0.00120475202741353
