"code","iso","country","MHP.raw.2010","MHP.raw.2011","MHP.raw.2012","MHP.raw.2013","MHP.raw.2014","MHP.raw.2015","MHP.raw.2016","MHP.raw.2017","MHP.raw.2018","MHP.raw.2019","MHP.raw.2020","MHP.raw.2021","MHP.raw.2022","MHP.raw.2023","MHP.raw.2024"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292,24.3779053869292
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",24.4711204407585,24.4711204407585,24.4711204407585,24.4711204407585,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221,33.0687583263221
32,"ARG","Argentina",9.54083420960393,9.54083420960393,9.54083420960393,9.54083420960393,9.54083420960393,9.54083420960393,9.54083420960393,9.54083420960393,33.0188541979751,33.0188541979751,33.0188541979751,33.0188541979751,33.0188541979751,33.0188541979751,33.0188541979751
51,"ARM","Armenia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",25.896544360852,26.7071073455714,30.0092461509461,30.0506049310612,30.0947369918881,30.0971810924582,30.4247151520295,30.5595992485658,41.4635794490745,42.5032923608164,42.5032923608164,42.5032923608164,42.5032923608164,42.5032923608164,42.5032923608164
40,"AUT","Austria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
31,"AZE","Azerbaijan",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
44,"BHS","Bahamas",1.17663104501317,1.17663104501317,8.24649940298375,8.24649940298375,8.24649940298375,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869,17.3805781463869
48,"BHR","Bahrain",44.3379806178498,44.3379806178498,44.3379806178498,44.3379806178498,44.3379806178498,44.3379806178498,44.3379806178498,59.4369905188399,59.4369905188399,59.4369905188399,59.4369905188399,59.4369905188399,59.4369905188399,59.4369905188399,59.4369905188399
50,"BGD","Bangladesh",4.75706214689265,4.82485875706215,4.82485875706215,4.82485875706215,4.82485875706215,4.82485875706215,4.82485875706215,10.9943502824859,10.9943502824859,11.0790960451977,11.0790960451977,61.0790960451978,61.0790960451978,61.0790960451978,61.0790960451978
52,"BRB","Barbados",0.0165343915343915,0.0165343915343915,0.0165343915343915,0.0165343915343915,0.0165343915343915,0.0165343915343915,0.0165343915343915,0.0496031746031745,0.0496031746031745,0.0496031746031745,0.0496031746031745,0.0496031746031745,0.0496031746031745,0.0496031746031745,0.0496031746031745
112,"BLR","Belarus",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
56,"BEL","Belgium",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
84,"BLZ","Belize",29.8073700623511,29.8073700623511,36.1095780342502,36.1095780342502,36.1095780342502,36.1095780342502,36.6825091164534,36.6825091164534,36.6825091164534,36.6825091164534,36.6825091164534,36.6825091164534,36.6825091164534,36.6825091164534,36.6825091164534
204,"BEN","Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
68,"BOL","Bolivia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
