"code","iso","country","MKP.raw.2010","MKP.raw.2011","MKP.raw.2012","MKP.raw.2013","MKP.raw.2014","MKP.raw.2015","MKP.raw.2016","MKP.raw.2017","MKP.raw.2018","MKP.raw.2019","MKP.raw.2020","MKP.raw.2021","MKP.raw.2022","MKP.raw.2023","MKP.raw.2024"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",21.1678832116788,21.1678832116788,21.1678832116788,21.1678832116788,21.1678832116788,21.1678832116788,25.5474452554745,25.5474452554745,25.5474452554745,25.5474452554745,25.5474452554745,25.5474452554745,25.5474452554745,25.5474452554745,25.5474452554745
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",72.9613733905579,72.9613733905579,72.9613733905579,72.9613733905579,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828
32,"ARG","Argentina",13.3588883564926,13.3588883564926,13.3588883564926,13.3588883564926,13.3588883564926,13.3588883564926,17.1058936272161,17.1058936272161,17.1058936272161,17.1058936272161,17.1058936272161,17.1058936272161,17.1058936272161,17.1058936272161,17.1058936272161
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",36.3217294547767,36.4771543121567,36.4895176530847,36.5036471855737,36.5160105265017,36.5177767180628,36.5177767180628,36.5425033999188,57.1292322365284,57.2122432399018,57.2122432399018,57.2122432399018,57.2122432399018,57.2122432399018,57.2122432399018
40,"AUT","Austria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
31,"AZE","Azerbaijan",0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826,0.801603206412826
44,"BHS","Bahamas",13.5452218430034,13.5452218430034,14.5264505119454,14.5264505119454,14.5264505119454,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819,25.0853242320819
48,"BHR","Bahrain",67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068,67.2932330827068
50,"BGD","Bangladesh",20.7542457542458,21.0414585414585,21.0414585414585,21.0414585414585,21.0414585414585,21.0414585414585,21.0414585414585,21.5909090909091,21.5909090909091,32.5674325674326,32.5674325674326,32.5674325674326,32.5674325674326,32.5674325674326,32.5674325674326
52,"BRB","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"BLR","Belarus",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
56,"BEL","Belgium",45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455,45.4545454545455
84,"BLZ","Belize",17.38873959494,17.38873959494,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225,25.8569836796225
204,"BEN","Benin",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
68,"BOL","Bolivia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
70,"BIH","Bosnia and Herzegovina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
72,"BWA","Botswana",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
76,"BRA","Brazil",45.8911092985318,45.8911092985318,45.8911092985318,45.8911092985318,47.4306688417618,47.4306688417618,47.4408646003263,47.4408646003263,66.3743882544861,66.3743882544861,66.3743882544861,66.3743882544861,66.3743882544861,66.3743882544861,66.3743882544861
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"BGR","Bulgaria",86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533,86.7153284671533
854,"BFA","Burkina Faso",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
108,"BDI","Burundi",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
132,"CPV","Cabo Verde",0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163,0.102365787079163
116,"KHM","Cambodia",27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749
120,"CMR","Cameroon",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
