"code","iso","country","NTI.raw.1961","NTI.raw.1962","NTI.raw.1963","NTI.raw.1964","NTI.raw.1965","NTI.raw.1966","NTI.raw.1967","NTI.raw.1968","NTI.raw.1969","NTI.raw.1970","NTI.raw.1971","NTI.raw.1972","NTI.raw.1973","NTI.raw.1974","NTI.raw.1975","NTI.raw.1976","NTI.raw.1977","NTI.raw.1978","NTI.raw.1979","NTI.raw.1980","NTI.raw.1981","NTI.raw.1982","NTI.raw.1983","NTI.raw.1984","NTI.raw.1985","NTI.raw.1986","NTI.raw.1987","NTI.raw.1988","NTI.raw.1989","NTI.raw.1990","NTI.raw.1991","NTI.raw.1992","NTI.raw.1993","NTI.raw.1994","NTI.raw.1995","NTI.raw.1996","NTI.raw.1997","NTI.raw.1998","NTI.raw.1999","NTI.raw.2000","NTI.raw.2001","NTI.raw.2002","NTI.raw.2003","NTI.raw.2004","NTI.raw.2005","NTI.raw.2006","NTI.raw.2007","NTI.raw.2008","NTI.raw.2009","NTI.raw.2010","NTI.raw.2011","NTI.raw.2012","NTI.raw.2013","NTI.raw.2014","NTI.raw.2015","NTI.raw.2016","NTI.raw.2017","NTI.raw.2018","NTI.raw.2019","NTI.raw.2020","NTI.raw.2021"
4,"AFG","Afghanistan",12.1144,12.262,12.4704,12.6717,13.008,13.4116,14.5246,15.6129,15.8024,16.0053,16.4685,13.9513,14.7034,16.8625,18.6635,19.5088,20.1643,19.6399,18.9566,19.8006,18.528,20.0784,18.9922,20.2699,19.4029,16.8006,17.9521,18.3194,18.1477,19.6063,17.1577,15.9552,16.3931,11.6398,11.4219,12.7487,12.1894,12.673,13.2007,11.5662,12.5837,13.5484,13.5895,13.8605,14.4235,14.5172,14.3505,15.4206,16.2716,17.3417,18.4807,17.9322,18.5641,22.4392,25.0249,26.7043,35.3332,27.5604,23.4884,19.0361,17.1558
8,"ALB","Albania",57.8365,55.0898,54.5982,54.47,55.2218,56.2058,62.8915,80.3711,73.3035,86.6358,94.3398,94.3212,99.8826,99.9949,98.864,112.6721,120.6291,154.2753,154.8566,152.1034,157.9907,155.5618,158.9799,161.1709,159.5995,161.9651,152.6605,159.6211,177.5956,166.0302,90.8772,78.3333,81.1422,90.9782,88.7447,80.1707,73.5018,90.8783,74.8795,81.5594,81.1962,109.8166,102.9515,111.9633,101.6174,97.977,96.7644,89.1516,92.7988,89.6267,96.2578,103.0858,92.3257,101.0847,107.3343,108.0075,104.5722,92.1242,106.9694,96.823,95.2036
12,"DZA","Algeria",4.5066,5.8011,6.3502,6.0085,5.8365,6.2393,6.151,6.8413,8.7835,10.8415,16.2019,16.0337,16.5326,13.9174,12.0335,12.9922,13.0341,13.3174,13.6259,17.0252,13.6327,12.4357,14.6182,18.3868,20.6822,22.7355,19.4571,14.2034,13.5177,15.0458,13.4492,13.8721,17.1362,14.9652,10.2508,9.7628,12.9013,14.7003,14.6131,13.2394,14.2939,13.3042,13.4349,18.2659,12.3137,15.1457,13.9901,11.722,14.1289,16.9482,16.5768,18.7984,18.5693,22.1181,22.5238,21.3177,21.0528,23.9889,23.8053,21.3062,18.9589
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",7.0946,7.5106,7.6501,7.7691,8.4334,8.7537,9.2251,9.2434,8.8883,9.3878,11.3014,11.5801,11.2033,10.4656,9.1051,9.1662,12.9292,11.9298,12.1897,12.2011,10.8961,10.4792,11.4191,11.5033,14.5644,12.599,12.233,12.2753,13.623,11.0777,11.4078,11.7195,11.4535,13.5816,12.3818,12.289,13.1445,14.6785,13.4161,13.3051,15.1875,15.4834,16.2808,19.3266,18.7138,19.5921,21.4521,23.5659,23.8575,25.8309,25.2649,23.328,27.1741,29.7923,29.782,26.7743,27.7232,27.2371,26.7359,28.7521,28.2562
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",38.0445,42.6767,43.4514,43.524,45.7217,36.7864,37.9522,36.0503,39.752,40.5167,48.1983,38.4443,38.6758,33.2408,32.472,33.3136,35.2446,41.3032,49.2015,53.961,50.6173,52.2016,53.1009,63.3068,67.1675,67.3127,67.3601,67.9245,63.6197,62.6053,73.2305,73.6346,73.8005,74.0509,73.6888,64.1179,64.3659,65.6243,74.3462,67.9043,69.7025,70.4247,76.1738,70.756,74.6871,73.2033,63.0285,66.3573,68.3067,52.3434,54.574,59.0713,58.8487,57.2491,53.2472,64.6712,55.237,55.5688,59.5631,55.5002,55.8127
32,"ARG","Argentina",14.2514,13.9699,14.5159,15.083,15.254,15.0504,14.832,13.5572,14.0116,14.0142,15.7214,16.0384,17.3127,17.4081,17.6348,18.5638,20.4095,23.196,27.8027,28.0839,27.5159,28.6534,29.0184,37.0472,36.6912,37.5275,37.388,44.0504,36.4543,45.5954,44.9666,47.5869,48.4836,55.8454,58.3878,65.8804,64.1409,75.4502,80.506,82.322,97.6748,103.7321,110.0604,108.492,105.4284,109.8829,119.1459,115.6518,98.0098,120.8495,119.4755,103.6927,117.9364,122.9238,122.279,128.8797,120.9651,108.6971,125.6973,121.2313,122.3544
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7916,50.9161,34.7033,36.2271,38.6638,38.5077,41.8612,35.692,37.1535,32.9403,44.5872,37.2643,54.0866,49.8219,84.5527,68.5939,57.6147,74.8516,63.369,69.9798,91.6191,97.5053,88.6165,102.9232,187.5373,136.3164,136.2406,141.9942,139.1637,134.3152
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
