"code","iso","country","NTL.raw.1992","NTL.raw.1993","NTL.raw.1994","NTL.raw.1995","NTL.raw.1996","NTL.raw.1997","NTL.raw.1998","NTL.raw.1999","NTL.raw.2000","NTL.raw.2001","NTL.raw.2002","NTL.raw.2003","NTL.raw.2004","NTL.raw.2005","NTL.raw.2006","NTL.raw.2007","NTL.raw.2008","NTL.raw.2009","NTL.raw.2010","NTL.raw.2011","NTL.raw.2012","NTL.raw.2013","NTL.raw.2014","NTL.raw.2015","NTL.raw.2016","NTL.raw.2017","NTL.raw.2018","NTL.raw.2019","NTL.raw.2020","NTL.raw.2021"
4,"AFG","Afghanistan",28115,21357,18774,30403,30068,28434,33114,29116,36099,27045,43693,62387,93482,120002,117246,125506,99764,120720,149769,163051,195240,555086,526857,453294,416064,6350781,1858456,2026191,532673,580016
8,"ALB","Albania",11553,30668,36047,64691,56521,42723,58523,81803,84872,83812,95897,101439,121395,133044,114842,130763,136479,131604,126994,147895,152700,321330,325997,302232,274887,420775,390882,442526,355643,406042
12,"DZA","Algeria",1561293,1470935,1467349,1689345,1659233,1574126,1657636,1655170,1783082,1748005,1607139,1731143,1989355,1994617,2097557,2234213,2145390,2107211,2478109,2577110,2848029,5066477,5371703,5573765,5532801,11008754,8646382,7550789,6305368,6716698
20,"AND","Andorra",11344,11482,12795,14381,13135,14295,14800,15307,16833,18421,18301,15368,16743,17628,16343,15611,17423,19055,16775,16063,16433,17893,16491,15589,15444,16764,18119,17831,16944,18531
24,"AGO","Angola",60331,49996,48926,51087,60446,62520,73512,78539,76137,81002,79291,75483,109236,102475,121039,134279,158481,195317,227202,249336,294665,3476789,3143415,3259236,3328427,4595085,2453927,4749710,3393705,3550475
660,"AIA","Anguilla",1228,1143,1420,1899,1816,2032,2290,2299,2341,2656,2554,2645,2339,2627,2818,2988,2776,2682,2865,2580,3321,2371,2351,2455,2449,2266,1950,2550,2185,2657
28,"ATG","Antigua and Barbuda",4251,5216,5300,6066,6207,6828,6785,7202,7194,7854,8303,8347,8936,7976,8407,8830,9097,10137,10031,11156,10343,10223,10731,11004,10100,11113,11233,11291,10549,11066
32,"ARG","Argentina",1434871,1884621,1864738,2349027,2330147,2392191,2561667,2716555,2877455,2882237,2852495,2796752,3000496,2971015,3128403,3231304,3288296,3529005,3540234,3801832,4159758,8588274,7978226,8481299,7987506,11485498,12165348,11137409,9739872,9369028
51,"ARM","Armenia",32691,40836,22485,29514,42238,50759,62712,46639,57114,54024,73112,76814,80775,92602,84753,107665,119967,101265,106006,131271,162012,218012,202154,170669,176354,371484,298388,378874,230054,282162
533,"ABW","Aruba",6976,6948,6851,7735,7404,8143,8960,8706,8958,9257,8705,9204,8760,9060,8731,8669,8401,8274,7683,8314,8538,6592,6835,6942,7318,8406,8505,9249,9277,9600
36,"AUS","Australia",1518811,1684180,1664836,1986573,1933223,1950145,2025478,2058712,2131040,2183926,2269175,2129272,2216485,2109667,2100956,2177069,2136263,2308263,2291225,2348398,2639814,8305961,9523670,8714426,6854683,11004530,9190224,10066943,6408267,7728638
40,"AUT","Austria",694285,699870,672128,967136,920193,892569,1167852,1176070,1285504,1408498,1337721,1297235,1176208,1388357,1186768,1219907,1267463,1432458,1560014,1295182,1573091,783185,806751,798192,814261,945798,955070,1017652,939923,1083009
31,"AZE","Azerbaijan",256710,327516,263103,311938,285473,245040,278362,310289,220064,234947,299034,310424,336839,352042,363099,430603,357422,329720,381235,370738,480458,934471,934448,885833,853453,1230517,1075164,1250671,886691,960750
