"code","iso","country","PAR.raw.2024"
4,"AFG","Afghanistan",0.0477614
8,"ALB","Albania",0.148576
12,"DZA","Algeria",0.0603841
20,"AND","Andorra",NA
24,"AGO","Angola",0.124884
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",NA
32,"ARG","Argentina",0.0797814
51,"ARM","Armenia",0.0785934
533,"ABW","Aruba",NA
36,"AUS","Australia",0.158392
40,"AUT","Austria",0.236099
31,"AZE","Azerbaijan",0.0628914
44,"BHS","Bahamas",0.22238
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",0.0330546
52,"BRB","Barbados",NA
112,"BLR","Belarus",0.126365
56,"BEL","Belgium",0.201062
84,"BLZ","Belize",0.302737
204,"BEN","Benin",0.184156
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",0.136592
68,"BOL","Bolivia",0.207515
70,"BIH","Bosnia and Herzegovina",0.167674
72,"BWA","Botswana",0.231033
76,"BRA","Brazil",0.288079
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",0.0926707
100,"BGR","Bulgaria",0.153585
854,"BFA","Burkina Faso",0.158101
108,"BDI","Burundi",0.109009
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",0.192978
120,"CMR","Cameroon",0.114646
124,"CAN","Canada",0.135213
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",0.12809
148,"TCD","Chad",0.112255
152,"CHL","Chile",0.12281
156,"CHN","China",0.0373348
170,"COL","Colombia",0.194963
174,"COM","Comoros",NA
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",0.265658
384,"CIV","Cote d'Ivoire",0.128291
191,"HRV","Croatia",0.169177
192,"CUB","Cuba",0.136278
531,"CUW","Curacao",NA
196,"CYP","Cyprus",0.129466
203,"CZE","Czech Republic",0.185415
180,"COD","Dem. Rep. Congo",0.121172
208,"DNK","Denmark",0.137866
262,"DJI","Djibouti",0.044383
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",0.171443
218,"ECU","Ecuador",0.15664
818,"EGY","Egypt",0.0963701
222,"SLV","El Salvador",0.123753
226,"GNQ","Equatorial Guinea",0.119956
232,"ERI","Eritrea",0.053898
233,"EST","Estonia",0.153061
748,"SWZ","Eswatini",0.124046
231,"ETH","Ethiopia",0.115449
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",0.181826
242,"FJI","Fiji",0.0314885
246,"FIN","Finland",0.107096
250,"FRA","France",0.203606
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",0.157644
270,"GMB","Gambia",0.134517
