"code","iso","country","PCR.raw.1961","PCR.raw.1962","PCR.raw.1963","PCR.raw.1964","PCR.raw.1965","PCR.raw.1966","PCR.raw.1967","PCR.raw.1968","PCR.raw.1969","PCR.raw.1970","PCR.raw.1971","PCR.raw.1972","PCR.raw.1973","PCR.raw.1974","PCR.raw.1975","PCR.raw.1976","PCR.raw.1977","PCR.raw.1978","PCR.raw.1979","PCR.raw.1980","PCR.raw.1981","PCR.raw.1982","PCR.raw.1983","PCR.raw.1984","PCR.raw.1985","PCR.raw.1986","PCR.raw.1987","PCR.raw.1988","PCR.raw.1989","PCR.raw.1990","PCR.raw.1991","PCR.raw.1992","PCR.raw.1993","PCR.raw.1994","PCR.raw.1995","PCR.raw.1996","PCR.raw.1997","PCR.raw.1998","PCR.raw.1999","PCR.raw.2000","PCR.raw.2001","PCR.raw.2002","PCR.raw.2003","PCR.raw.2004","PCR.raw.2005","PCR.raw.2006","PCR.raw.2007","PCR.raw.2008","PCR.raw.2009","PCR.raw.2010","PCR.raw.2011","PCR.raw.2012","PCR.raw.2013","PCR.raw.2014","PCR.raw.2015","PCR.raw.2016","PCR.raw.2017","PCR.raw.2018","PCR.raw.2019","PCR.raw.2020","PCR.raw.2021"
4,"AFG","Afghanistan",1.9164,1.951,1.8318,1.9427,1.9733,1.8127,1.9792,2.0331,2.1112,1.8508,1.7253,2.0206,2.2498,2.3478,2.4331,2.5192,2.2315,2.3509,2.2342,2.1129,2.0273,1.931,1.8741,1.823,1.7219,1.6488,1.762,1.5768,1.4836,1.4197,1.5545,1.4527,1.6978,1.7991,1.8538,1.8895,2.0884,2.1552,1.9131,1.2612,1.3444,2.0981,2.3815,1.9266,2.8828,2.4736,3.0525,2.1672,3.4415,3.154,2.5283,3.3869,3.4404,3.5776,3.1784,3.1578,2.7933,2.4482,3.2988,3.5247,2.8715
8,"ALB","Albania",3.5265,3.8887,3.7884,4.592,3.9717,4.6691,4.8423,4.7634,4.8085,4.7148,4.8714,5.0678,5.5112,5.4808,5.5341,6.4002,6.7471,6.7202,6.9875,6.3897,6.5881,6.8628,7.7332,7.3284,7.1968,7.2767,7.2689,6.6359,7.3474,5.9897,3.4019,3.2868,4.6234,4.4297,4.5499,3.7739,4.3727,4.6205,3.9445,4.2713,3.9625,3.9259,3.7564,4.1957,4.2383,4.0751,3.9056,4.9581,5.3422,5.596,5.696,6.2146,6.0674,6.1891,6.1845,6.2055,6.369,6.3711,6.178,6.7563,6.558
12,"DZA","Algeria",0.9623,1.7267,1.7432,1.2902,1.4513,0.8133,1.2824,1.661,1.4335,1.5566,1.4083,1.6575,1.2078,1.2312,1.8293,1.5936,0.9261,1.094,1.2484,1.5959,1.4421,1.1581,1.1057,1.1594,2.0027,1.8099,1.6117,1.0471,1.5132,1.334,2.3345,2.2231,1.3124,1.0041,1.5777,3.049,1.1125,1.97,1.7448,1.0914,1.8961,1.617,2.7456,2.9459,2.6241,2.8283,2.4577,1.6885,3.6526,3.1927,3.5915,3.8757,4.109,3.3766,3.6902,3.6425,3.6398,4.9893,4.9089,4.5467,3.4383
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",1.2427,1.3057,1.2442,1.3196,1.3425,1.3243,1.3712,1.3997,1.5698,1.6044,1.5757,1.4311,1.5734,1.5887,1.3272,1.3056,1.1435,1.1299,0.9898,0.9524,0.826,0.8376,0.8585,0.8496,0.8412,0.9122,0.9389,0.9044,0.8469,0.8172,0.9459,0.9862,0.9231,1.1454,1.0699,1.2067,1.1318,1.4167,1.2853,1.4368,1.7092,1.932,1.9449,2.1001,2.3846,2.2359,2.4855,2.5393,2.9096,2.9563,2.9999,1.8247,3.2231,2.9937,3.0615,3.0662,3.1075,3.3211,3.3584,3.5299,3.5427
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",8.0822,9.6224,12.2531,12.1173,7.8708,5.3603,3.7939,1.7211,3.1884,3.3496,7.014,1.5207,1.5827,1.2543,1.4723,1.4209,1.3683,1.4395,1.3941,1.3457,1.398,1.4658,1.2084,1.4183,1.9894,1.8636,1.9353,1.9853,1.6211,1.7032,1.7574,1.7823,1.7659,1.7619,1.6663,1.7052,1.7363,1.7208,1.7594,1.7598,1.7576,1.839,1.8761,1.931,1.5423,1.6301,1.7301,1.7892,1.8119,1.8346,1.8501,1.815,1.8538,1.8556,1.8596,1.807,1.6594,1.6204,1.5653,1.4957,1.5018
32,"ARG","Argentina",3.8021,3.6463,4.2637,4.6976,3.5545,3.7654,3.9238,3.1858,3.535,3.8174,4.0221,3.5282,4.3058,4.3652,4.3455,4.7403,4.5851,5.6993,5.5207,4.5913,5.8498,6.8667,6.4749,7.2001,6.5364,6.388,5.688,6.6508,5.235,6.575,7.0633,7.2332,6.8692,7.0593,7.8986,7.7253,8.8049,10.9457,10.2075,10.6951,11.6525,12.0631,11.9215,10.7767,12.2493,11.1985,12.774,13.4527,9.077,12.9546,13.435,11.3582,12.8508,13.6564,15.0339,14.8922,15.5263,12.5554,16.0426,14.8675,14.4973
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6091,3.6082,3.1805,3.3443,3.8167,3.1396,3.8712,3.6686,2.9506,4.0976,4.4949,4.0295,5.2345,5.1432,3.8504,5.773,5.6603,5.3685,4.454,5.6688,6.1634,6.9041,7.2823,7.6067,7.1775,5.0342,4.6584,3.5497,4.1005,3.6116
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
