"code","iso","country","PFA.raw.2001"
4,"AFG","Afghanistan",-8888
8,"ALB","Albania",-8888
12,"DZA","Algeria",-8888
20,"AND","Andorra",-8888
24,"AGO","Angola",2457477.85112519
660,"AIA","Anguilla",-8888
28,"ATG","Antigua and Barbuda",58.8475930223425
32,"ARG","Argentina",4412127.12485912
51,"ARM","Armenia",-8888
533,"ABW","Aruba",7.51631835594672
36,"AUS","Australia",12674.7608083371
40,"AUT","Austria",-8888
31,"AZE","Azerbaijan",-8888
44,"BHS","Bahamas",11265.2579070399
48,"BHR","Bahrain",-8888
50,"BGD","Bangladesh",96621.2858583109
52,"BRB","Barbados",-8888
112,"BLR","Belarus",-8888
56,"BEL","Belgium",-8888
84,"BLZ","Belize",1164465.74318593
204,"BEN","Benin",1870.91972175519
60,"BMU","Bermuda",-8888
64,"BTN","Bhutan",1605449.19991375
68,"BOL","Bolivia",40817156.0163455
70,"BIH","Bosnia and Herzegovina",-8888
72,"BWA","Botswana",-8888
76,"BRA","Brazil",343229983.066321
92,"VGB","British Virgin Islands",3022.79850752656
96,"BRN","Brunei Darussalam",431455.22776917
100,"BGR","Bulgaria",-8888
854,"BFA","Burkina Faso",-8888
108,"BDI","Burundi",24848.8802564073
132,"CPV","Cabo Verde",-8888
116,"KHM","Cambodia",4284047.08256091
120,"CMR","Cameroon",19075628.658854
124,"CAN","Canada",-8888
136,"CYM","Cayman Islands",6199.19541270849
140,"CAF","Central African Republic",7363125.76102441
148,"TCD","Chad",-8888
152,"CHL","Chile",-8888
156,"CHN","China",1736513.626743
170,"COL","Colombia",54763585.6993761
174,"COM","Comoros",-8888
184,"COK","Cook Islands",-8888
188,"CRI","Costa Rica",1485835.10087978
384,"CIV","Cote d'Ivoire",1365239.67649174
191,"HRV","Croatia",-8888
192,"CUB","Cuba",400819.125109522
531,"CUW","Curacao",-8888
196,"CYP","Cyprus",-8888
203,"CZE","Czech Republic",-8888
180,"COD","Dem. Rep. Congo",104580066.632122
208,"DNK","Denmark",-8888
262,"DJI","Djibouti",-8888
212,"DMA","Dominica",35963.2681322505
214,"DOM","Dominican Republic",316879.652568328
218,"ECU","Ecuador",10627032.0359652
818,"EGY","Egypt",-8888
222,"SLV","El Salvador",50573.0433413144
226,"GNQ","Equatorial Guinea",2246143.71826515
232,"ERI","Eritrea",-8888
233,"EST","Estonia",-8888
748,"SWZ","Eswatini",-8888
231,"ETH","Ethiopia",1890183.85911577
234,"FRO","Faeroe Islands",-8888
238,"FLK","Falkland Islands",-8888
242,"FJI","Fiji",533104.042611297
246,"FIN","Finland",-8888
250,"FRA","France",-8888
258,"PYF","French Polynesia",-8888
266,"GAB","Gabon",22669525.2819728
270,"GMB","Gambia",-8888
268,"GEO","Georgia",-8888
276,"DEU","Germany",-8888
288,"GHA","Ghana",1090290.34530117
300,"GRC","Greece",-8888
304,"GRL","Greenland",-8888
308,"GRD","Grenada",-8888
320,"GTM","Guatemala",2583218.75289234
831,"GGY","Guernsey",-8888
324,"GIN","Guinea",233461.103485864
624,"GNB","Guinea-Bissau",71370.5723454277
328,"GUY","Guyana",17293018.2251039
332,"HTI","Haiti",8682.05454945331
336,"VAT","Holy See",-8888
340,"HND","Honduras",2150089.78598125
344,"HKG","Hong Kong",-8888
348,"HUN","Hungary",-8888
352,"ISL","Iceland",-8888
356,"IND","India",10185416.9895369
360,"IDN","Indonesia",93837980.8918926
364,"IRN","Iran",-8888
368,"IRQ","Iraq",-8888
372,"IRL","Ireland",-8888
833,"IMN","Isle of Man",-8888
376,"ISR","Israel",-8888
380,"ITA","Italy",-8888
388,"JAM","Jamaica",237094.132985177
392,"JPN","Japan",-8888
832,"JEY","Jersey",-8888
400,"JOR","Jordan",-8888
398,"KAZ","Kazakhstan",-8888
404,"KEN","Kenya",649579.402793538
296,"KIR","Kiribati",-8888
689,"XKX","Kosovo",-8888
414,"KWT","Kuwait",-8888
