"code","iso","country","PFA.raw.2001"
4,"AFG","Afghanistan",NA
8,"ALB","Albania",NA
12,"DZA","Algeria",NA
20,"AND","Andorra",NA
24,"AGO","Angola",2457477.85112519
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",58.8475930223425
32,"ARG","Argentina",4412127.12485912
51,"ARM","Armenia",NA
533,"ABW","Aruba",7.51631835594672
36,"AUS","Australia",12674.7608083371
40,"AUT","Austria",NA
31,"AZE","Azerbaijan",NA
44,"BHS","Bahamas",11265.2579070399
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",96621.2858583109
52,"BRB","Barbados",NA
112,"BLR","Belarus",NA
56,"BEL","Belgium",NA
84,"BLZ","Belize",1164465.74318593
204,"BEN","Benin",1870.91972175519
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",1605449.19991375
68,"BOL","Bolivia",40817156.0163455
70,"BIH","Bosnia and Herzegovina",NA
72,"BWA","Botswana",NA
76,"BRA","Brazil",343229983.066321
92,"VGB","British Virgin Islands",3022.79850752656
96,"BRN","Brunei Darussalam",431455.22776917
100,"BGR","Bulgaria",NA
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",24848.8802564073
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",4284047.08256091
120,"CMR","Cameroon",19075628.658854
124,"CAN","Canada",NA
136,"CYM","Cayman Islands",6199.19541270849
140,"CAF","Central African Republic",7363125.76102441
148,"TCD","Chad",NA
152,"CHL","Chile",NA
156,"CHN","China",1736513.626743
170,"COL","Colombia",54763585.6993761
174,"COM","Comoros",NA
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",1485835.10087978
384,"CIV","Cote d'Ivoire",1365239.67649174
191,"HRV","Croatia",NA
192,"CUB","Cuba",400819.125109522
531,"CUW","Curacao",NA
196,"CYP","Cyprus",NA
203,"CZE","Czech Republic",NA
180,"COD","Dem. Rep. Congo",104580066.632122
208,"DNK","Denmark",NA
262,"DJI","Djibouti",NA
212,"DMA","Dominica",35963.2681322505
214,"DOM","Dominican Republic",316879.652568328
218,"ECU","Ecuador",10627032.0359652
818,"EGY","Egypt",NA
222,"SLV","El Salvador",50573.0433413144
226,"GNQ","Equatorial Guinea",2246143.71826515
232,"ERI","Eritrea",NA
233,"EST","Estonia",NA
748,"SWZ","Eswatini",NA
231,"ETH","Ethiopia",1890183.85911577
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",533104.042611297
246,"FIN","Finland",NA
