"code","iso","country","PHL.raw.2022"
4,"AFG","Afghanistan",96.6448679628438
8,"ALB","Albania",93.5822185016705
12,"DZA","Algeria",92.7729290410054
20,"AND","Andorra",NA
24,"AGO","Angola",98.211618824514
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",98.2443721408983
32,"ARG","Argentina",95.0192732406012
51,"ARM","Armenia",94.9980857861856
533,"ABW","Aruba",NA
36,"AUS","Australia",98.6353963976099
40,"AUT","Austria",92.618399928069
31,"AZE","Azerbaijan",87.8970836815173
44,"BHS","Bahamas",99.9977628806405
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",91.4000482579983
52,"BRB","Barbados",NA
112,"BLR","Belarus",95.1312443624549
56,"BEL","Belgium",94.8709010377532
84,"BLZ","Belize",99.901727268404
204,"BEN","Benin",96.3597241001921
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",99.8269756983665
68,"BOL","Bolivia",99.2093440243397
70,"BIH","Bosnia and Herzegovina",95.6060318090105
72,"BWA","Botswana",92.012382633469
76,"BRA","Brazil",98.9428560572043
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",99.9785690601049
100,"BGR","Bulgaria",69.2297600741365
854,"BFA","Burkina Faso",97.3638471824559
108,"BDI","Burundi",99.2497570648392
132,"CPV","Cabo Verde",98.468273819188
116,"KHM","Cambodia",97.5559115868282
120,"CMR","Cameroon",98.0928960656512
124,"CAN","Canada",99.8165181257408
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",99.892689768168
148,"TCD","Chad",97.7232255195798
152,"CHL","Chile",99.2325386448815
156,"CHN","China",77.1745372550299
170,"COL","Colombia",99.4874278959411
174,"COM","Comoros",99.9340206190982
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",99.5093690437419
384,"CIV","Cote d'Ivoire",99.3270684700532
191,"HRV","Croatia",91.6682673693449
192,"CUB","Cuba",99.4846136707041
531,"CUW","Curacao",NA
196,"CYP","Cyprus",88.9572761262604
203,"CZE","Czech Republic",87.9263148677441
180,"COD","Dem. Rep. Congo",99.5813640953063
208,"DNK","Denmark",94.2822455666785
262,"DJI","Djibouti",99.9993676170256
212,"DMA","Dominica",99.2450117034443
214,"DOM","Dominican Republic",98.4188365558392
218,"ECU","Ecuador",99.2927018425081
818,"EGY","Egypt",99.7793453427566
222,"SLV","El Salvador",97.4027893778913
226,"GNQ","Equatorial Guinea",99.5264342933788
232,"ERI","Eritrea",93.9376017684185
233,"EST","Estonia",98.5889397650278
748,"SWZ","Eswatini",99.665998546324
231,"ETH","Ethiopia",83.9988956324022
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",100
242,"FJI","Fiji",99.8795627306566
246,"FIN","Finland",99.9996617206442
250,"FRA","France",77.8020094736359
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",97.2230703112351
270,"GMB","Gambia",99.8158837508247
268,"GEO","Georgia",99.6477076573703
276,"DEU","Germany",74.1985434931507
288,"GHA","Ghana",98.6004483511358
300,"GRC","Greece",85.6894996601838
304,"GRL","Greenland",NA
308,"GRD","Grenada",95.5469464766408
320,"GTM","Guatemala",97.8911667572059
831,"GGY","Guernsey",NA
324,"GIN","Guinea",98.4344955348287
624,"GNB","Guinea-Bissau",99.4171202130134
328,"GUY","Guyana",99.7301296086619
332,"HTI","Haiti",93.4824037493447
336,"VAT","Holy See",NA
340,"HND","Honduras",99.1680683223265
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",89.2075780826942
352,"ISL","Iceland",99.9510663557479
356,"IND","India",99.0345734350561
360,"IDN","Indonesia",99.5379340063193
364,"IRN","Iran",96.5300096587362
368,"IRQ","Iraq",96.1691747435134
