"code","iso","country","PRS.raw.2015","PRS.raw.2018"
4,"AFG","Afghanistan",1.77101151745218,2.16035972517471
8,"ALB","Albania",1.48617151735738,1.54204086276246
12,"DZA","Algeria",1.04905217240824,1.14251368395714
20,"AND","Andorra",0.201284499954525,0.329800883258941
24,"AGO","Angola",0.132793994651445,0.0985120729154083
660,"AIA","Anguilla",1,1
28,"ATG","Antigua and Barbuda",3.17864813560113,2.64656281154271
32,"ARG","Argentina",2.81991890552234,3.17213859000174
51,"ARM","Armenia",1.51642696382617,2.28032545512427
533,"ABW","Aruba",1,1
36,"AUS","Australia",1.91178677474447,1.8464284951526
40,"AUT","Austria",1.11356361557699,1.27975013604313
31,"AZE","Azerbaijan",0.867974429112491,1.61228318635227
44,"BHS","Bahamas",3.43895611052261,3.44944685794539
48,"BHR","Bahrain",1.75262826015123,1.86967322267198
50,"BGD","Bangladesh",1.16197697791725,1.95360575139732
52,"BRB","Barbados",4.79663276672363,3.8939745426178
112,"BLR","Belarus",1.32005690075057,1.20864591170885
56,"BEL","Belgium",1.7042900261895,1.72645173727604
84,"BLZ","Belize",2.73767276988698,2.61017849765527
204,"BEN","Benin",0.944523594307762,1.27261585267784
60,"BMU","Bermuda",1,1
64,"BTN","Bhutan",0.643528940306339,1.12975216929088
68,"BOL","Bolivia",2.12243634470862,2.5762220251677
70,"BIH","Bosnia and Herzegovina",1.66303399347176,2.15587925269394
72,"BWA","Botswana",0.107995660619558,0.280685512737488
76,"BRA","Brazil",2.57365077076655,2.09334864241722
92,"VGB","British Virgin Islands",1,1
96,"BRN","Brunei Darussalam",3.77354411682,3.49070536390528
100,"BGR","Bulgaria",0.643986666734281,1.34658494694751
854,"BFA","Burkina Faso",0.272658870727897,0.439923720807255
108,"BDI","Burundi",0.685383310981254,1.0319063266807
132,"CPV","Cabo Verde",3.01016930617367,2.16657325493307
116,"KHM","Cambodia",1.54173892831809,2.31266494604288
120,"CMR","Cameroon",1.9677389649061,1.84228768494027
124,"CAN","Canada",2.63391356432937,2.98920934514288
136,"CYM","Cayman Islands",1,1
140,"CAF","Central African Republic",0.240871750656903,0.282876049312834
148,"TCD","Chad",1.78084338827082,1.21569557441155
152,"CHL","Chile",1.77113452779975,2.55704922396029
156,"CHN","China",1.29593489220062,1.77771594067806
170,"COL","Colombia",2.69608917753211,2.33296549656181
174,"COM","Comoros",1,1
184,"COK","Cook Islands",1,1
188,"CRI","Costa Rica",2.92541571660659,2.28969142969538
384,"CIV","Cote d'Ivoire",2.16487543591778,2.4527304495578
191,"HRV","Croatia",0.951768347248168,0.979870224069515
192,"CUB","Cuba",2.5267756141403,2.04643469022867
531,"CUW","Curacao",1,1
196,"CYP","Cyprus",2.01360866932256,2.31265728464648
203,"CZE","Czech Republic",1.14786149515548,1.3252050105677
180,"COD","Dem. Rep. Congo",1.5858839424149,1.89896408405076
208,"DNK","Denmark",1.12535988940373,1.29445238013835
262,"DJI","Djibouti",1.4012925372995,0.614486628885327
212,"DMA","Dominica",3.61054671957976,2.78835778089337
214,"DOM","Dominican Republic",2.25256221972284,2.00690244502371
218,"ECU","Ecuador",2.74588858773979,2.96149035737495
818,"EGY","Egypt",2.28674087599074,2.50418194999333
222,"SLV","El Salvador",1.97409872832028,2.24522450823204
