"code","iso","country","PSU.raw.1965","PSU.raw.1966","PSU.raw.1967","PSU.raw.1968","PSU.raw.1969","PSU.raw.1970","PSU.raw.1971","PSU.raw.1972","PSU.raw.1973","PSU.raw.1974","PSU.raw.1975","PSU.raw.1976","PSU.raw.1977","PSU.raw.1978","PSU.raw.1979","PSU.raw.1980","PSU.raw.1981","PSU.raw.1982","PSU.raw.1983","PSU.raw.1984","PSU.raw.1985","PSU.raw.1986","PSU.raw.1987","PSU.raw.1988","PSU.raw.1989","PSU.raw.1990","PSU.raw.1991","PSU.raw.1992","PSU.raw.1993","PSU.raw.1994","PSU.raw.1995","PSU.raw.1996","PSU.raw.1997","PSU.raw.1998","PSU.raw.1999","PSU.raw.2000","PSU.raw.2001","PSU.raw.2002","PSU.raw.2003","PSU.raw.2004","PSU.raw.2005","PSU.raw.2006","PSU.raw.2007","PSU.raw.2008","PSU.raw.2009","PSU.raw.2010","PSU.raw.2011","PSU.raw.2012","PSU.raw.2013","PSU.raw.2014","PSU.raw.2015","PSU.raw.2016","PSU.raw.2017","PSU.raw.2018","PSU.raw.2019","PSU.raw.2020","PSU.raw.2021"
4,"AFG","Afghanistan",0,0,0,0,0,0,0.00985999999999998,0.00985999999999998,0.00985999999999998,0.00985999999999998,0.00985999999999998,0,0.02632,0.03356,0.03908,0.03908,0.0633400000000001,0.07964,0.17092,0.24412,0.3187,0.3074,0.37564,0.27712,0.1984,0.12382,0.11086,0,0,0,0,0,0,0,0,0.01446,0.01446,0.01446,0.01446,0.01446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02202,0.02202,0.02202,0.02202
8,"ALB","Albania",8.07366,8.12122,8.48982,10.12838,11.94626,13.43988,15.0533,16.49198,16.56798,16.86248,17.13668,17.02588,16.63766,16.74664,16.12908,15.38434,13.56886,14.733,14.90244,14.59994,14.31518,15.6646,15.4712,15.91292,17.01482,18.4995,18.15286,16.63132,14.10126,12.43816,10.3388,10.06684,9.49058,10.48912,10.6694,10.97412,11.42952,12.84004,13.86982,15.05816,16.48404,17.0363,16.7027,15.83584,14.93184,13.8935,13.74722,13.66118,13.94386,14.35862,14.86264,15.6171,15.94782,15.28444,14.76248,14.30808,13.08288
12,"DZA","Algeria",0.12262,0.13118,0.16888,0.1832,0.31448,0.62434,1.11674,1.75588,2.46914,2.8964,3.00276,3.01432,3.03308,2.97072,3.04948,3.58056,3.50848,3.2884,3.2481,3.39506,3.51882,3.7848,4.18154,4.03746,3.50344,2.60434,1.7875,0.91524,0.58882,0.56388,0.39192,0.39192,0.57992,0.4255,0.188,0.29366,0.30668,0.13394,0.13394,0.13394,0.02828,0.01526,0,0,0,0,0,0,0,0.19328,0.19468,0.19468,0.19468,0.19468,0.00140000000000002,0,0
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0,0,0.00655999999999999,0.00886,0.00886,0.00886,0.00886,0.00230000000000001,0.17358,0.28572,0.33404,0.44416,0.615,0.53972,0.58404,0.66458,0.81612,0.80452,0.84402,0.93986,1.11796,1.0839,1.04742,1.04078,0.92894,0.77222,0.65526,0.59488,0.54304,0.42422,0.31318,0.21142,0.14904,0.06972,0.04808,0.00888,0,0,0,0,0,0,0.0912800000000001,0.2882,0.2882,0.29942,0.29942,0.20814,0.03034,0.03034,0.01912,0.01912,0.01912
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0,0.22684,0.813,1.89708,2.71226,3.50784,3.29476,3.96058,4.1216,4.34322,4.49276,5.45696,5.29088,5.34062,5.90116,6.72658,7.35556,7.92446,8.3857,8.9479,9.36848,9.98516,10.53966,11.01274,10.97628,10.86278,11.09404,11.3505,11.5942,11.94882,12.36156,12.07462,11.81928,11.61232,11.74682,11.53922,11.73566,11.89806,12.31706,12.0796,12.12884,12.0799,11.69102,11.06592,10.89422,10.22726,9.71312,9.56122,9.30676,8.8967,9.00868,8.95406,8.93842,8.93618,9.15132,9.55232,9.8607
32,"ARG","Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9535,2.9387,2.5593,2.231525,1.83356,1.10868,0.7239,0.3638,0.11416,0.06582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
