"code","iso","country","PTI.raw.1961","PTI.raw.1962","PTI.raw.1963","PTI.raw.1964","PTI.raw.1965","PTI.raw.1966","PTI.raw.1967","PTI.raw.1968","PTI.raw.1969","PTI.raw.1970","PTI.raw.1971","PTI.raw.1972","PTI.raw.1973","PTI.raw.1974","PTI.raw.1975","PTI.raw.1976","PTI.raw.1977","PTI.raw.1978","PTI.raw.1979","PTI.raw.1980","PTI.raw.1981","PTI.raw.1982","PTI.raw.1983","PTI.raw.1984","PTI.raw.1985","PTI.raw.1986","PTI.raw.1987","PTI.raw.1988","PTI.raw.1989","PTI.raw.1990","PTI.raw.1991","PTI.raw.1992","PTI.raw.1993","PTI.raw.1994","PTI.raw.1995","PTI.raw.1996","PTI.raw.1997","PTI.raw.1998","PTI.raw.1999","PTI.raw.2000","PTI.raw.2001","PTI.raw.2002","PTI.raw.2003","PTI.raw.2004","PTI.raw.2005","PTI.raw.2006","PTI.raw.2007","PTI.raw.2008","PTI.raw.2009","PTI.raw.2010","PTI.raw.2011","PTI.raw.2012","PTI.raw.2013","PTI.raw.2014","PTI.raw.2015","PTI.raw.2016","PTI.raw.2017","PTI.raw.2018","PTI.raw.2019","PTI.raw.2020","PTI.raw.2021"
4,"AFG","Afghanistan",1.294,1.3072,1.3267,1.3492,1.3881,1.4609,1.5053,1.5483,1.5977,1.6719,1.7746,1.8006,1.5906,1.8422,1.9155,2.2948,2.3631,2.3871,2.2618,2.0827,2.1486,2.1441,2.3667,2.2166,2.0948,1.7136,2.3163,1.2926,1.2724,0.9884,1.3128,1.3593,1.3203,1.3108,1.2966,1.3816,1.4328,1.45,1.5866,1.3335,1.2797,1.414,1.6328,1.7257,1.782,1.6294,1.5101,1.6834,1.8019,2.0052,2.1936,1.8258,1.8618,1.9766,2.2334,2.2669,2.7558,2.5583,3.098,2.9693,1.9626
8,"ALB","Albania",11.7075,11.6118,11.2394,12.0496,13.5273,13.0879,14.4084,20.4072,21.3555,21.7385,21.3573,21.8273,21.535,23.5003,23.9288,22.3321,21.5655,23.2889,21.9192,21.0607,13.4426,27.5019,25.1491,20.7476,20.444,20.8783,26.941,26.2604,26.2761,26.6603,15.2703,15.3512,11.5976,15.0429,14.7237,14.2825,13.5558,16.5874,15.4591,15.9687,16.7481,20.1616,20.8722,21.652,23.0651,19.622,18.4733,17.7396,18.2785,19.2311,20.5115,20.3521,20.2623,21.1992,22.3397,24.7933,22.1601,17.2491,18.5783,20.6395,19.0198
12,"DZA","Algeria",1.5144,1.6053,1.3358,1.3512,1.0629,1.4082,1.4709,1.7326,2.1509,3.1059,4.4652,5.0417,4.8457,4.0849,3.9104,4.7083,4.4041,4.4201,4.4959,6.3324,4.1964,3.5357,4.2303,5.1417,7.358,5.8941,5.973,3.4513,2.8254,2.1938,1.9611,1.9653,2.0845,2.1916,1.1767,0.9736,2.0525,1.9588,1.6288,1.6197,1.9612,1.6933,1.3401,2.5127,2.0295,1.854,2.3436,1.2758,2.8382,2.0895,2.277,3.2854,4.0136,4.343,3.6972,3.3965,3.2736,3.6039,3.7867,4.0056,3.1006
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0.5468,0.5515,0.5703,0.6084,0.6282,0.6448,0.6653,0.821,0.9679,1.0636,1.6085,1.4426,1.3472,1.1359,0.8848,0.8619,2.0114,1.6906,1.2314,1.503,1.6802,1.3291,1.6408,1.4939,2.1495,1.7084,1.6279,2.1659,2.3817,1.9552,1.5597,1.642,1.6254,1.8966,1.6231,1.5186,1.5284,1.5249,1.4813,1.4812,1.5065,1.565,1.5879,1.9634,1.7499,1.8786,2.1214,2.4875,2.4201,2.8536,3.4563,2.8093,3.0619,3.0498,2.984,2.7841,3.2031,2.8829,3.3079,3.2826,3.2667
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",4.3185,5.0628,5.0696,5.4965,6.4671,6.4945,6.7247,7.1415,7.2643,7.3275,7.0828,7.7806,7.8082,6.4383,6.1979,6.3107,6.7978,7.9137,9.3808,10.1984,9.4327,9.7398,9.9888,12.216,12.945,12.9817,12.9818,13.1311,12.2365,12.0913,14.0318,14.1111,14.1302,14.1504,14.1181,12.5449,12.7884,13.0503,14.8204,13.1736,13.5795,13.7031,15.3006,13.8047,13.2023,13.2073,11.6498,12.0882,12.8271,10.1598,10.8566,10.9752,10.8805,10.8205,10.7447,10.5404,10.7414,10.6359,11.6059,12.3858,11.7771
32,"ARG","Argentina",1.8346,1.5561,1.6188,1.6861,1.727,1.904,1.8481,1.7916,2.0005,1.9098,1.9307,2.0143,1.9308,1.8339,1.9126,2.0744,1.792,1.9571,2.3164,2.2275,2.0529,2.2373,2.2889,2.2221,2.2356,2.2143,2.3433,2.134,1.8931,1.9454,1.9614,2.3623,2.7242,3.4655,3.8517,5.5473,5.54,5.8719,5.8956,5.6686,5.676,5.2179,6.2646,7.5914,6.6153,7.1102,8.5417,5.9935,5.1854,7.5955,8.227,6.8899,7.004,6.7957,5.3492,7.9089,7.3032,7.6796,8.3137,9.0894,9.3123
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5626,5.5321,4.981,4.5925,4.0584,3.4687,3.0718,2.8858,2.3651,1.931,1.7357,1.8783,2.8326,1.8225,2.1232,2.2601,1.795,1.7181,1.905,2.2472,1.9659,2.602,3.5627,3.0737,2.8232,2.5542,2.5207,2.8944,3.1663,2.8112
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
