"code","iso","country","SHI.raw.2001","SHI.raw.2002","SHI.raw.2003","SHI.raw.2004","SHI.raw.2005","SHI.raw.2006","SHI.raw.2007","SHI.raw.2008","SHI.raw.2009","SHI.raw.2010","SHI.raw.2011","SHI.raw.2012","SHI.raw.2013","SHI.raw.2014","SHI.raw.2015","SHI.raw.2016","SHI.raw.2017","SHI.raw.2018","SHI.raw.2019","SHI.raw.2020","SHI.raw.2021","SHI.raw.2022"
4,"AFG","Afghanistan",100,99.66,99.48,99.31,99.19,99.11,99.02,98.93,98.9,98.91,98.9,98.9,98.89,98.91,98.91,98.92,98.92,98.9,98.87,98.85,98.85,98.85
8,"ALB","Albania",100,99.98,99.92,99.82,99.79,99.7,99.68,99.37,99.29,99.27,99.26,99.25,99.22,99.2,99.18,99.01,98.98,98.61,98.45,98.4,98.4,98.41
12,"DZA","Algeria",100,99.99,99.92,99.7,99.65,99.62,99.59,99.53,99.36,99.27,99.25,99.2,99.19,99.18,99.18,99.18,99.17,99.13,99.12,99.11,99.11,99.11
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",100,99.92,99.86,99.79,99.78,99.72,99.67,99.63,99.57,99.52,99.49,99.45,99.41,99.38,99.36,99.34,99.3,99.24,99.17,99.11,99.07,99.03
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",100,99.93,99.8,99.67,99.57,99.48,99.4,99.26,99.16,99.06,98.96,98.86,98.78,98.73,98.7,98.66,98.58,98.5,98.39,98.32,98.28,98.23
51,"ARM","Armenia",100,99.94,99.92,99.9,99.87,99.85,99.83,99.8,99.78,99.76,99.74,99.68,99.65,99.59,99.57,99.53,99.45,99.41,99.37,99.33,99.33,99.33
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",100,99.91,99.82,99.76,99.72,99.67,99.62,99.59,99.56,99.51,99.41,99.38,99.35,99.3,99.27,99.23,99.18,99.09,98.66,98.36,98.31,98.3
40,"AUT","Austria",100,99.84,99.69,99.34,99.32,99.32,99.3,99.26,99.23,99.15,99.11,99.08,99.03,98.91,98.9,98.87,98.85,98.78,98.68,98.63,98.63,98.63
31,"AZE","Azerbaijan",100,99.88,99.83,99.79,99.72,99.69,99.66,99.63,99.58,99.55,99.52,99.5,99.45,99.38,99.32,99.44,99.39,99.34,99.32,99.32,99.32,99.32
44,"BHS","Bahamas",100,100,100,99.99,99.99,99.99,99.99,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.95,99.95,99.94,99.94,99.94,99.94,99.94
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",100,99.98,99.96,99.94,99.93,99.89,99.86,99.84,99.81,99.78,99.75,99.72,99.65,99.56,99.51,99.47,99.43,99.4,99.38,99.34,99.33,99.32
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",100,99.95,99.9,99.82,99.79,99.75,99.72,99.63,99.59,99.58,99.58,99.57,99.56,99.54,99.54,99.44,99.39,99.34,99.26,99.26,99.25,99.24
56,"BEL","Belgium",100,99.34,98.68,98.19,98.19,98.17,98.14,98.13,98.14,98.12,98.12,98.1,98.1,98.11,98.12,98.15,98.15,98.16,98.18,98.19,98.21,98.22
84,"BLZ","Belize",100,99.76,99.61,99.43,99.21,99.11,98.83,98.6,98.37,98.08,97.47,97.17,96.69,96.29,95.98,95.43,94.99,94.69,94.24,93.56,93.32,93.17
204,"BEN","Benin",100,99.95,99.91,99.87,99.83,99.81,99.7,99.67,99.59,99.55,99.45,99.42,99.4,99.37,99.36,99.38,99.39,99.42,99.39,99.34,99.33,99.33
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",100,99.99,99.99,99.99,99.98,99.98,99.98,99.98,99.97,99.95,99.93,99.91,99.9,99.86,99.84,99.8,99.76,99.72,99.68,99.63,99.62,99.58
68,"BOL","Bolivia",100,99.93,99.9,99.51,99.46,99.41,99.36,99.28,99.2,99.07,98.94,98.85,98.79,98.69,98.64,98.49,98.32,98.16,97.9,97.72,97.58,97.41
70,"BIH","Bosnia and Herzegovina",100,99.97,99.94,99.79,99.79,99.8,99.77,99.67,99.45,99.43,99.41,99.39,99.37,99.29,99.28,99.27,99.25,99.23,99.18,99.15,99.15,99.16
72,"BWA","Botswana",100,99.96,99.94,99.88,99.88,99.88,99.85,99.85,99.85,99.84,99.84,99.83,99.83,99.82,99.82,99.82,99.81,99.81,99.81,99.8,99.8,99.8
76,"BRA","Brazil",100,99.75,99.54,98.9,98.71,98.54,98.4,98.24,98.11,97.93,97.75,97.52,97.36,97.16,97.01,96.61,96.27,96.04,95.88,95.7,95.52,95.32
