"code","iso","country","SMW.raw.2016","SMW.raw.2017","SMW.raw.2018","SMW.raw.2019","SMW.raw.2020","SMW.raw.2021","SMW.raw.2022"
4,"AFG","Afghanistan",0,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",0,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0.615542387329831,0.611984741931346,0.601125215364467,0.591896186962408,0.721372138915371,0.715761722383222,NA
20,"AND","Andorra",0.699468291318297,0.771458056003948,0.89118000397145,0.912024574289505,0.938675599072404,0.945191040843215,NA
24,"AGO","Angola",0,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,0.560778,0.560777999999998,0.560778000000002,NA
51,"ARM","Armenia",0,0,0,0,0,0,NA
533,"ABW","Aruba",0.105836454147188,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.901665144566255,0.901138898095744,0.9019678711619,0.913082129508031,NA,NA,NA
40,"AUT","Austria",0.979099025974026,0.985253088880031,0.984957999609299,0.986590038314177,0.995428878730842,NA,NA
31,"AZE","Azerbaijan",0.227354093395689,0.217019675153161,0.202165722293028,0.173965384901219,0.162044363759166,0.13794076979368,NA
44,"BHS","Bahamas",0,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",1,0.991796722391126,0.976830086299892,0.966739495549655,0.957270389985875,0.984948257489721,NA
50,"BGD","Bangladesh",NA,NA,NA,0.586372403411603,0.550069285245187,0.590900341914627,NA
52,"BRB","Barbados",1,1,1,1,1,1,NA
112,"BLR","Belarus",0.707984830390089,0.842384098104791,0.849090817901897,0.902438908403104,0.946769187303459,0.951073421993854,NA
56,"BEL","Belgium",0.966279140328699,0.953969178082192,0.963607312379731,0.96185649717514,0.982398596574691,0.992958385446276,NA
84,"BLZ","Belize",0.0521356,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,0.405788451452198,0.405581774497944,0.405589335188508
60,"BMU","Bermuda",0.999999974777546,0.998955083831663,1,1,NA,NA,NA
64,"BTN","Bhutan",NA,0.323602971172551,NA,0.355448360792797,NA,NA,NA
68,"BOL","Bolivia",0.126315941017064,0.117026990941899,0.110853820557747,0.116425233307077,0.115943246458282,0.118167355800747,NA
70,"BIH","Bosnia and Herzegovina",0.140812181755,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,0.49,NA,NA,NA,NA,NA
76,"BRA","Brazil",0.578392651760909,NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",0,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,1,NA,NA,NA
100,"BGR","Bulgaria",0.998611593196806,0.997077922077923,0.99895178197065,0.997077922077923,0.900671615411806,NA,NA
854,"BFA","Burkina Faso",0.0182112,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",0,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",0,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",0.025884936,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0.9603,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",0.21,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",0,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0.906721786737496,0.911912345185763,0.913047641269012,NA,NA,NA,NA
156,"CHN","China",0.894883418028719,0.900944568726253,0.908758469397188,0.906265698849914,0.913752641046833,NA,NA
170,"COL","Colombia",0.567823326989236,NA,NA,NA,NA,NA,NA
174,"COM","Comoros",0,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0.635649439726027,NA,NA,NA,NA,NA,NA
384,"CIV","Cote d'Ivoire",0.0148318383113153,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",0.967824,NA,NA,NA,NA,NA,NA
192,"CUB","Cuba",0.486123363909379,0.472814630733407,0.469538697780798,0.462172653067224,0.456790035709711,0.499246578676584,NA
531,"CUW","Curacao",0.858895743269302,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",0.85414564,NA,NA,NA,NA,NA,NA
203,"CZE","Czech Republic",1,0.950164187753525,0.952743902439024,0.958411390033721,1,0.999999999999999,NA
180,"COD","Dem. Rep. Congo",0.00976167479540716,NA,NA,NA,NA,NA,NA
208,"DNK","Denmark",1,1,0.9983032873807,1,0.993254637436762,0.999999999999999,NA
262,"DJI","Djibouti",0,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",1,1,0.975609756097561,0.952380952380953,0.952380952380953,0.952380952380953,NA
214,"DOM","Dominican Republic",0.0708144271100082,NA,NA,NA,NA,NA,NA
218,"ECU","Ecuador",0.5888558267106,0.507960924928996,0.501602232917818,0.503818476943318,0.495021760160171,NA,NA
818,"EGY","Egypt",0.0683781882,NA,NA,NA,NA,NA,NA
222,"SLV","El Salvador",0.531177683255236,0.531265700790433,0.531181808748217,0.531178624905414,NA,NA,NA
226,"GNQ","Equatorial Guinea",0,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",0,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",0.874493927125506,0.898832684824903,0.90841121495327,0.932653061224489,0.864440078585461,0.986666666666666,NA
748,"SWZ","Eswatini",0,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",0,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",1,1,1,1,1,1,NA
246,"FIN","Finland",1,1,1,1,1,1,NA
250,"FRA","France",0.92556450082676,0.995208394678374,0.974531835205992,0.97233138182693,0.990541655210338,1,NA
258,"PYF","French Polynesia",0.1989,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",0,NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",0,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",0.793846153846157,0.815384615384612,0.836923076923079,0.858461538461539,0.879999999999998,NA,NA
276,"DEU","Germany",0.999980818291677,0.999999999999999,0.999980103461998,1,1,1,NA
288,"GHA","Ghana",0.280518120073148,0.27467377568112,NA,NA,NA,NA,NA
300,"GRC","Greece",0.999999999999999,1,1,1,NA,NA,NA
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",0.968254999999999,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",0.0167383500576019,NA,NA,NA,NA,NA,NA
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",0.0180367712999181,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",0,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",0.550999,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",0.0123256,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0.25285256,NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",1,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",1,0.995156263269638,1,1,0.97906115492241,0.982833993072736,NA
352,"ISL","Iceland",0.945454545454546,0.928888888888889,0.923076923076923,NA,0.84888888888889,NA,NA
356,"IND","India",0.0931314969141665,0.0931314969141665,0.0931314969141665,0.0931314969141665,0.0931314969141665,NA,NA
360,"IDN","Indonesia",0.31095,NA,NA,NA,NA,NA,NA
364,"IRN","Iran",0.198,NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",0,0,0,0,0,NA,NA
372,"IRL","Ireland",0.958016648570395,0.947254335260115,0.946771978021978,0.984445884640311,0.987227414330218,NA,NA
833,"IMN","Isle of Man",0.72,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",0.999999999999999,1,1,1,1,0.999999837450231,NA
380,"ITA","Italy",0.900338735387884,0.902272419856621,0.903397977788827,0.919528361589447,0.908757989290032,NA,NA
388,"JAM","Jamaica",NA,0.505151049596309,NA,NA,NA,NA,NA
392,"JPN","Japan",0.993050729673384,0.99944048118618,0.999391485477568,1,1,NA,NA
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",0.294258008,NA,NA,NA,NA,NA,NA
