"code","iso","country","SPI.raw.1980","SPI.raw.1981","SPI.raw.1982","SPI.raw.1983","SPI.raw.1984","SPI.raw.1985","SPI.raw.1986","SPI.raw.1987","SPI.raw.1988","SPI.raw.1989","SPI.raw.1990","SPI.raw.1991","SPI.raw.1992","SPI.raw.1993","SPI.raw.1994","SPI.raw.1995","SPI.raw.1996","SPI.raw.1997","SPI.raw.1998","SPI.raw.1999","SPI.raw.2000","SPI.raw.2001","SPI.raw.2002","SPI.raw.2003","SPI.raw.2004","SPI.raw.2005","SPI.raw.2006","SPI.raw.2007","SPI.raw.2008","SPI.raw.2009","SPI.raw.2010","SPI.raw.2011","SPI.raw.2012","SPI.raw.2013","SPI.raw.2014","SPI.raw.2015","SPI.raw.2016","SPI.raw.2017","SPI.raw.2018","SPI.raw.2019","SPI.raw.2020","SPI.raw.2021","SPI.raw.2022","SPI.raw.2023","SPI.raw.2024"
4,"AFG","Afghanistan",0.24,0.24,0.24,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.63,0.63,0.63,0.63,0.63,0.63,0.63,3.1,3.1,3.1,5.35,9.06,9.06,9.06,9.06,9.06
8,"ALB","Albania",3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.56,9.85,10.31,10.31,14,14,14,14.15,14.15,17.16,21.9,31.4,36.14,42.14,42.25,44.21,50.37,52.43,54.4,54.4,54.4,54.4,54.4,56.82,56.82,56.82,56.82,56.82,56.82,56.82
12,"DZA","Algeria",22.14,22.14,22.14,23.37,23.84,23.84,23.84,34.01,34.01,34.01,34.01,34.01,34.01,34.11,34.11,34.11,34.11,34.11,34.11,34.11,34.11,42.49,42.49,44.62,45.53,45.53,45.53,45.53,73.08,73.17,73.17,73.19,73.19,73.19,73.19,73.19,73.19,73.19,73.27,73.76,73.76,73.76,73.76,73.76,73.76
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13,37.13
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19.45,19.45,19.45,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.87,19.87,19.87,19.87,19.87,19.87,19.87
32,"ARG","Argentina",7.86,7.94,10.74,11.2,11.36,11.52,12.79,12.8,13.37,13.67,13.87,13.89,14.43,14.99,15.26,15.81,16.72,17.75,17.91,20.58,22.84,23.95,24.88,26.65,27.96,28.6,29.11,29.12,29.25,29.75,29.78,29.91,30.02,30.05,30.31,30.9,30.93,31.15,31.87,31.91,31.91,32.3,32.88,32.88,32.88
51,"ARM","Armenia",6.48,6.5,6.5,6.5,6.5,6.5,6.5,6.53,6.53,6.63,6.63,6.63,6.63,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.31,33.17,33.19,33.19,33.19,33.19,33.2,33.2,37.25,37.26,38.61,38.61,38.74,38.74,38.74,38.74,38.74,38.74,38.74,38.74,38.74,38.74,38.74,38.74
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
