"code","iso","country","TCA.raw.2000"
4,"AFG","Afghanistan",205791.247166198
8,"ALB","Albania",648680.05229701
12,"DZA","Algeria",1223621.29083899
20,"AND","Andorra",19004.0376596638
24,"AGO","Angola",55292492.0369592
660,"AIA","Anguilla",2125.76740300813
28,"ATG","Antigua and Barbuda",19323.3443446007
32,"ARG","Argentina",39086979.3205731
51,"ARM","Armenia",336842.150937353
533,"ABW","Aruba",24.9524108259993
36,"AUS","Australia",42280598.6928266
40,"AUT","Austria",4336043.42772918
31,"AZE","Azerbaijan",1268610.21507617
44,"BHS","Bahamas",303575.42138555
48,"BHR","Bahrain",-8888
50,"BGD","Bangladesh",1938957.84070294
52,"BRB","Barbados",5229.73614466927
112,"BLR","Belarus",9118585.55132865
56,"BEL","Belgium",865425.884589654
84,"BLZ","Belize",1748275.85481301
204,"BEN","Benin",168568.17385019
60,"BMU","Bermuda",604.79413164676
64,"BTN","Bhutan",2577234.59845935
68,"BOL","Bolivia",64521463.0108847
70,"BIH","Bosnia and Herzegovina",2657977.37573476
72,"BWA","Botswana",20328.4101201583
76,"BRA","Brazil",519187508.445698
92,"VGB","British Virgin Islands",7463.88088378356
96,"BRN","Brunei Darussalam",529338.97440789
100,"BGR","Bulgaria",4138947.99568272
854,"BFA","Burkina Faso",132.108452485154
108,"BDI","Burundi",537674.348375894
132,"CPV","Cabo Verde",7355.95390616581
116,"KHM","Cambodia",8809929.84861441
120,"CMR","Cameroon",31459332.1523855
124,"CAN","Canada",418066982.534633
136,"CYM","Cayman Islands",13458.3907013777
140,"CAF","Central African Republic",47073501.1344448
148,"TCD","Chad",409749.294671473
152,"CHL","Chile",19287066.4313027
156,"CHN","China",162748596.437148
170,"COL","Colombia",81801036.0546506
174,"COM","Comoros",134784.165998765
184,"COK","Cook Islands",-8888
188,"CRI","Costa Rica",3913048.86417333
384,"CIV","Cote d'Ivoire",14872640.4300838
191,"HRV","Croatia",2431307.54713205
192,"CUB","Cuba",4014607.41507633
531,"CUW","Curacao",5260.66776782055
196,"CYP","Cyprus",101965.208908379
203,"CZE","Czech Republic",3080384.40760467
180,"COD","Dem. Rep. Congo",199281686.525024
208,"DNK","Denmark",663203.697841327
262,"DJI","Djibouti",-8888
212,"DMA","Dominica",70924.8261929258
214,"DOM","Dominican Republic",2576426.46692117
218,"ECU","Ecuador",19027558.8381292
818,"EGY","Egypt",154304.254701677
222,"SLV","El Salvador",988823.308236118
226,"GNQ","Equatorial Guinea",2654595.05549446
232,"ERI","Eritrea",4.60761319908799
233,"EST","Estonia",2639428.8012141
748,"SWZ","Eswatini",469227.388648055
231,"ETH","Ethiopia",12040336.150607
234,"FRO","Faeroe Islands",-8888
238,"FLK","Falkland Islands",-8888
242,"FJI","Fiji",1556559.2428395
246,"FIN","Finland",21735378.8832243
250,"FRA","France",25326605.5215247
258,"PYF","French Polynesia",-8888
266,"GAB","Gabon",24690965.1715098
270,"GMB","Gambia",4562.4566496589
268,"GEO","Georgia",3144573.09079625
276,"DEU","Germany",12526779.9012889
