"code","iso","country","TCG.raw.2020"
4,"AFG","Afghanistan",-7777
8,"ALB","Albania",-2.70252885573634
12,"DZA","Algeria",-7777
20,"AND","Andorra",0.276742053360361
24,"AGO","Angola",-4.41377259230785
660,"AIA","Anguilla",1.93123833664667
28,"ATG","Antigua and Barbuda",-3.9586273255587
32,"ARG","Argentina",-10.4549583275574
51,"ARM","Armenia",1.63455698240483
533,"ABW","Aruba",-7777
36,"AUS","Australia",-1.02635745260394
40,"AUT","Austria",-2.26320504570618
31,"AZE","Azerbaijan",0.131638255590616
44,"BHS","Bahamas",-7777
48,"BHR","Bahrain",-7777
50,"BGD","Bangladesh",5.00958964783229
52,"BRB","Barbados",2.01859067918738
112,"BLR","Belarus",6.11159911565357
56,"BEL","Belgium",-0.29177962568618
84,"BLZ","Belize",-8.38017517401566
204,"BEN","Benin",-7.12358573917084
60,"BMU","Bermuda",-7777
64,"BTN","Bhutan",0.491104863689428
68,"BOL","Bolivia",-5.61469374146367
70,"BIH","Bosnia and Herzegovina",0.747494249606428
72,"BWA","Botswana",-7777
76,"BRA","Brazil",-5.93276361052005
92,"VGB","British Virgin Islands",-1.6102292189936
96,"BRN","Brunei Darussalam",-0.587019075330977
100,"BGR","Bulgaria",1.40687507599398
854,"BFA","Burkina Faso",-7777
108,"BDI","Burundi",-2.02434163811082
132,"CPV","Cabo Verde",-7777
116,"KHM","Cambodia",-25.5868174897996
120,"CMR","Cameroon",-1.71003081650565
124,"CAN","Canada",-2.75977698616534
136,"CYM","Cayman Islands",4.52972886869403
140,"CAF","Central African Republic",-1.31798382455726
148,"TCD","Chad",-7777
152,"CHL","Chile",-0.0786446322144857
156,"CHN","China",0.957793480254587
170,"COL","Colombia",-2.19545601857503
174,"COM","Comoros",-1.74195920150958
184,"COK","Cook Islands",-7777
188,"CRI","Costa Rica",-2.37456027586001
384,"CIV","Cote d'Ivoire",-6.94171860242592
191,"HRV","Croatia",-0.251034534627633
192,"CUB","Cuba",-0.16677570672248
531,"CUW","Curacao",1.82724376489853
196,"CYP","Cyprus",1.05300066382022
203,"CZE","Czech Republic",-2.27649430460161
180,"COD","Dem. Rep. Congo",-3.55097046287363
208,"DNK","Denmark",7.39915582445532
262,"DJI","Djibouti",-7777
212,"DMA","Dominica",-1.36759291428578
214,"DOM","Dominican Republic",-2.54434888760273
218,"ECU","Ecuador",-1.49592558646342
818,"EGY","Egypt",-7777
222,"SLV","El Salvador",-1.64220155351781
226,"GNQ","Equatorial Guinea",-1.49442748788494
232,"ERI","Eritrea",-7777
233,"EST","Estonia",-2.84962663119501
748,"SWZ","Eswatini",-3.02939699723357
231,"ETH","Ethiopia",-3.61246183341579
234,"FRO","Faeroe Islands",-7777
238,"FLK","Falkland Islands",-7777
