"code","iso","country","TCG.raw.2020"
4,"AFG","Afghanistan",NA
8,"ALB","Albania",-2.70252885573634
12,"DZA","Algeria",NA
20,"AND","Andorra",0.276742053360361
24,"AGO","Angola",-4.41377259230785
660,"AIA","Anguilla",1.93123833664667
28,"ATG","Antigua and Barbuda",-3.9586273255587
32,"ARG","Argentina",-10.4549583275574
51,"ARM","Armenia",1.63455698240483
533,"ABW","Aruba",NA
36,"AUS","Australia",-1.02635745260394
40,"AUT","Austria",-2.26320504570618
31,"AZE","Azerbaijan",0.131638255590616
44,"BHS","Bahamas",NA
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",5.00958964783229
52,"BRB","Barbados",2.01859067918738
112,"BLR","Belarus",6.11159911565357
56,"BEL","Belgium",-0.29177962568618
84,"BLZ","Belize",-8.38017517401566
204,"BEN","Benin",-7.12358573917084
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",0.491104863689428
68,"BOL","Bolivia",-5.61469374146367
70,"BIH","Bosnia and Herzegovina",0.747494249606428
72,"BWA","Botswana",NA
76,"BRA","Brazil",-5.93276361052005
92,"VGB","British Virgin Islands",-1.6102292189936
96,"BRN","Brunei Darussalam",-0.587019075330977
100,"BGR","Bulgaria",1.40687507599398
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",-2.02434163811082
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",-25.5868174897996
120,"CMR","Cameroon",-1.71003081650565
124,"CAN","Canada",-2.75977698616534
136,"CYM","Cayman Islands",4.52972886869403
140,"CAF","Central African Republic",-1.31798382455726
148,"TCD","Chad",NA
152,"CHL","Chile",-0.0786446322144857
156,"CHN","China",0.957793480254587
170,"COL","Colombia",-2.19545601857503
174,"COM","Comoros",-1.74195920150958
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",-2.37456027586001
384,"CIV","Cote d'Ivoire",-6.94171860242592
191,"HRV","Croatia",-0.251034534627633
192,"CUB","Cuba",-0.16677570672248
531,"CUW","Curacao",1.82724376489853
196,"CYP","Cyprus",1.05300066382022
203,"CZE","Czech Republic",-2.27649430460161
180,"COD","Dem. Rep. Congo",-3.55097046287363
208,"DNK","Denmark",7.39915582445532
262,"DJI","Djibouti",NA
212,"DMA","Dominica",-1.36759291428578
214,"DOM","Dominican Republic",-2.54434888760273
218,"ECU","Ecuador",-1.49592558646342
818,"EGY","Egypt",NA
222,"SLV","El Salvador",-1.64220155351781
226,"GNQ","Equatorial Guinea",-1.49442748788494
232,"ERI","Eritrea",NA
233,"EST","Estonia",-2.84962663119501
748,"SWZ","Eswatini",-3.02939699723357
231,"ETH","Ethiopia",-3.61246183341579
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",-1.83249798533889
246,"FIN","Finland",-1.74291735895662
250,"FRA","France",-0.13150292722089
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",-0.413350187331093
270,"GMB","Gambia",-2.53501587134476
268,"GEO","Georgia",2.31593060020215
276,"DEU","Germany",-0.0115393105682386
288,"GHA","Ghana",-5.09469967742614
300,"GRC","Greece",-0.383702556526026
304,"GRL","Greenland",NA
308,"GRD","Grenada",-2.00498789999855
320,"GTM","Guatemala",-6.04007553477264
831,"GGY","Guernsey",2.36116297156452
324,"GIN","Guinea",-8.34360670971725
624,"GNB","Guinea-Bissau",-7.6465151956593
328,"GUY","Guyana",-0.362272407000292
332,"HTI","Haiti",-0.292036661364621
336,"VAT","Holy See",0.460824878508761
340,"HND","Honduras",-3.00124521376102
344,"HKG","Hong Kong",-0.118665129430999
348,"HUN","Hungary",4.12794289898887
352,"ISL","Iceland",NA
356,"IND","India",1.31595938241649
360,"IDN","Indonesia",-2.61923778002832
364,"IRN","Iran",NA
368,"IRQ","Iraq",NA
372,"IRL","Ireland",NA
833,"IMN","Isle of Man",-2.09802436563845
376,"ISR","Israel",NA
380,"ITA","Italy",-0.29948110531304
388,"JAM","Jamaica",-0.877466608818455
392,"JPN","Japan",-0.531008634788967
832,"JEY","Jersey",4.26272778639067
400,"JOR","Jordan",NA
398,"KAZ","Kazakhstan",NA
404,"KEN","Kenya",NA
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",-1.12258331281469
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",NA
418,"LAO","Laos",-7.16350029142588
428,"LVA","Latvia",0.138286517947396
422,"LBN","Lebanon",2.15688741770021
426,"LSO","Lesotho",0.659156865223603
430,"LBR","Liberia",-3.57610367877317
434,"LBY","Libya",NA
438,"LIE","Liechtenstein",-1.23993594257457
440,"LTU","Lithuania",5.79650931273592
442,"LUX","Luxembourg",0.275226626855927
446,"MAC","Macao",-6.51635493450396
450,"MDG","Madagascar",-5.8909578430113
454,"MWI","Malawi",-7.88137032011424
458,"MYS","Malaysia",-3.77950110610803
462,"MDV","Maldives",0.402607407284029
