"code","iso","country","VOA.raw.1960","VOA.raw.1961","VOA.raw.1962","VOA.raw.1963","VOA.raw.1964","VOA.raw.1965","VOA.raw.1966","VOA.raw.1967","VOA.raw.1968","VOA.raw.1969","VOA.raw.1970","VOA.raw.1971","VOA.raw.1972","VOA.raw.1973","VOA.raw.1974","VOA.raw.1975","VOA.raw.1976","VOA.raw.1977","VOA.raw.1978","VOA.raw.1979","VOA.raw.1980","VOA.raw.1981","VOA.raw.1982","VOA.raw.1983","VOA.raw.1984","VOA.raw.1985","VOA.raw.1986","VOA.raw.1987","VOA.raw.1988","VOA.raw.1989","VOA.raw.1990","VOA.raw.1991","VOA.raw.1992","VOA.raw.1993","VOA.raw.1994","VOA.raw.1995","VOA.raw.1996","VOA.raw.1997","VOA.raw.1998","VOA.raw.1999","VOA.raw.2000","VOA.raw.2001","VOA.raw.2002","VOA.raw.2003","VOA.raw.2004","VOA.raw.2005","VOA.raw.2006","VOA.raw.2007","VOA.raw.2008","VOA.raw.2009","VOA.raw.2010","VOA.raw.2011","VOA.raw.2012","VOA.raw.2013","VOA.raw.2014","VOA.raw.2015","VOA.raw.2016","VOA.raw.2017","VOA.raw.2018","VOA.raw.2019","VOA.raw.2020","VOA.raw.2021","VOA.raw.2022","VOA.raw.2023"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.90854012966156,-9999,-2.03930115699768,-9999,-2.03141713142395,-9999,-1.43342101573944,-1.1775711774826,-1.20303392410278,-1.12542963027954,-1.11029398441315,-1.05765390396118,-1.16890180110931,-1.37549519538879,-1.40446734428406,-1.33597695827484,-1.26743006706238,-1.24006843566895,-1.13543999195099,-1.11755669116974,-1.03778803348541,-0.99081426858902,-1.00705206394196,-1.00657486915588,-1.07768857479095,-1.56788992881775,-1.75158727169037,-9999
8,"ALB","Albania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.648297846317291,-9999,-0.387372851371765,-9999,-0.285138666629791,-9999,-0.00815020967274904,0.0703076869249344,0.00723749911412597,0.0036717876791954,0.0758899599313736,0.113008469343185,0.174939081072807,0.141477331519127,0.123838223516941,0.0623337626457214,0.0220640376210213,0.0488925911486149,0.143777400255203,0.157161772251129,0.170948684215546,0.203807637095451,0.188694432377815,0.141880303621292,0.0864025726914406,0.0859144106507301,0.13946570456028,-9999
12,"DZA","Algeria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.16629016399384,-9999,-1.24434244632721,-9999,-1.11005222797394,-9999,-1.04466021060944,-1.07671809196472,-0.802059054374695,-0.715685963630676,-0.916875541210175,-0.984122395515442,-0.979712247848511,-1.03841888904572,-1.02233076095581,-1.00412118434906,-0.906026601791382,-0.893353223800659,-0.813357710838318,-0.847575545310974,-0.861592352390289,-0.902944028377533,-0.995128452777863,-1.05331110954285,-1.0879522562027,-1.00932395458221,-1.00387418270111,-9999
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.56321668624878,-9999,1.52875912189484,-9999,1.53565549850464,-9999,1.43712818622589,1.42226195335388,1.56307661533356,1.52818155288696,1.32997930049896,1.30550646781921,1.32532179355621,1.32293725013733,1.32430839538574,1.36045336723328,1.43383765220642,1.40664172172546,1.16596496105194,1.19449520111084,1.17659735679626,1.16165626049042,1.04732167720795,1.10841190814972,1.08625340461731,1.03341281414032,1.10283291339874,-9999
24,"AGO","Angola",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.57816350460052,-9999,-1.41187870502472,-9999,-1.45806467533112,-9999,-1.23877906799316,-1.27261531352997,-1.28547978401184,-1.23471939563751,-1.25208795070648,-1.18531394004822,-1.11934685707092,-1.12613534927368,-1.12052512168884,-1.12547838687897,-1.07624673843384,-1.1138436794281,-1.14523017406464,-1.17708706855774,-1.14029264450073,-1.09452450275421,-0.903365194797516,-0.793237388134003,-0.81600284576416,-0.854894280433655,-0.7971311211586,-9999
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.333532422780991,-9999,0.339321404695511,-9999,0.390961945056915,-9999,0.336637645959854,0.31748366355896,0.573030769824982,0.533180177211761,0.631312012672424,0.543636023998261,0.573908567428589,0.589427828788757,0.495849043130875,0.51117467880249,0.640056967735291,0.618955671787262,0.558731198310852,0.595008313655853,0.633674025535584,0.608596861362457,0.579138517379761,0.731873512268066,0.742793262004852,0.730730891227722,0.721560716629028,-9999
32,"ARG","Argentina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.39190337061882,-9999,0.308850228786469,-9999,0.418346971273422,-9999,0.260062754154205,0.349125266075134,0.362040877342224,0.269231617450714,0.403436541557312,0.448621332645416,0.358895927667618,0.280091494321823,0.361670136451721,0.344941824674606,0.295209914445877,0.276987880468369,0.345339059829712,0.411802023649216,0.493365466594696,0.528666615486145,0.539418399333954,0.571178674697876,0.585294365882874,0.611695528030396,0.543526768684387,-9999
51,"ARM","Armenia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.56990909576416,-9999,-0.335518449544907,-9999,-0.374595284461975,-9999,-0.444421142339706,-0.467406183481216,-0.572165548801422,-0.591363310813904,-0.742222785949707,-0.759377896785736,-0.857629656791687,-0.876420259475708,-0.847521543502808,-0.690779805183411,-0.570491433143616,-0.588030815124512,-0.562072694301605,-0.536284148693085,-0.579242348670959,-0.560794770717621,-0.130894392728806,0.0547256655991077,0.0471597090363503,0.0540730990469456,0.0882339403033257,-9999
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.737520694732666,1.15323007106781,1.01727342605591,0.972128868103027,0.967198193073273,1.25234353542328,1.28188371658325,1.27358782291412,1.2846497297287,1.27805924415588,1.27684950828552,1.27396094799042,1.27936410903931,1.29554915428162,1.28269290924072,1.26255750656128,1.28214299678802,1.01864099502563,1.00918197631836,-9999
