"code","iso","country","WHR.raw.2023"
4,"AFG","Afghanistan",1.85899996757507
8,"ALB","Albania",5.27729988098145
12,"DZA","Algeria",5.32910013198853
20,"AND","Andorra",-8888
24,"AGO","Angola",-8888
660,"AIA","Anguilla",-8888
28,"ATG","Antigua and Barbuda",-8888
32,"ARG","Argentina",6.02370023727417
51,"ARM","Armenia",5.34170007705688
533,"ABW","Aruba",-8888
36,"AUS","Australia",7.09460020065308
40,"AUT","Austria",7.09730005264282
31,"AZE","Azerbaijan",-8888
44,"BHS","Bahamas",-8888
48,"BHR","Bahrain",6.17320013046265
50,"BGD","Bangladesh",4.28210020065308
52,"BRB","Barbados",-8888
112,"BLR","Belarus",-8888
56,"BEL","Belgium",6.85909986495972
84,"BLZ","Belize",-8888
204,"BEN","Benin",4.37370014190674
60,"BMU","Bermuda",-8888
64,"BTN","Bhutan",-8888
68,"BOL","Bolivia",5.6842999458313
70,"BIH","Bosnia and Herzegovina",5.63250017166138
72,"BWA","Botswana",3.43530011177063
76,"BRA","Brazil",6.12459993362427
92,"VGB","British Virgin Islands",-8888
96,"BRN","Brunei Darussalam",-8888
100,"BGR","Bulgaria",5.46610021591187
854,"BFA","Burkina Faso",4.63759994506836
108,"BDI","Burundi",-8888
132,"CPV","Cabo Verde",-8888
116,"KHM","Cambodia",4.39349985122681
120,"CMR","Cameroon",4.97319984436035
124,"CAN","Canada",6.96070003509521
136,"CYM","Cayman Islands",-8888
140,"CAF","Central African Republic",-8888
148,"TCD","Chad",4.39659976959229
152,"CHL","Chile",6.33379983901978
156,"CHN","China",5.81790018081665
170,"COL","Colombia",5.63040018081665
174,"COM","Comoros",3.54520010948181
184,"COK","Cook Islands",-8888
188,"CRI","Costa Rica",6.6085000038147
384,"CIV","Cote d'Ivoire",5.05270004272461
191,"HRV","Croatia",6.125
192,"CUB","Cuba",-8888
531,"CUW","Curacao",-8888
196,"CYP","Cyprus",6.13000011444092
203,"CZE","Czech Republic",6.8452000617981
180,"COD","Dem. Rep. Congo",3.207200050354
208,"DNK","Denmark",7.58640003204346
262,"DJI","Djibouti",-8888
212,"DMA","Dominica",-8888
214,"DOM","Dominican Republic",5.5689001083374
218,"ECU","Ecuador",5.55889987945557
818,"EGY","Egypt",4.17049980163574
222,"SLV","El Salvador",6.12160015106201
226,"GNQ","Equatorial Guinea",-8888
232,"ERI","Eritrea",-8888
233,"EST","Estonia",6.4552001953125
748,"SWZ","Eswatini",-8888
231,"ETH","Ethiopia",4.09060001373291
234,"FRO","Faeroe Islands",-8888
238,"FLK","Falkland Islands",-8888
242,"FJI","Fiji",-8888
246,"FIN","Finland",7.80420017242432
250,"FRA","France",6.66130018234253
258,"PYF","French Polynesia",-8888
266,"GAB","Gabon",5.0346999168396
270,"GMB","Gambia",4.27939987182617
268,"GEO","Georgia",5.10909986495972
276,"DEU","Germany",6.89179992675781
288,"GHA","Ghana",4.60500001907349
300,"GRC","Greece",5.93090009689331
304,"GRL","Greenland",-8888
308,"GRD","Grenada",-8888
320,"GTM","Guatemala",6.15030002593994
831,"GGY","Guernsey",-8888
324,"GIN","Guinea",5.07170009613037
624,"GNB","Guinea-Bissau",-8888
328,"GUY","Guyana",-8888
332,"HTI","Haiti",-8888
336,"VAT","Holy See",-8888
340,"HND","Honduras",6.02250003814697
344,"HKG","Hong Kong",5.30849981307983
348,"HUN","Hungary",6.04120016098022
352,"ISL","Iceland",7.52960014343262
356,"IND","India",4.03579998016357
360,"IDN","Indonesia",5.27689981460571
364,"IRN","Iran",4.87629985809326
368,"IRQ","Iraq",4.94089984893799
372,"IRL","Ireland",6.91079998016357
833,"IMN","Isle of Man",-8888
376,"ISR","Israel",7.47289991378784
380,"ITA","Italy",6.4045000076294
388,"JAM","Jamaica",5.70270013809204
392,"JPN","Japan",6.12900018692017
832,"JEY","Jersey",-8888
400,"JOR","Jordan",4.1198000907898
398,"KAZ","Kazakhstan",6.14389991760254
404,"KEN","Kenya",4.48659992218018
296,"KIR","Kiribati",-8888
689,"XKX","Kosovo",6.36759996414185
414,"KWT","Kuwait",-8888
417,"KGZ","Kyrgyzstan",5.8253002166748
418,"LAO","Laos",5.11070013046265
428,"LVA","Latvia",6.21269989013672
422,"LBN","Lebanon",2.39219999313354
426,"LSO","Lesotho",-8888
430,"LBR","Liberia",4.0423002243042
434,"LBY","Libya",-8888
438,"LIE","Liechtenstein",-8888
440,"LTU","Lithuania",6.76300001144409
442,"LUX","Luxembourg",7.22790002822876
446,"MAC","Macao",-8888
450,"MDG","Madagascar",4.01910018920898
454,"MWI","Malawi",3.49519991874695
458,"MYS","Malaysia",6.01230001449585
462,"MDV","Maldives",-8888
466,"MLI","Mali",4.19780015945435
470,"MLT","Malta",6.29990005493164
584,"MHL","Marshall Islands",-8888
478,"MRT","Mauritania",4.72389984130859
480,"MUS","Mauritius",5.90229988098145
484,"MEX","Mexico",6.32950019836426
583,"FSM","Micronesia",-8888
498,"MDA","Moldova",5.81920003890991
492,"MCO","Monaco",-8888
496,"MNG","Mongolia",5.84019994735718
499,"MNE","Montenegro",5.7221999168396
504,"MAR","Morocco",4.9028000831604
508,"MOZ","Mozambique",4.9539999961853
104,"MMR","Myanmar",4.37249994277954
516,"NAM","Namibia",4.63079977035522
520,"NRU","Nauru",-8888
524,"NPL","Nepal",5.36030006408691
528,"NLD","Netherlands",7.40299987792969
540,"NCL","New Caledonia",-8888
554,"NZL","New Zealand",7.12290000915527
558,"NIC","Nicaragua",6.25880002975464
562,"NER","Niger",4.50129985809326
566,"NGA","Nigeria",4.98059988021851
570,"NIU","Niue",-8888
408,"PRK","North Korea",-8888
807,"MKD","North Macedonia",5.25360012054443
578,"NOR","Norway",7.31549978256226
512,"OMN","Oman",-8888
586,"PAK","Pakistan",4.55539989471436
585,"PLW","Palau",-8888
591,"PAN","Panama",6.2645001411438
598,"PNG","Papua New Guinea",-8888
600,"PRY","Paraguay",5.73780012130737
604,"PER","Peru",5.52589988708496
608,"PHL","Philippines",5.5229001045227
616,"POL","Poland",6.25969982147217
620,"PRT","Portugal",5.96799993515015
634,"QAT","Qatar",-8888
178,"COG","Republic of Congo",5.26709985733032
642,"ROU","Romania",6.5890998840332
643,"RUS","Russia",5.66069984436035
646,"RWA","Rwanda",-8888
652,"BLM","Saint Barthelemy",-8888
659,"KNA","Saint Kitts and Nevis",-8888
662,"LCA","Saint Lucia",-8888
670,"VCT","Saint Vincent and the Grenadines",-8888
882,"WSM","Samoa",-8888
674,"SMR","San Marino",-8888
