"code","iso","country","WPC.raw.2016","WPC.raw.2017","WPC.raw.2018","WPC.raw.2019","WPC.raw.2020","WPC.raw.2021","WPC.raw.2022"
4,"AFG","Afghanistan",0.162504092032941,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",0.378097552902349,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0.27947581938708,0.284431400973723,0.289492736746031,0.294014560417791,0.247073265269046,0.250571048207309,NA
20,"AND","Andorra",0.593456618543299,0.58704717563185,0.579547524832024,0.546073641249316,0.4994851994852,0.480173090062505,NA
24,"AGO","Angola",0.144526849419302,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0.337716973631907,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,0.41975,0.41975,0.41975,NA
51,"ARM","Armenia",0.201344742276613,0.188856485682234,0.176985661205898,0.175155477499584,0.210623805981287,0.181344106908591,NA
533,"ABW","Aruba",0.840360973167801,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.5381894114181,0.512533075885121,0.506334712279901,0.496117693072636,NA,NA,NA
40,"AUT","Austria",0.564059433184367,0.570385036042924,0.579038271613178,0.587843133721925,0.83414976386317,NA,NA
31,"AZE","Azerbaijan",0.251072976277554,0.246432222483293,0.272209592652393,0.310801513728941,0.361350010067234,0.392588995564602,NA
44,"BHS","Bahamas",0.666707073155949,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",1.28053785099972,1.47032163616445,1.22281246518434,0.918638745079361,0.946022749715899,1.1276436694652,NA
50,"BGD","Bangladesh",NA,NA,NA,0.0483555442680416,0.0430007353141842,0.0437765890318392,NA
52,"BRB","Barbados",0.417968052998575,0.471761113518896,0.522117144818512,0.893371689628096,0.777853384302423,0.93088552631579,NA
112,"BLR","Belarus",0.532084798401443,0.449030461137321,0.446277746450663,0.420726457344814,0.433946783522986,0.426784598044522,NA
56,"BEL","Belgium",0.428519890762004,0.420216461822505,0.418755723065838,0.425581971805238,0.745533391150732,0.776192552499818,NA
84,"BLZ","Belize",0.276001204150139,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,0.0215034273851021,0.0643999884911041,0.0731986262682336
60,"BMU","Bermuda",1.39108348129872,1.49828561282924,1.46750524109015,1.35187995806669,NA,NA,NA
64,"BTN","Bhutan",NA,0.153702875138093,NA,0.137865021443663,NA,NA,NA
68,"BOL","Bolivia",0.234991010542462,0.249816789817898,0.259834597477074,0.243820751373356,0.241576070130105,0.234217102581288,NA
70,"BIH","Bosnia and Herzegovina",0.358725372638672,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,0.204395447333915,NA,NA,NA,NA,NA
76,"BRA","Brazil",0.382237964345069,NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",0.709478798883621,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,0.387857038498064,NA,NA,NA
100,"BGR","Bulgaria",0.404190789276163,0.435277426470266,0.407399989494717,0.441528888389381,0.40798873379997,NA,NA
854,"BFA","Burkina Faso",0.13360231263545,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",0.171692181661616,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",0.237386146699284,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0.0696978556357084,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",0.137933013883904,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0.695192208075401,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",0.96377800979841,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0.225518573248886,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",0.0931192472067149,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0.399728951957708,0.442167730249327,0.437262779089322,NA,NA,NA,NA
156,"CHN","China",0.156087751948491,0.163975995588682,0.172925048066335,0.182925718761173,0.177254955768624,NA,NA
170,"COL","Colombia",0.452474355735865,NA,NA,NA,NA,NA,NA
174,"COM","Comoros",0.121963410842741,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0.295235485687651,NA,NA,NA,NA,NA,NA
384,"CIV","Cote d'Ivoire",0.18340148656818,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",0.433609528096477,NA,NA,NA,NA,NA,NA
192,"CUB","Cuba",0.616314554606558,0.677795671005599,0.691720095892535,0.663552340335769,0.573452634996138,0.526751655068218,NA
531,"CUW","Curacao",0.154723752379998,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",0.642371925925864,NA,NA,NA,NA,NA,NA
203,"CZE","Czech Republic",0.338811992657433,0.488652630748323,0.493700427698099,0.500193499358594,0.543473282221544,0.570257949629975,NA
180,"COD","Dem. Rep. Congo",0.176655451647105,NA,NA,NA,NA,NA,NA
208,"DNK","Denmark",0.830480393714396,0.820124267560338,0.813823995846477,0.843935992262,0.813526210840477,0.785591557614117,NA
262,"DJI","Djibouti",0.112383105584972,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",0.285408490902604,0.28407880346008,0.289453990935148,0.294002352018816,0.291686922702965,0.290007181130199,NA
214,"DOM","Dominican Republic",0.386024648371631,NA,NA,NA,NA,NA,NA
218,"ECU","Ecuador",0.252908865818389,0.288666631806246,0.286850303860685,0.280186389982783,0.281195548891199,NA,NA
818,"EGY","Egypt",0.210454518623872,NA,NA,NA,NA,NA,NA
222,"SLV","El Salvador",0.275047340666696,0.295506091387868,0.30249130457132,0.320154917625856,NA,NA,NA
226,"GNQ","Equatorial Guinea",0.141853763634557,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",0.216016455654451,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",0.37543984982406,0.390167179804825,0.404696904711655,0.369282341219898,0.382844360604789,0.394460423222223,NA
