"code","iso","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,265439,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
12,"DZA","Algeria",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,481680.999755859,518216.003417969,-8888,-8888,-8888,-8888,-8888,-8888,-8888
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8888
24,"AGO","Angola",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,0,0,0,0,0,0,0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,739500,-8888,-8888,-8888,-8888,821640,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,1073100,-8888,-8888,-8888
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,2701000,-8888,-8888,-8888,4004599,4019500,4312511,4381199,4532209,4313667,4234333,4188907,4143517,3502336,3094730,2830496,2820775,-8888,-8888,-8888
40,"AUT","Austria",399000,511000,581000,640000,785000,820000,879000,941000,987000,1061000,1129000,1125000,1115000,1110000,1116000,1180000,1259000,1318000,1476000,1492000,1272000,1146000,1168000,1202000,1231000,1241000,1254000,1296000,1301000,1363000,3006000,-8888,-8888
31,"AZE","Azerbaijan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8888
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,18.7765,45.4669672719892,231336.916232639,341770.051,560136.537,-8888
