"code","iso","country","WRR.raw.2016","WRR.raw.2017","WRR.raw.2018","WRR.raw.2019","WRR.raw.2020","WRR.raw.2021","WRR.raw.2022"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888
12,"DZA","Algeria",0.102940989178258,0.0991872572242036,0.0956158108414505,0.0924293583545715,0.10810083729634,0.104839419922094,-9999
20,"AND","Andorra",0.699468291318297,0.771458056003948,0.89118000397145,0.912024574289505,0.938675599072404,0.945191040843215,-9999
24,"AGO","Angola",-8888,-8888,-8888,-8888,-8888,-8888,-8888
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.000251007874750492,-9999,-9999,-9999,-9999,-9999,-9999
32,"ARG","Argentina",-9999,-9999,-9999,0.06,0.06,0.06,-9999
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",0.105836454147188,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",0.431369068512953,0.390898081146866,0.401817572280709,0.41059822315624,-9999,-9999,-9999
40,"AUT","Austria",0.952313311688312,0.964726982861697,0.962883375659309,0.966283524904215,0.976068835708524,-9999,-9999
31,"AZE","Azerbaijan",0.188577362924252,0.191076146624415,0.182577453039773,0.164657273900969,0.144496412353774,0.126382891086013,-9999
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",1.04016687550593e-05,8.7658134701359e-06,0.000203144702105672,0.168931595768081,0.245002737266372,0.340080132674771,-9999
50,"BGD","Bangladesh",-9999,-9999,-9999,0.0304232068785814,0.0304639777842723,0.0314760004904342,-9999
52,"BRB","Barbados",0.247183951282765,0.174226899381723,0.279805163189182,0.580897783535024,0.492071467174748,0.561611118307982,-9999
112,"BLR","Belarus",0.11898352662098,0.153930395145728,0.169574020689138,0.214703416361509,0.250270243710692,0.310563699561735,-9999
