"code","iso","country","WRR.raw.2016","WRR.raw.2017","WRR.raw.2018","WRR.raw.2019","WRR.raw.2020","WRR.raw.2021","WRR.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0.102940989178258,0.0991872572242036,0.0956158108414505,0.0924293583545715,0.10810083729634,0.104839419922094,NA
20,"AND","Andorra",0.699468291318297,0.771458056003948,0.89118000397145,0.912024574289505,0.938675599072404,0.945191040843215,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0.000251007874750492,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,0.06,0.06,0.06,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",0.105836454147188,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.431369068512953,0.390898081146866,0.401817572280709,0.41059822315624,NA,NA,NA
40,"AUT","Austria",0.952313311688312,0.964726982861697,0.962883375659309,0.966283524904215,0.976068835708524,NA,NA
31,"AZE","Azerbaijan",0.188577362924252,0.191076146624415,0.182577453039773,0.164657273900969,0.144496412353774,0.126382891086013,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",1.04016687550593e-05,8.7658134701359e-06,0.000203144702105672,0.168931595768081,0.245002737266372,0.340080132674771,NA
50,"BGD","Bangladesh",NA,NA,NA,0.0304232068785814,0.0304639777842723,0.0314760004904342,NA
52,"BRB","Barbados",0.247183951282765,0.174226899381723,0.279805163189182,0.580897783535024,0.492071467174748,0.561611118307982,NA
112,"BLR","Belarus",0.11898352662098,0.153930395145728,0.169574020689138,0.214703416361509,0.250270243710692,0.310563699561735,NA
56,"BEL","Belgium",0.948568141592921,0.937442080479452,0.945844002565748,0.947744632768361,0.9774,0.98929105173394,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,0.000190899727346692,6.20071767249168e-05,0.000631873193017899
60,"BMU","Bermuda",0.888641403951704,0.894461872558016,0.893390191897655,0.884259259259259,NA,NA,NA
64,"BTN","Bhutan",NA,0.0568972257006684,NA,0.0624964150844479,NA,NA,NA
68,"BOL","Bolivia",0.0591169954422982,0.054769683338729,0.0518805841282411,0.0544880553583749,0.0542624811821149,0.055303384339729,NA
70,"BIH","Bosnia and Herzegovina",7.17703e-06,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,0.00307191629012958,NA,NA,NA,NA,NA
76,"BRA","Brazil",0.0142272,NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,0.0248245748490333,NA,NA,NA
100,"BGR","Bulgaria",0.35612634501909,0.37922077922078,0.387491264849756,0.37922077922078,0.39802050194415,NA,NA
854,"BFA","Burkina Faso",0.01152,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",0.002464,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0.244233,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",0.21,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0.00385867347291679,0.0137806094859488,0.00471186120657692,NA,NA,NA,NA
156,"CHN","China",0.0514331456389745,0.0486634718576268,0.0459297823637081,0.0432650193545785,0.0445430024839038,NA,NA
170,"COL","Colombia",0.0882965793485191,NA,NA,NA,NA,NA,NA
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA
