"code","iso","country","WWT.raw.2015","WWT.raw.2016","WWT.raw.2017","WWT.raw.2018","WWT.raw.2019","WWT.raw.2020","WWT.raw.2021"
4,"AFG","Afghanistan",0,-9999,-9999,-9999,-9999,-9999,-9999
8,"ALB","Albania",0.109461966604824,0.11070110701107,0.112932604735883,-9999,0.10053222945003,0.104628949301984,0.489929232444203
12,"DZA","Algeria",0.417,-9999,-9999,-9999,-9999,-9999,-9999
20,"AND","Andorra",1,1,1,1,1,-9999,-9999
24,"AGO","Angola",0.0429,-9999,-9999,-9999,-9999,-9999,-9999
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.444,-9999,-9999,-9999,-9999,-9999,-9999
32,"ARG","Argentina",-9999,-9999,-9999,-9999,0.55,-9999,-9999
51,"ARM","Armenia",0.38,0.381,0.383,0.441,0.349,0.411,0.429
533,"ABW","Aruba",0.6501,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",0.9238,0.9248,0.9269,0.9264,0.928561,0.9286,0.928561
40,"AUT","Austria",-9999,0.952,-9999,0.9595,0.9595,0.9604,0.9604
31,"AZE","Azerbaijan",0.189,0.191,0.195,0.236,0.245,0.251,0.259
44,"BHS","Bahamas",0.63,-9999,-9999,-9999,-9999,-9999,-9999
48,"BHR","Bahrain",0.986388171790659,0.985239852398524,0.998852421390865,0.999771219400595,0.999071494893222,0.999141446662374,0.99956942949408
50,"BGD","Bangladesh",-9999,-9999,-9999,-9999,0.198685173311013,0.187654442885436,0.194312743747775
52,"BRB","Barbados",0.4821,-9999,-9999,-9999,-9999,-9999,-9999
112,"BLR","Belarus",0.658227825682316,0.669524646143276,0.650835728871501,0.649373997125443,0.593343527180124,0.597889951805763,0.59607294249962
56,"BEL","Belgium",0.81935,0.828389,0.833278,0.843394,0.842521,0.835783,0.840247
84,"BLZ","Belize",0.3104,-9999,-9999,-9999,-9999,-9999,-9999
204,"BEN","Benin",0,-9999,-9999,-9999,-9999,-9999,-9999
60,"BMU","Bermuda",0.9341,-9999,-9999,-9999,-9999,-9999,-9999
64,"BTN","Bhutan",0.1436,-9999,-9999,-9999,-9999,-9999,-9999
68,"BOL","Bolivia",0.14,-9999,-9999,-9999,-9999,-9999,-9999
70,"BIH","Bosnia and Herzegovina",0.0290756033841485,-9999,-9999,-9999,-9999,-9999,-9999
72,"BWA","Botswana",0.36,-9999,-9999,-9999,-9999,-9999,-9999
76,"BRA","Brazil",0.4687,-9999,-9999,-9999,0.5203,-9999,-9999
92,"VGB","British Virgin Islands",0.7058,-9999,-9999,-9999,-9999,-9999,-9999
96,"BRN","Brunei Darussalam",0.6814,-9999,-9999,-9999,-9999,-9999,-9999
100,"BGR","Bulgaria",0.546,-9999,-9999,-9999,-9999,-9999,-9999
854,"BFA","Burkina Faso",0.02,-9999,-9999,-9999,-9999,-9999,-9999
108,"BDI","Burundi",0,-9999,-9999,-9999,-9999,-9999,-9999
132,"CPV","Cabo Verde",0.1647,-9999,-9999,-9999,-9999,-9999,-9999
116,"KHM","Cambodia",0,-9999,-9999,-9999,-9999,-9999,-9999
120,"CMR","Cameroon",0,-9999,-9999,-9999,-9999,-9999,-9999
124,"CAN","Canada",0.84,0.84,0.84,-9999,-9999,-9999,-9999
136,"CYM","Cayman Islands",0.8802,-9999,-9999,-9999,-9999,-9999,-9999
140,"CAF","Central African Republic",0,-9999,-9999,-9999,-9999,-9999,-9999
148,"TCD","Chad",0,-9999,-9999,-9999,-9999,-9999,-9999
152,"CHL","Chile",0.9985,0.9993,0.9997,0.9998,0.9998,0.9998,0.9998
156,"CHN","China",0.49,-9999,-9999,-9999,-9999,-9999,-9999
170,"COL","Colombia",-9999,-9999,-9999,-9999,-9999,-9999,0.202
174,"COM","Comoros",0,-9999,-9999,-9999,-9999,-9999,-9999
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",-9999,0.076433,0.075984,0.075344,0.074238,0.072375,0.07092
384,"CIV","Cote d'Ivoire",0,-9999,-9999,-9999,-9999,-9999,-9999
191,"HRV","Croatia",0.809511931487486,0.814985440479812,0.789531136292754,0.786223158739715,0.787699093359471,0.800536627347745,0.809381535703615
192,"CUB","Cuba",0.336707709356516,0.329569960896027,0.269131161027878,0.26012598302718,0.260468635271575,0.24546875,0.243180834175206
531,"CUW","Curacao",0.6166,-9999,-9999,-9999,-9999,-9999,-9999
196,"CYP","Cyprus",0.625,-9999,-9999,-9999,-9999,-9999,-9999
203,"CZE","Czech Republic",0.808,0.813,0.824,0.824,0.827,0.835,0.848
180,"COD","Dem. Rep. Congo",0,-9999,-9999,-9999,-9999,-9999,-9999
208,"DNK","Denmark",0.908,0.912,0.916,0.916,0.918,0.92,-9999
262,"DJI","Djibouti",0.0318,-9999,-9999,-9999,-9999,-9999,-9999
212,"DMA","Dominica",0.3907,-9999,-9999,-9999,-9999,-9999,-9999
214,"DOM","Dominican Republic",-9999,-9999,-9999,-9999,0.233909379273381,0.328381346346686,-9999
218,"ECU","Ecuador",0.250417789154365,0.292821360558897,0.434453237651252,0.489293552609638,0.377654730677768,0.298183594899749,-9999
818,"EGY","Egypt",0.321165644171779,-9999,-9999,-9999,-9999,-9999,-9999
222,"SLV","El Salvador",0.025,-9999,-9999,-9999,-9999,-9999,-9999
226,"GNQ","Equatorial Guinea",0.3109,-9999,-9999,-9999,-9999,-9999,-9999
232,"ERI","Eritrea",0,-9999,-9999,-9999,-9999,-9999,-9999
