"code","iso","country","WWT.raw.2015","WWT.raw.2016","WWT.raw.2017","WWT.raw.2018","WWT.raw.2019","WWT.raw.2020","WWT.raw.2021"
4,"AFG","Afghanistan",0,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",0.109461966604824,0.11070110701107,0.112932604735883,NA,0.10053222945003,0.104628949301984,0.489929232444203
12,"DZA","Algeria",0.417,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",1,1,1,1,1,NA,NA
24,"AGO","Angola",0.0429,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0.444,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,0.55,NA,NA
51,"ARM","Armenia",0.38,0.381,0.383,0.441,0.349,0.411,0.429
533,"ABW","Aruba",0.6501,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.9238,0.9248,0.9269,0.9264,0.928561,0.9286,0.928561
40,"AUT","Austria",NA,0.952,NA,0.9595,0.9595,0.9604,0.9604
31,"AZE","Azerbaijan",0.189,0.191,0.195,0.236,0.245,0.251,0.259
44,"BHS","Bahamas",0.63,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",0.986388171790659,0.985239852398524,0.998852421390865,0.999771219400595,0.999071494893222,0.999141446662374,0.99956942949408
50,"BGD","Bangladesh",NA,NA,NA,NA,0.198685173311013,0.187654442885436,0.194312743747775
52,"BRB","Barbados",0.4821,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",0.658227825682316,0.669524646143276,0.650835728871501,0.649373997125443,0.593343527180124,0.597889951805763,0.59607294249962
56,"BEL","Belgium",0.81935,0.828389,0.833278,0.843394,0.842521,0.835783,0.840247
84,"BLZ","Belize",0.3104,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",0,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",0.9341,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",0.1436,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",0.14,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",0.0290756033841485,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",0.36,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",0.4687,NA,NA,NA,0.5203,NA,NA
92,"VGB","British Virgin Islands",0.7058,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",0.6814,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",0.546,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",0.02,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",0,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",0.1647,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",0,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0.84,0.84,0.84,NA,NA,NA,NA
136,"CYM","Cayman Islands",0.8802,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",0,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0.9985,0.9993,0.9997,0.9998,0.9998,0.9998,0.9998
156,"CHN","China",0.49,NA,NA,NA,NA,NA,NA
170,"COL","Colombia",NA,NA,NA,NA,NA,NA,0.202
174,"COM","Comoros",0,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",NA,0.076433,0.075984,0.075344,0.074238,0.072375,0.07092
384,"CIV","Cote d'Ivoire",0,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",0.809511931487486,0.814985440479812,0.789531136292754,0.786223158739715,0.787699093359471,0.800536627347745,0.809381535703615
