iso3,country_name,priority_score,source
ALB,Albania,31.0,WB_SMALL50XENDEMIC100
DZA,Algeria,47.0,WB_SMALL50XENDEMIC100
ASM,American Samoa,15.0,WB_SMALL50XENDEMIC100
AGO,Angola,89.0,WB_SMALL50XENDEMIC100
AIA,Anguilla,2.0,WB_SMALL50XENDEMIC100
ATG,Antigua and Barbuda,4.0,WB_SMALL50XENDEMIC100
ARG,Argentina,624.0,WB_SMALL50XENDEMIC100
ABW,Aruba,7.0,WB_SMALL50XENDEMIC100
AUS,Australia,11533.0,WB_SMALL50XENDEMIC100
AZE,Azerbaijan,8.0,WB_SMALL50XENDEMIC100
BHS,"Bahamas, The",128.0,WB_SMALL50XENDEMIC100
BHR,Bahrain,0.0,WB_SMALL50XENDEMIC100
BGD,Bangladesh,14.0,WB_SMALL50XENDEMIC100
BRB,Barbados,13.0,WB_SMALL50XENDEMIC100
BEL,Belgium,67.0,WB_SMALL50XENDEMIC100
BLZ,Belize,106.0,WB_SMALL50XENDEMIC100
BEN,Benin,70.0,WB_SMALL50XENDEMIC100
BMU,Bermuda,75.0,WB_SMALL50XENDEMIC100
BES,Bonaire (Neth.),30.0,WB_SMALL50XENDEMIC100
BRA,Brazil,5194.0,WB_SMALL50XENDEMIC100
VGB,British Virgin Islands,12.0,WB_SMALL50XENDEMIC100
BRN,Brunei Darussalam,27.0,WB_SMALL50XENDEMIC100
BGR,Bulgaria,49.0,WB_SMALL50XENDEMIC100
CPV,Cabo Verde,117.0,WB_SMALL50XENDEMIC100
KHM,Cambodia,46.0,WB_SMALL50XENDEMIC100
CMR,Cameroon,355.0,WB_SMALL50XENDEMIC100
CAN,Canada,1452.0,WB_SMALL50XENDEMIC100
CYM,Cayman Islands,42.0,WB_SMALL50XENDEMIC100
GGY,Guernsey,0.0,WB_SMALL50XENDEMIC100
JEY,Jersey,0.0,WB_SMALL50XENDEMIC100
CHL,Chile,951.0,WB_SMALL50XENDEMIC100
CHN,China,2536.0,WB_SMALL50XENDEMIC100
CXR,Christmas Island,40.0,WB_SMALL50XENDEMIC100
CCK,Cocos (Keeling) Islands (Aus.),9.0,WB_SMALL50XENDEMIC100
COL,Colombia,2436.0,WB_SMALL50XENDEMIC100
COM,Comoros,47.0,WB_SMALL50XENDEMIC100
COD,"Congo, Dem. Rep.",266.0,WB_SMALL50XENDEMIC100
COG,"Congo, Rep.",46.0,WB_SMALL50XENDEMIC100
COK,Cook Islands,23.0,WB_SMALL50XENDEMIC100
CRI,Costa Rica,3621.0,WB_SMALL50XENDEMIC100
CIV,Cote d'Ivoire,58.0,WB_SMALL50XENDEMIC100
HRV,Croatia,67.0,WB_SMALL50XENDEMIC100
