"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bouvet Island","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"French Southern Territories","0","0","0","0","0","0","0","2","1","3","0","0","11","0","14"
"Heard Island and McDonald Islands","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","0","0","0","0","0","15","0","15"
"Anguilla","0","0","0","0","0","0","1","1","1","3","0","1","165","0","169"
"Antigua and Barbuda","0","0","0","0","0","0","0","1","1","2","0","3","278","2","285"
"Aruba","0","0","0","0","0","0","0","2","3","5","0","4","97","1","107"
"Bahamas","0","0","0","0","0","0","4","13","12","29","0","17","359","5","410"
"Barbados","0","0","0","0","0","0","0","1","3","4","0","0","216","3","223"
"Bermuda","0","1","1","0","0","1","2","5","1","8","0","1","124","1","135"
"Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","1","2","4","7","0","5","248","0","260"
"Cayman Islands","0","0","0","0","0","0","11","7","5","23","0","4","227","5","259"
"Cuba","11","1","12","19","0","31","145","176","145","466","0","32","994","41","1,545"
"Curaçao","0","0","0","0","0","0","0","2","3","5","0","6","131","1","143"
"Dominica","0","0","0","0","0","0","1","5","14","20","0","7","359","2","388"
"Dominican Republic","0","0","0","1","0","1","17","65","98","180","0","33","746","16","975"
"Grenada","0","0","0","0","0","0","0","2","5","7","0","7","266","1","281"
"Guadeloupe","0","0","0","0","0","0","0","7","13","20","0","6","383","6","415"
"Haiti","0","0","0","29","0","29","93","103","101","297","0","33","713","35","1,078"
"Jamaica","2","0","2","1","0","3","45","86","127","258","0","87","600","15","962"
"Martinique","0","0","0","0","0","0","0","6","13","19","0","5","365","5","394"
"Montserrat","0","0","0","1","0","1","3","1","4","8","0","2","259","2","271"
"Puerto Rico","2","0","2","0","0","2","24","45","41","110","0","28","602","5","747"
"Saint Barthélemy","0","0","0","0","0","0","0","1","1","2","0","1","151","0","154"
"Saint Kitts and Nevis","0","0","0","0","0","0","0","2","3","5","0","2","218","2","227"
"Saint Lucia","0","0","0","0","0","0","0","5","11","16","0","3","307","1","327"
"Saint Martin (French part)","0","0","0","0","0","0","0","1","1","2","0","1","201","1","205"
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","2","6","8","0","5","325","3","341"
"Sint Maarten (Dutch part)","0","0","0","0","0","0","0","1","0","1","0","1","126","0","128"
"Trinidad and Tobago","0","0","0","6","0","6","15","23","26","64","0","12","681","14","771"
"Turks and Caicos Islands","0","0","0","0","0","0","1","7","3","11","0","7","161","3","182"
"Virgin Islands, British","0","0","0","0","0","0","2","16","8","26","0","13","289","1","329"
"Virgin Islands, U.S.","0","0","0","0","0","0","2","12","9","23","0","13","322","1","359"
"China","4","0","4","8","4","16","137","386","318","841","3","135","3,257","270","4,510"
"Hong Kong","0","0","0","0","0","0","3","7","8","18","0","7","356","4","385"
"Japan","0","0","0","0","0","0","24","27","25","76","0","19","812","33","940"
"Korea, Democratic People's Republic of","0","0","0","0","0","0","1","12","7","20","0","3","291","15","329"
"Korea, Republic of","0","0","0","0","0","0","7","21","11","39","0","8","385","28","460"
"Macao","0","0","0","0","0","0","0","0","0","0","0","1","37","0","38"
"Mongolia","0","0","0","0","0","0","1","0","0","1","0","3","231","10","245"
"Taiwan, Province of China","0","1","1","2","1","4","17","45","32","94","0","28","783","14","920"
"Åland Islands","0","0","0","0","0","0","0","0","1","1","0","0","12","0","13"
"Albania","0","0","0","0","0","0","1","0","4","5","0","6","496","32","539"
"Andorra","0","0","0","0","0","0","0","0","1","1","0","1","125","7","134"
"Austria","0","0","0","0","0","0","6","17","15","38","0","10","483","30","561"
"Belgium","0","1","1","0","0","1","0","1","2","3","0","5","370","13","392"
"Bosnia and Herzegovina","0","0","0","0","0","0","1","2","2","5","0","7","375","22","409"
"Bulgaria","0","0","0","0","0","0","1","4","8","13","0","10","519","51","593"
"Croatia","1","0","1","0","0","1","1","6","3","10","0","11","521","36","579"
"Czechia","0","0","0","0","0","0","10","14","7","31","0","5","411","25","472"
"Denmark","0","0","0","0","0","0","0","0","2","2","0","4","323","9","338"
"Estonia","0","0","0","0","0","0","1","0","1","2","0","1","258","4","265"
"Faroe Islands","0","0","0","0","0","0","0","0","1","1","0","0","88","0","89"
"Finland","0","0","0","0","0","0","0","1","3","4","0","2","329","10","345"
"France","1","1","2","0","0","2","8","26","34","68","0","45","822","41","978"
"Germany","0","0","0","0","0","0","17","18","16","51","0","14","488","25","578"
"Gibraltar","0","0","0","0","0","0","0","0","1","1","0","0","41","1","43"
"Greece","3","0","3","2","0","5","63","137","163","363","0","146","993","101","1,606"
"Greenland","0","0","0","0","0","0","0","0","1","1","0","0","125","0","126"
"Guernsey","0","0","0","0","0","0","0","0","0","0","0","0","66","0","66"
"Holy See (Vatican City State)","0","0","0","0","0","0","0","0","0","0","0","0","12","0","12"
"Hungary","0","0","0","0","0","0","13","14","18","45","0","5","400","30","480"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","145","2","147"
"Ireland","0","0","0","0","0","0","2","2","5","9","0","9","313","3","334"
"Isle of Man","0","0","0","0","0","0","0","1","0","1","0","0","74","0","75"
"Italy","0","0","0","1","0","1","39","43","39","121","0","59","829","69","1,078"
"Jersey","0","0","0","0","0","0","0","0","0","0","0","0","70","0","70"
"Latvia","0","0","0","0","0","0","1","0","0","1","0","2","238","6","247"
"Liechtenstein","0","0","0","0","0","0","0","1","0","1","0","1","206","10","218"
"Lithuania","0","0","0","0","0","0","0","1","1","2","0","2","240","8","252"
"Luxembourg","0","1","1","0","0","1","0","1","2","3","0","2","229","9","244"
"Malta","0","0","0","0","0","0","2","1","1","4","0","3","176","8","191"
"Monaco","0","0","0","0","0","0","0","1","1","2","0","0","40","1","43"
"Montenegro","0","0","0","0","0","0","1","2","3","6","0","10","376","17","409"
"Netherlands","0","0","0","0","0","0","0","1","2","3","0","2","343","10","358"
"North Macedonia","0","0","0","0","0","0","0","2","4","6","0","6","381","31","424"
"Norway","0","0","0","0","0","0","1","8","11","20","0","6","372","10","408"
"Poland","0","0","0","0","0","0","1","4","11","16","0","10","422","16","464"
"Portugal","3","0","3","0","0","3","32","56","54","142","0","62","581","40","828"
"Romania","0","0","0","0","0","0","1","8","5","14","0","10","456","48","528"
"San Marino","0","0","0","0","0","0","0","0","0","0","0","0","31","0","31"
"Serbia","0","0","0","0","0","0","0","6","3","9","0","10","421","37","477"
"Slovakia","0","0","0","0","0","0","9","13","10","32","0","7","335","32","406"
"Slovenia","0","0","0","0","0","0","1","5","6","12","0","10","453","25","500"
"Spain","1","1","2","1","0","3","83","121","90","294","1","90","870","47","1,304"
"Svalbard and Jan Mayen","0","0","0","0","0","0","0","1","0","1","0","0","42","0","43"
"Sweden","0","0","0","0","0","0","1","4","7","12","0","9","405","14","440"
"Switzerland","0","0","0","0","0","0","3","7","10","20","0","11","463","21","515"
"United Kingdom","0","1","1","0","0","1","21","16","17","54","0","12","423","17","507"
"Belize","0","0","0","0","0","0","4","53","57","114","0","39","1,198","9","1,360"
"Costa Rica","0","0","0","0","0","0","37","232","198","467","0","242","2,386","26","3,121"
"El Salvador","0","0","0","1","0","1","6","49","53","108","0","37","976","6","1,127"
"Guatemala","0","0","0","0","0","0","72","238","170","480","0","96","1,790","18","2,384"
"Honduras","0","0","0","1","0","1","40","100","77","217","0","76","1,672","14","1,979"
"Mexico","4","3","7","10","3","20","256","818","554","1,628","0","237","3,354","200","5,426"
"Nicaragua","0","0","0","0","0","0","5","64","60","129","0","90","1,781","10","2,010"
"Panama","0","0","0","1","1","2","18","108","158","284","1","148","2,521","181","3,135"
"Algeria","0","0","0","0","0","0","6","8","16","30","0","37","454","15","536"
"Egypt","0","0","0","0","0","0","5","7","1","13","0","2","334","5","354"
"Libya","0","0","0","0","0","0","1","2","5","8","0","9","228","3","248"
"Morocco","0","0","0","0","0","0","4","27","27","58","0","47","485","20","610"
"Tunisia","0","0","0","0","0","0","2","3","6","11","0","26","316","9","362"
"Western Sahara","0","0","0","0","0","0","0","0","1","1","0","0","34","0","35"
"Canada","1","0","1","0","0","1","6","6","9","21","0","17","1,026","18","1,083"
"Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0","50","0","50"
"United States","37","6","43","14","14","71","371","286","169","826","0","91","2,159","53","3,172"
"Belarus","0","0","0","0","0","0","1","1","0","2","0","2","247","13","264"
"Moldova","0","0","0","0","0","0","0","0","2","2","0","4","213","13","232"
"Russian Federation","0","0","0","0","0","0","9","31","29","69","0","25","707","59","860"
"Ukraine","1","0","1","0","0","1","3","14","12","29","0","8","440","51","529"
"American Samoa","0","0","0","0","0","0","0","1","2","3","0","3","115","1","122"
"Australia","4","0","4","2","0","6","118","294","391","803","2","260","3,317","117","4,503"
"Christmas Island","0","0","0","0","0","0","0","0","2","2","0","1","64","0","67"
"Cocos (Keeling) Islands","0","0","0","0","0","0","0","0","0","0","0","0","26","0","26"
"Cook Islands","1","0","1","0","0","1","9","2","2","13","0","1","75","3","93"
"Fiji","0","0","0","5","1","6","69","87","36","192","0","48","548","54","842"
"French Polynesia","6","1","7","0","0","7","107","133","53","293","0","37","168","55","560"
"Guam","0","0","0","0","0","0","1","2","2","5","0","1","66","1","73"
"Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","44","1","45"
"Marshall Islands","0","0","0","0","0","0","0","0","0","0","0","1","47","0","48"
"Micronesia, Federated States of","0","0","0","0","0","0","5","5","7","17","0","4","153","12","186"
"Nauru","0","0","0","0","0","0","0","0","0","0","0","0","31","0","31"
"New Caledonia","6","0","6","11","0","17","164","313","278","755","4","231","787","56","1,839"
"New Zealand","6","1","7","0","0","7","12","11","14","37","1","23","248","1","317"
"Niue","0","0","0","0","0","0","0","2","0","2","0","0","74","0","76"
"Norfolk Island","1","0","1","0","0","1","1","0","2","3","0","4","31","0","39"
"Northern Mariana Islands","0","0","0","0","0","0","2","2","3","7","0","1","81","0","89"
"Palau","0","0","0","1","0","1","1","4","4","9","0","3","138","6","156"
"Papua New Guinea","0","0","0","37","1","38","180","350","222","752","0","189","2,289","474","3,704"
"Pitcairn","0","1","1","0","0","1","4","2","4","10","0","0","28","0","39"
"Samoa","0","0","0","2","0","2","6","4","5","15","0","4","168","11","198"
"Solomon Islands","0","0","0","3","0","3","6","22","33","61","0","32","561","56","710"
"Tokelau","0","0","0","0","0","0","0","0","0","0","0","0","20","0","20"
"Tonga","0","0","0","0","0","0","1","3","5","9","0","1","168","2","180"
"Tuvalu","0","0","0","0","0","0","0","0","0","0","0","0","31","0","31"
"United States Minor Outlying Islands","0","0","0","0","0","0","0","0","0","0","0","0","26","0","26"
"Vanuatu","0","0","0","0","0","0","7","14","10","31","1","11","294","5","342"
"Wallis and Futuna","0","0","0","0","0","0","0","2","0","2","0","0","100","0","102"
"Argentina","0","1","1","0","0","1","9","27","49","85","0","33","999","27","1,145"
"Bolivia, Plurinational States of","1","4","5","3","1","9","67","250","260","577","0","109","2,865","145","3,701"
"Brazil","3","2","5","9","2","16","275","849","513","1,637","11","314","5,954","613","8,534"
"Chile","1","4","5","0","0","5","36","44","30","110","1","16","271","8","411"
"Colombia","1","4","5","3","1","9","278","490","372","1,140","2","228","5,721","241","7,337"
"Ecuador","3","6","9","52","1","62","309","853","967","2,129","1","313","3,512","384","6,348"
"Falkland Islands (Malvinas)","0","0","0","0","0","0","0","5","0","5","0","1","21","1","28"
