"paper_id","iso_a3"
"doi:10.1111/j.1365-3059.1975.tb01880.x","GBR"
"doi:10.1111/j.1365-2338.1976.tb01551.x","CAN"
"doi:10.1071/ea9720185","AUS"
"doi:10.1071/ea9720185","GBR"
"doi:10.1007/bf03041434","NLD"
"doi:10.1007/bf01976639","NLD"
"doi:10.1007/bf01976954","NLD"
"doi:10.1111/j.1365-2338.1973.tb02094.x","NLD"
"doi:10.1016/0013-9327(75)90069-5","USA"
"doi:10.1111/j.1469-8137.1974.tb02142.x","GBR"
"doi:10.1080/0028825x.1977.10432553","NZL"
"doi:10.1071/bt9610057","NZL"
"doi:10.1007/bf02052803","AFG"
"doi:10.1080/00288233.1958.10431534","NZL"
"doi:10.1080/00378941.1968.10838593","NLD"
"doi:10.1080/00362176485190201","EGY"
"doi:10.1080/09670877109413315","NGA"
"doi:10.1111/j.1469-8137.1971.tb02507.x","AUS"
"doi:10.1071/bt9590225","AUS"
"doi:10.5958/2395-146x.2019.00108.x","IND"
"doi:10.13346/j.mycosystema.190145","CHN"
"doi:10.13346/j.mycosystema.190218","CHN"
"doi:10.1038/s41598-019-43165-y","USA"
"doi:10.1007/s40011-018-1053-2","IND"
"doi:10.13346/j.mycosystema.190190","CHN"
"doi:10.1016/j.funbio.2019.09.008","RUS"
"doi:10.1016/j.funbio.2019.09.008","ITA"
"doi:10.1016/j.funbio.2019.09.008","CHE"
"doi:10.1016/j.funbio.2019.09.008","POL"
"doi:10.1016/j.funbio.2019.09.008","FIN"
"doi:10.1016/j.funbio.2019.09.008","NOR"
"doi:10.16768/j.issn.1004-874x.2019.12.013","CHN"
"doi:10.31838/ijpr/2019.11.04.059","IND"
"doi:10.1007/s11557-019-01531-0","BRA"
"doi:10.1371/journal.pone.0223718","CHN"
"doi:10.1371/journal.pone.0223718","CAN"
"doi:10.11686/cyxb2018677","CHN"
"doi:10.3889/oamjms.2019.793","NER"
"doi:10.4314/ijbcs.v13i4.2","GHA"
"doi:10.11733/j.issn.1007-0435.2019.06.009","CHN"
"doi:10.1016/j.fitote.2019.104390","IRN"
"doi:10.3390/toxins11110645","USA"
