iso_a3,country_name,centroid_lon,centroid_lat,gdp_year,gdp_current_usd,gdp_log10,study_count
CHN,China,103.37804954019,36.6914066943658,2024,18743803170827.2,13.272857715075011,1034
USA,United States of America,-103.629562815378,44.7437315933838,2024,28750956130731.2,13.458652291995941,708
IND,India,79.5639109389664,22.7766430406963,2024,3909891533858.08,12.592164709595279,427
BRA,Brazil,-53.2157339228017,-10.6390487701916,2024,2185821648943.86,12.339614723011916,285
AUS,Australia,134.30382913002,-25.7641815561038,2024,1757022451652.83,12.244777311049441,192
CAN,Canada,-96.5486267197423,60.4177669822984,2024,2243636826633.76,12.350952559824094,179
NER,Niger,9.33161006984644,17.412007956852,2024,19876128485.7857,10.298331795503932,158
ITA,Italy,12.2010485239598,42.7156861349631,2024,2380825077243.59,12.376727488316035,141
THA,Thailand,101.000648503115,15.0825849496213,2024,526517658841.684,11.721412941540292,129
NZL,New Zealand,172.921343850907,-41.70233373206,2024,260172385097.616,11.415261198312523,128
ARG,Argentina,-64.7626148983941,-34.6839876743353,2024,638365455340.04,11.805069377463727,123
KOR,South Korea,127.834771142642,36.3733672308111,2024,1875388209406.8,12.273091181264805,121
IRN,Iran,54.4408756065363,32.5273359426532,2024,475252089215.416,11.676924034706827,107
ESP,Spain,-3.70353622939026,40.2076540000071,2024,1725671652742.19,12.236958165094311,104
MEX,Mexico,-102.170985308226,23.9241551704984,2024,1856365616165.94,12.268663515765258,96
IDN,Indonesia,117.179729817036,-2.26406781680181,2024,1396300098190.97,12.144978768560598,87
JPN,Japan,137.66000627904901,37.4608804853389,2024,4027597523550.58,12.605046065150125,87
EGY,Egypt,29.8782696549861,26.4598028985904,2024,389059911003.566,11.590016483111897,77
GBR,United Kingdom,-2.75814205608557,54.0116497480881,2024,3686033044482.13,12.566559224255794,73
ZAF,South Africa,25.1934382247275,-28.9742085225055,2024,401144998373.585,11.603301381625652,68
ATA,Antarctica,82.0706689749783,-84.9385929477074,NA,NA,NA,64
POL,Poland,19.4197062974278,52.111835614271,2024,917767106146.761,11.96273248801221,60
DEU,Germany,10.3643715937045,51.0505771978561,2024,4685592577804.69,12.670764523077906,47
MYS,Malaysia,109.699342986129,3.8111404318149,2024,422227005428.688,11.62554600711845,46
TWN,Taiwan,120.951465589739,23.7502041987188,NA,NA,NA,43
CHL,Chile,-71.0561908536527,-36.0762465062762,2024,330267137371.592,11.518865362161858,40
PAK,Pakistan,69.1684395572922,29.883945351266,2024,371570000121.266,11.57004064259895,40
CHE,Switzerland,8.2062819999427,46.7988964206596,2024,936564198048.516,11.97153755202907,39
FIN,Finland,26.1949731018386,64.255135991488,2024,298696961297.656,11.47523080446428,38
PAN,Panama,-80.1187762438785,8.52023299527355,2024,86523959131.7472,10.93713638351014,36
RUS,Russia,95.6413766746893,66.031721934886,2024,2173835806671.66,12.337226738025617,36
SAU,Saudi Arabia,44.6631748168919,24.0865579782446,2024,1239804533333.33,12.093353220012046,36
PRT,Portugal,-8.52813019289129,39.6062103116453,2024,313271185085.102,11.495920449991663,29
ECU,Ecuador,-78.749298314531,-1.4241098578538,2024,124676074700,11.095783120497925,28
NLD,Netherlands,4.99154802314379,52.2269195770955,2024,1214927698572.66,12.084550433452657,28
COL,Colombia,-73.0770322696693,3.90348006031405,2024,418818154879.271,11.622025499160088,27
MNG,Mongolia,103.123972155588,46.9562038928415,2024,23794540024.5132,10.376477313810273,27
SWE,Sweden,16.2669501808054,62.3836560723776,2024,603715224265.798,11.780832127868148,27
DZA,Algeria,2.63118841954702,28.055993421913,2024,269322281664.773,11.430272285100166,25
CMR,Cameroon,12.7339439705861,5.68116800254082,2024,53296694320.2057,10.726700273135114,25
LKA,Sri Lanka,80.7016320171591,7.61103817767182,2024,98963185509.6499,10.995473666279482,25
MAR,Morocco,-8.72784776313941,29.7668591255143,2024,160610994054.734,11.205775270045308,23
CRI,Costa Rica,-84.1898695369301,9.97613127767004,2024,95350423176.5962,10.979322624837218,21
NGA,Nigeria,8.0795868551995,9.59094556758435,2024,252261880141.151,11.401851628261783,21
TUN,Tunisia,9.55612880879074,34.0889554725266,2024,51332285656.5422,10.71039060238513,21
