fungal_phylum,tissue_group,study_count
Ascomycota,Leaf,1657
Ascomycota,Root,1911
Ascomycota,Seed,822
Ascomycota,Stem/Wood,922
Basidiomycota,Leaf,174
Basidiomycota,Root,526
Basidiomycota,Seed,115
Basidiomycota,Stem/Wood,125
Blastocladiomycota,Root,1
Chlorophyta,Leaf,2
Chlorophyta,Root,1
Chytridiomycota,Leaf,5
Chytridiomycota,Root,16
Chytridiomycota,Seed,1
Chytridiomycota,Stem/Wood,3
Glomeromycota,Leaf,40
Glomeromycota,Root,483
Glomeromycota,Seed,16
Glomeromycota,Stem/Wood,40
Marchantiophyta,Leaf,1
Marchantiophyta,Root,1
Marchantiophyta,Stem/Wood,1
Mucoromycota,Leaf,24
Mucoromycota,Root,79
Mucoromycota,Seed,31
Mucoromycota,Stem/Wood,18
Rhodophyta,Leaf,1
Rhodophyta,Root,1
Tracheophyta,Leaf,9
Tracheophyta,Root,35
Tracheophyta,Seed,8
Tracheophyta,Stem/Wood,8
Unassigned,Stem/Wood,2
Zoopagomycota,Leaf,1
Zoopagomycota,Stem/Wood,1
Zygomycota,Leaf,1
Zygomycota,Root,9
Zygomycota,Seed,2
Zygomycota,Stem/Wood,2
