paper_id,fungal_taxon_resolved
doi:10.1016/0048-4059(75)90088-0,glomeromycota
doi:10.1111/j.1469-8137.1974.tb02142.x,glomeromycota
doi:10.1139/m76-009,glomeromycota
doi:10.7501/j.issn.0253-2670.2019.16.028,glomeromycota
doi:10.1007/s13199-018-00594-z,glomeromycota
doi:10.3923/ajps.2019.33.45,glomeromycota
doi:10.6041/j.issn.1000-1298.2018.03.028,glomeromycota
doi:10.1674/0003-0031-179.2.157,glomeromycota
doi:10.1515/pbj-2017-0016,glomeromycota
doi:10.13292/j.1000-4890.201809.038,glomeromycota
doi:10.15517/rbt.v65i3.25903,glomeromycota
doi:10.1016/j.agee.2016.06.011,glomeromycota
doi:10.1155/2014/173125,glomeromycota
doi:10.1155/2014/531824,glomeromycota
doi:10.1016/j.pbi.2014.05.013,glomeromycota
doi:10.1094/pdis-12-13-1240-pdn,erysiphe elevata
doi:10.1094/pdis-09-13-0972-pdn,erysiphe heraclei
doi:10.1094/pdis-01-13-0001-pdn,erysiphe cruciferarum
doi:10.1094/pdis-06-12-0570-pdn,erysiphe sedi
doi:10.2174/1389202921999200824125710,glomeromycota
doi:10.1111/ele.13502,glomeromycota
doi:10.1155/2019/2758501,glomeromycota
doi:10.1016/j.soilbio.2008.05.002,glomeromycota
doi:10.1657/1523-0430(07-068)[schmidt]2.0.co;2,glomeromycota
doi:10.1007/s00572-020-00962-y,glomeromycota
doi:10.1016/j.envpol.2023.121597,glomeromycota
doi:10.1002/jemt.24183,glomeromycota
doi:10.1016/j.ecoleng.2014.08.012,glomeromycota
doi:10.1111/ddi.12595,glomeromycota
doi:10.1002/ece3.305,glomeromycota
doi:10.1007/s11258-006-9190-8,glomeromycota
doi:10.1111/j.1526-100x.2012.00894.x,glomeromycota
doi:10.1094/pbiomes-05-19-0024-r,glomeromycota
doi:10.1016/j.envexpbot.2022.104979,glomeromycota
doi:10.1016/s0038-0717(03)00004-x,glomeromycota
doi:10.3390/microorganisms10020457,ascomycota; glomeromycota
doi:10.1016/j.apsoil.2013.05.013,glomeromycota
doi:10.1086/730540,glomeromycota
doi:10.1046/j.1469-8137.1998.00200.x,glomeromycota
