country,relationship_type,study_count
CHN,Endophytic,632
USA,Endophytic,327
CHN,Pathogenic,271
USA,Pathogenic,249
IND,Endophytic,246
BRA,Endophytic,154
IND,Pathogenic,105
ITA,Pathogenic,85
CAN,Endophytic,83
NER,Endophytic,83
AUS,Endophytic,81
BRA,Pathogenic,81
KOR,Endophytic,81
THA,Endophytic,79
NZL,Endophytic,74
CHN,Unknown/Other,69
AUS,Pathogenic,68
USA,Mycorrhizal,59
IRN,Endophytic,54
CHN,Mycorrhizal,53
IDN,Endophytic,53
USA,Unknown/Other,50
ESP,Endophytic,49
ARG,Endophytic,48
NER,Pathogenic,48
JPN,Endophytic,45
MEX,Endophytic,45
IRN,Pathogenic,43
THA,Pathogenic,43
CAN,Pathogenic,41
ITA,Endophytic,41
ESP,Pathogenic,40
ATA,Endophytic,39
EGY,Endophytic,38
ZAF,Pathogenic,36
ARG,Mycorrhizal,35
ARG,Pathogenic,35
AUS,Mycorrhizal,35
NZL,Pathogenic,34
EGY,Pathogenic,33
GBR,Endophytic,33
CAN,Mycorrhizal,32
KOR,Pathogenic,30
IND,Unknown/Other,28
CHN,Antagonistic/Biocontrol,27
IND,Antagonistic/Biocontrol,26
JPN,Pathogenic,26
USA,Mutualistic,26
CHL,Endophytic,25
MEX,Pathogenic,25
POL,Endophytic,25
ZAF,Endophytic,25
IDN,Pathogenic,24
IND,Mycorrhizal,24
NOR,Pathogenic,24
BRA,Antagonistic/Biocontrol,23
FIN,Endophytic,23
europe,Pathogenic,23
DEU,Endophytic,22
NLD,Pathogenic,22
SAU,Endophytic,22
CHN,Mutualistic,21
FRA,Endophytic,21
PAK,Endophytic,21
POL,Pathogenic,21
PRT,Pathogenic,21
GBR,Pathogenic,19
MNG,Endophytic,19
MYS,Endophytic,19
TWN,Pathogenic,19
MYS,Pathogenic,18
TWN,Endophytic,18
USA,Antagonistic/Biocontrol,18
BRA,Mycorrhizal,17
CHE,Endophytic,17
CAN,Unknown/Other,16
CHE,Pathogenic,16
CMR,Endophytic,16
DEU,Pathogenic,16
NER,Unknown/Other,16
PAN,Pathogenic,16
BRA,Unknown/Other,15
MAR,Endophytic,15
MEX,Mycorrhizal,15
PAN,Endophytic,15
RUS,Endophytic,15
global,Pathogenic,15
FRA,Pathogenic,14
LKA,Endophytic,14
NER,Antagonistic/Biocontrol,14
europe,Endophytic,14
GBR,Mycorrhizal,13
ISR,Pathogenic,13
NOR,Endophytic,13
PAK,Pathogenic,13
RUS,Pathogenic,13
ATA,Pathogenic,12
COL,Endophytic,12
COL,Pathogenic,12
PRY,Endophytic,12
SAU,Pathogenic,12
CRI,Endophytic,11
NOR,Mycorrhizal,11
PER,Endophytic,11
TUN,Endophytic,11
TUR,Pathogenic,11
VNM,Endophytic,11
multiple,Endophytic,11
DZA,Endophytic,10
ECU,Endophytic,10
ECU,Mycorrhizal,10
NGA,Endophytic,10
PHL,Endophytic,10
ATA,Unknown/Other,9
BGD,Endophytic,9
CAN,Antagonistic/Biocontrol,9
LKA,Pathogenic,9
NGA,Pathogenic,9
POL,Unknown/Other,9
SWE,Endophytic,9
SWE,Pathogenic,9
THA,Unknown/Other,9
TUR,Endophytic,9
uk,Endophytic,9
uk,Pathogenic,9
BGD,Pathogenic,8
CMR,Pathogenic,8
DZA,Pathogenic,8
ESP,Unknown/Other,8
GEO,Endophytic,8
IDN,Antagonistic/Biocontrol,8
MEX,Unknown/Other,8
MLI,Pathogenic,8
PRI,Endophytic,8
TUN,Pathogenic,8
AUT,Pathogenic,7
BEL,Pathogenic,7
FIN,Pathogenic,7
HKG,Endophytic,7
IRN,Antagonistic/Biocontrol,7
ITA,Mycorrhizal,7
KOR,Unknown/Other,7
NOR,Unknown/Other,7
NZL,Mutualistic,7
NZL,Unknown/Other,7
PRT,Endophytic,7
SVN,Pathogenic,7
URY,Pathogenic,7
VEN,Endophytic,7
global,Endophytic,7
ARG,Mutualistic,6
ARG,Unknown/Other,6
AUS,Unknown/Other,6
CHL,Pathogenic,6
CZE,Endophytic,6
ESP,Antagonistic/Biocontrol,6
ETH,Pathogenic,6
FIN,Mycorrhizal,6
GBR,Unknown/Other,6
HUN,Endophytic,6
IND,Mutualistic,6
IRN,Unknown/Other,6
ITA,Unknown/Other,6
JPN,Mycorrhizal,6
JPN,Unknown/Other,6
KEN,Endophytic,6
MAR,Pathogenic,6
NZL,Antagonistic/Biocontrol,6
NZL,Mycorrhizal,6
UZB,Endophytic,6
europe,Mycorrhizal,6
not_mentioned,Pathogenic,6
not_mentioned,Unknown/Other,6
worldwide,Pathogenic,6
BFA,Pathogenic,5
CAN,Mutualistic,5
CHL,Mycorrhizal,5
CRI,Pathogenic,5
DEU,Mycorrhizal,5
DNK,Pathogenic,5
FRA,Mycorrhizal,5
FRA,Unknown/Other,5
GHA,Pathogenic,5
GRC,Pathogenic,5
ITA,Antagonistic/Biocontrol,5
MYS,Unknown/Other,5
OMN,Endophytic,5
POL,Mycorrhizal,5
RUS,Unknown/Other,5
SRB,Pathogenic,5
SWE,Mycorrhizal,5
UKR,Pathogenic,5
VNM,Pathogenic,5
ZAF,Mycorrhizal,5
