genus,phylum,family,study_count
Fusarium,Ascomycota,Nectriaceae,960
Epichloe,Ascomycota,Clavicipitaceae,760
Aspergillus,Ascomycota,Aspergillaceae,693
Alternaria,Ascomycota,Pleosporaceae,412
Penicillium,Ascomycota,Aspergillaceae,383
Trichoderma,Ascomycota,Hypocreaceae,375
Colletotrichum,Ascomycota,Glomerellaceae,345
Serendipita,Basidiomycota,Serendipitaceae,342
Diaporthe,Ascomycota,Diaporthaceae,221
Chaetomium,Ascomycota,Chaetomiaceae,130
Cladosporium,Ascomycota,Cladosporiaceae,128
Rhizophagus,Glomeromycota,Glomeraceae,113
Talaromyces,Ascomycota,Aspergillaceae,105
Pestalotiopsis,Ascomycota,Pestalotiopsidaceae,99
Curvularia,Ascomycota,Pleosporaceae,96
Funneliformis,Glomeromycota,Glomeraceae,91
Phyllosticta,Ascomycota,Phyllostictaceae,87
Phialocephala,Ascomycota,Mollisiaceae,86
Nigrospora,Ascomycota,Trichosphaeriaceae,78
Sarocladium,Ascomycota,Sarocladiaceae,68
Hyaloscypha,Ascomycota,Hyaloscyphaceae,65
Bipolaris,Ascomycota,Pleosporaceae,55
Xylaria,Ascomycota,Xylariaceae,51
Emericella,Ascomycota,Aspergillaceae,44
Pyricularia,Ascomycota,Pyriculariaceae,44
Ustilago,Basidiomycota,Ustilaginaceae,43
Aureobasidium,Ascomycota,Saccotheciaceae,41
Lophodermium,Ascomycota,Rhytismataceae,39
Didymella,Ascomycota,Didymellaceae,38
Induratia,Ascomycota,Induratiaceae,37
Sclerotinia,Ascomycota,Sclerotiniaceae,37
Paecilomyces,Ascomycota,Aspergillaceae,35
Entrophospora,Glomeromycota,Entrophosporaceae,34
Stemphylium,Ascomycota,Pleosporaceae,31
Neopestalotiopsis,Ascomycota,Pestalotiopsidaceae,30
Mucor,Mucoromycota,Mucoraceae,27
Podosphaera,Ascomycota,Erysiphaceae,26
Exophiala,Ascomycota,Herpotrichiellaceae,25
Microdochium,Ascomycota,Amphisphaeriaceae,25
Paraphoma,Ascomycota,Phaeosphaeriaceae,25
Phoma,Ascomycota,Didymellaceae,25
Athelia,Basidiomycota,Atheliaceae,24
Apiospora,Ascomycota,Apiosporaceae,23
Cytospora,Ascomycota,Valsaceae,23
Glomus,Glomeromycota,Glomeraceae,23
Phomopsis,Ascomycota,Diaporthaceae,23
Acaulospora,Glomeromycota,Acaulosporaceae,22
Candida,Ascomycota,Debaryomycetaceae,22
Exserohilum,Ascomycota,Pleosporaceae,22
Zymoseptoria,Ascomycota,Mycosphaerellaceae,22
Periconia,Ascomycota,Periconiaceae,21
Pezicula,Ascomycota,Dermateaceae,21
Puccinia,Basidiomycota,Pucciniaceae,21
Purpureocillium,Ascomycota,Ophiocordycipitaceae,20
Cadophora,Ascomycota,Ploettnerulaceae,18
Cercospora,Ascomycota,Mycosphaerellaceae,18
Rhizopus,Mucoromycota,Rhizopodaceae,18
Acrocalymma,Ascomycota,Acrocalymmaceae,17
Blumeria,Ascomycota,Erysiphaceae,17
Ilyonectria,Ascomycota,Nectriaceae,17
Rhodotorula,Basidiomycota,Sporidiobolaceae,17
Venturia,Ascomycota,Venturiaceae,17
Cladophialophora,Ascomycota,Herpotrichiellaceae,16
Mycosphaerella,Ascomycota,Mycosphaerellaceae,16
Paramyrothecium,Ascomycota,Stachybotryaceae,16
Pseudopestalotiopsis,Ascomycota,Pestalotiopsidaceae,16
Pyrenophora,Ascomycota,Pleosporaceae,16
Ganoderma,Basidiomycota,Polyporaceae,15
Gigaspora,Glomeromycota,Gigasporaceae,15
Muyocopron,Ascomycota,Muyocopronaceae,15
Suillus,Basidiomycota,Suillaceae,15
Corynespora,Ascomycota,Corynesporascaceae,14
Erysiphe,Ascomycota,Erysiphaceae,14
Neonectria,Ascomycota,Nectriaceae,14
Schizophyllum,Basidiomycota,Schizophyllaceae,14
Claviceps,Ascomycota,Clavicipitaceae,13
Coniochaeta,Ascomycota,Coniochaetaceae,13
Dactylonectria,Ascomycota,Nectriaceae,13
Gaeumannomyces,Ascomycota,Magnaporthaceae,13
Glomerella,Ascomycota,Glomerellaceae,13
Irpex,Basidiomycota,Irpicaceae,13
Oidiodendron,Ascomycota,Myxotrichaceae,13
Phaeoacremonium,Ascomycota,Togniniaceae,13
Trametes,Basidiomycota,Polyporaceae,13
Tulasnella,Basidiomycota,Tulasnellaceae,13
Ascochyta,Ascomycota,Didymellaceae,12
Meyerozyma,Ascomycota,Debaryomycetaceae,12
Phaeosphaeria,Ascomycota,Phaeosphaeriaceae,12
Ceratocystis,Ascomycota,Ceratocystidaceae,11
Eutypa,Ascomycota,Diatrypaceae,11
Hymenoscyphus,Ascomycota,Helotiaceae,11
Microsphaeropsis,Ascomycota,Didymellaceae,11
Paraphaeosphaeria,Ascomycota,Didymosphaeriaceae,11
Preussia,Ascomycota,Sporormiaceae,11
Sporisorium,Basidiomycota,Ustilaginaceae,11
Arcopilus,Ascomycota,Chaetomiaceae,10
Cochliobolus,Ascomycota,Pleosporaceae,10
Edenia,Ascomycota,Pleosporaceae,10
Laccaria,Basidiomycota,Hydnangiaceae,10
Leptodophora,Ascomycota,,10
