accepted_id,canonicalName,phylum,family,genus,study_count
2706231,Lolium arundinaceum,Tracheophyta,Poaceae,Lolium,534
2703459,Oryza sativa,Tracheophyta,Poaceae,Oryza,375
2706241,Lolium perenne,Tracheophyta,Poaceae,Lolium,364
5290052,Zea mays,Tracheophyta,Poaceae,Zea,356
7795888,Triticum aestivum,Tracheophyta,Poaceae,Triticum,319
2930137,Solanum lycopersicum,Tracheophyta,Solanaceae,Solanum,306
5359660,Glycine max,Tracheophyta,Fabaceae,Glycine,180
5372392,Vitis vinifera,Tracheophyta,Vitaceae,Vitis,176
3052436,Arabidopsis thaliana,Tracheophyta,Brassicaceae,Arabidopsis,135
2706056,Hordeum vulgare,Tracheophyta,Poaceae,Hordeum,112
2930262,Solanum tuberosum,Tracheophyta,Solanaceae,Solanum,100
3001244,Malus domestica,Tracheophyta,Rosaceae,Malus,99
5350452,Phaseolus vulgaris,Tracheophyta,Fabaceae,Phaseolus,86
5285637,Pinus sylvestris,Tracheophyta,Pinaceae,Pinus,70
4141881,Achnatherum inebrians,Tracheophyta,Poaceae,Achnatherum,69
5353770,Arachis hypogaea,Tracheophyta,Fabaceae,Arachis,69
5284884,Picea abies,Tracheophyta,Pinaceae,Picea,63
2928774,Nicotiana tabacum,Tracheophyta,Solanaceae,Nicotiana,60
2762680,Musa acuminata,Tracheophyta,Musaceae,Musa,57
3152205,Theobroma cacao,Tracheophyta,Malvaceae,Theobroma,57
2688470,Huperzia serrata,Tracheophyta,Lycopodiaceae,Huperzia,56
2874569,Cucumis sativus,Tracheophyta,Cucurbitaceae,Cucumis,56
7403263,Lactuca sativa,Tracheophyta,Asteraceae,Lactuca,56
3042636,Brassica napus,Tracheophyta,Brassicaceae,Brassica,55
4129708,Lolium multiflorum,Tracheophyta,Poaceae,Lolium,55
3152661,Gossypium hirsutum,Tracheophyta,Malvaceae,Gossypium,54
5415040,Olea europaea,Tracheophyta,Oleaceae,Olea,51
2704922,Festuca rubra,Tracheophyta,Poaceae,Festuca,48
3189635,Camellia sinensis,Tracheophyta,Theaceae,Camellia,47
