iso_a3,name
FJI,Fiji
ESH,W. Sahara
COD,Dem. Rep. Congo
SOM,Somalia
HTI,Haiti
BHS,Bahamas
FLK,Falkland Is.
ATF,Fr. S. Antarctic Lands
SLV,El Salvador
BLZ,Belize
SUR,Suriname
SEN,Senegal
LBR,Liberia
SLE,Sierra Leone
CAF,Central African Rep.
GAB,Gabon
GNQ,Eq. Guinea
ZMB,Zambia
MWI,Malawi
SWZ,eSwatini
AGO,Angola
PSE,Palestine
GMB,Gambia
KWT,Kuwait
KHM,Cambodia
PRK,North Korea
TJK,Tajikistan
TKM,Turkmenistan
ARM,Armenia
MDA,Moldova
ALB,Albania
SLB,Solomon Is.
CYP,Cyprus
DJI,Djibouti
RWA,Rwanda
MKD,North Macedonia
TTO,Trinidad and Tobago
SSD,S. Sudan
