fungal_phylum,tissue_group,study_count
Ascomycota,Leaf,484
Ascomycota,Root,546
Ascomycota,Seed,145
Ascomycota,Stem/Wood,258
Basidiomycota,Leaf,43
Basidiomycota,Root,149
Basidiomycota,Seed,19
Basidiomycota,Stem/Wood,52
Blastocladiomycota,Root,1
Charophyta,Root,1
Chlorophyta,Leaf,1
Chytridiomycota,Root,3
Chytridiomycota,Stem/Wood,1
Glomeromycota,Leaf,6
Glomeromycota,Root,95
Glomeromycota,Seed,1
Glomeromycota,Stem/Wood,10
Marchantiophyta,Seed,1
Mucoromycota,Leaf,11
Mucoromycota,Root,35
Mucoromycota,Seed,14
Mucoromycota,Stem/Wood,9
Rhodophyta,Root,2
Rhodophyta,Stem/Wood,1
Tracheophyta,Leaf,2
Tracheophyta,Root,5
Tracheophyta,Seed,3
Tracheophyta,Stem/Wood,3
Zoopagomycota,Root,1
Zygomycota,Root,4
Zygomycota,Stem/Wood,2
