paper_id,fungal_taxon_resolved
doi:10.13346/j.mycosystema.190220,glomeromycota
doi:10.15835/nsb11110397,glomeromycota
doi:10.1590/0102-33062016abb0296,glomeromycota
doi:10.5846/stxb201305121025,glomeromycota
doi:10.1094/pdis-07-14-0693-pdn,erysiphe platani
doi:10.1094/pdis-09-14-0895-pdn,erysiphe heraclei
doi:10.1094/pdis-03-14-0294-pdn,erysiphe macleayae
doi:10.1094/pdis-03-14-0237-pdn,erysiphe buhrii
doi:10.1094/pdis-06-13-0648-pdn,erysiphe cruciferarum
doi:10.1094/pdis-04-13-0378-pdn,erysiphe cruciferarum
doi:10.1094/pdis-10-12-0982-pdn,erysiphe platani
doi:10.3389/fpls.2011.00100,glomeromycota
doi:10.3389/fpls.2024.1504650,glomeromycota
doi:10.3389/ffgc.2023.1297560,erysiphe alphitoides
doi:10.1186/s12870-021-03267-0,glomeromycota
doi:10.1371/journal.pone.0257690,glomeromycota
doi:10.1371/journal.pone.0118204,glomeromycota
doi:10.1186/s40793-024-00631-z,glomeromycota
doi:10.2478/v10184-011-0056-3,glomeromycota
doi:10.1590/s0325-75412010000200014,glomeromycota
doi:10.1007/s00572-021-01040-7,glomeromycota
source:doi_nan,glomeromycota
source:doi_nan,erysiphe neolycopersici
source:doi_nan,erysiphe betae
source:doi_nan,apiognomonia erythrostoma
doi:10.1590/0102-33062020abb0396,glomeromycota
doi:10.1186/s12284-025-00796-2,glomeromycota
doi:10.3389/fmicb.2024.1504444,glomeromycota
doi:10.1094/pdis-04-24-0736-sc,erysiphe mougeotii
doi:10.3389/fpls.2024.1349401,glomeromycota
source:doi_nan,erysiphe cichoracearum
source:doi_nan,erysiphe necator
doi:10.3389/fmicb.2016.01089,glomeromycota
doi:10.28940/terra.v39i0.834,glomeromycota
doi:10.3390/microorganisms12102067,glomeromycota
doi:10.20417/nzjecol.47.3545,glomeromycota
doi:10.1007/s11056-013-9364-x,glomeromycota
doi:10.4067/s0716-078x2012000200004,glomeromycota
doi:10.1007/s10265-014-0680-9,glomeromycota
doi:10.1590/s0100-06832008000500009,glomeromycota
doi:10.22201/ib.20078706e.2020.91.3048,glomeromycota
doi:10.1007/s11356-015-5695-9,glomeromycota
doi:10.1038/s41598-017-06938-x,glomeromycota
doi:10.28940/terra.v42i0.1760,glomeromycota
doi:10.1038/s41598-021-83153-9,glomeromycota
doi:10.1007/s13213-014-0886-z,glomeromycota
doi:10.1590/s0100-83582014000400022,glomeromycota
doi:10.1007/s11056-021-09879-6,glomeromycota
doi:10.3389/fmicb.2018.00651,glomeromycota
doi:10.3389/fmicb.2015.01358,erysiphe necator
doi:10.1038/s42003-024-06042-7,glomeromycota
doi:10.1038/s41467-021-25971-z,glomeromycota
doi:10.15835/nbha51112649,glomeromycota
doi:10.3389/fpls.2023.1282188,erysiphe pulchra
doi:10.1016/j.apsoil.2018.01.009,glomeromycota
doi:10.4067/s0718-95162010000100009,glomeromycota
doi:10.21276/ambi.2019.06.1.ra02,glomeromycota
doi:10.1186/s12302-023-00823-3,glomeromycota
doi:10.37427/botcro-2020-001,glomeromycota
doi:10.1007/s00572-014-0592-5,glomeromycota
doi:10.1038/s41598-023-33195-y,glomeromycota
doi:10.18845/tm.v37i9.7616,glomeromycota
doi:10.55779/nsb15411651,glomeromycota
doi:10.30550/j.lil/2022.59.2/2022.08.10,glomeromycota
doi:10.13346/j.mycosystema.210472,glomeromycota
doi:10.1371/journal.pone.0268175,glomeromycota
doi:10.14720/aas.2022.118.3.2419,glomeromycota
doi:10.48162/rev.39.044,glomeromycota
doi:10.15835/nbha49312454,glomeromycota
doi:10.15835/nbha49212363,glomeromycota
doi:10.3389/fpls.2024.1349202,glomeromycota
doi:10.3389/fpls.2024.1402946,glomeromycota
doi:10.1186/s12864-024-10391-2,glomeromycota
doi:10.1264/jsme2.me16085,glomeromycota
doi:10.15244/pjoes/111236,glomeromycota
doi:10.1186/s40793-024-00566-5,glomeromycota
doi:10.15835/nbha48312055,glomeromycota
