country,relationship_type,study_count
CHN,Endophytic,336
IND,Endophytic,194
CHN,Pathogenic,161
BRA,Endophytic,123
IDN,Endophytic,100
USA,Pathogenic,97
USA,Endophytic,85
BRA,Pathogenic,74
EGY,Endophytic,61
IND,Pathogenic,54
CHN,Unknown/Other,41
JPN,Endophytic,37
USA,Unknown/Other,37
ITA,Pathogenic,35
CHN,Mycorrhizal,30
CHN,Antagonistic/Biocontrol,29
DEU,Endophytic,28
ESP,Endophytic,28
THA,Endophytic,28
NER,Endophytic,27
PAK,Endophytic,27
KOR,Endophytic,26
KOR,Pathogenic,26
CAN,Endophytic,25
DEU,Pathogenic,25
ZAF,Endophytic,22
EGY,Pathogenic,21
IRN,Endophytic,21
ITA,Endophytic,21
POL,Endophytic,21
ZAF,Pathogenic,21
CAN,Pathogenic,20
AUS,Endophytic,19
ESP,Pathogenic,19
MYS,Endophytic,19
SAU,Endophytic,19
BRA,Mycorrhizal,18
CHL,Endophytic,18
IND,Antagonistic/Biocontrol,18
IND,Mycorrhizal,18
JPN,Pathogenic,18
AUS,Pathogenic,17
BRA,Unknown/Other,17
CHN,Mutualistic,17
MEX,Endophytic,17
NZL,Endophytic,17
IND,Unknown/Other,16
POL,Pathogenic,16
TWN,Endophytic,16
ARG,Endophytic,15
FIN,Endophytic,15
IDN,Pathogenic,15
MEX,Pathogenic,15
BGD,Endophytic,14
EGY,Antagonistic/Biocontrol,14
NLD,Pathogenic,14
IDN,Antagonistic/Biocontrol,13
ARG,Mycorrhizal,12
BRA,Antagonistic/Biocontrol,11
MYS,Pathogenic,11
NER,Pathogenic,11
PAK,Pathogenic,11
POL,Mycorrhizal,11
THA,Pathogenic,11
TUR,Pathogenic,11
USA,Mutualistic,11
USA,Mycorrhizal,11
ATA,Endophytic,10
ESP,Antagonistic/Biocontrol,10
PRT,Pathogenic,10
global,Pathogenic,10
COL,Pathogenic,9
CZE,Pathogenic,9
ITA,Mycorrhizal,9
KEN,Endophytic,9
NGA,Endophytic,9
NLD,Endophytic,9
POL,Unknown/Other,9
RUS,Endophytic,9
SAU,Pathogenic,9
SWE,Pathogenic,9
DZA,Endophytic,8
FRA,Pathogenic,8
HUN,Endophytic,8
IRN,Pathogenic,8
NZL,Pathogenic,8
THA,Unknown/Other,8
TUR,Endophytic,8
ARG,Pathogenic,7
AUS,Unknown/Other,7
CMR,Endophytic,7
DEU,Mutualistic,7
FRA,Endophytic,7
ITA,Unknown/Other,7
PAK,Antagonistic/Biocontrol,7
PRT,Endophytic,7
USA,Antagonistic/Biocontrol,7
europe,Pathogenic,7
ARG,Unknown/Other,6
AUT,Pathogenic,6
CAN,Mycorrhizal,6
CAN,Unknown/Other,6
CHE,Pathogenic,6
COL,Endophytic,6
ECU,Endophytic,6
IDN,Unknown/Other,6
JPN,Mycorrhizal,6
MAR,Endophytic,6
MAR,Pathogenic,6
NZL,Mutualistic,6
PRY,Endophytic,6
SRB,Pathogenic,6
UKR,Endophytic,6
AUT,Endophytic,5
CHE,Endophytic,5
CRI,Pathogenic,5
CZE,Endophytic,5
DEU,Antagonistic/Biocontrol,5
DEU,Unknown/Other,5
ESP,Unknown/Other,5
ETH,Pathogenic,5
FIN,Pathogenic,5
GBR,Endophytic,5
GBR,Pathogenic,5
IRQ,Pathogenic,5
JPN,Unknown/Other,5
KOR,Antagonistic/Biocontrol,5
LKA,Endophytic,5
MEX,Unknown/Other,5
MNG,Endophytic,5
NGA,Pathogenic,5
NOR,Pathogenic,5
NOR,Unknown/Other,5
NPL,Endophytic,5
OMN,Endophytic,5
PER,Pathogenic,5
PHL,Endophytic,5
SAU,Unknown/Other,5
TUR,Unknown/Other,5
TWN,Pathogenic,5
europe,Endophytic,5
ARE,Endophytic,4
AUS,Mycorrhizal,4
BGD,Unknown/Other,4
CRI,Endophytic,4
DZA,Pathogenic,4
EGY,Unknown/Other,4
ETH,Endophytic,4
FIN,Unknown/Other,4
GRC,Pathogenic,4
HUN,Pathogenic,4
ITA,Antagonistic/Biocontrol,4
LKA,Pathogenic,4
MYS,Antagonistic/Biocontrol,4
MYS,Unknown/Other,4
NZL,Unknown/Other,4
PAN,Endophytic,4
PAN,Unknown/Other,4
PER,Endophytic,4
RUS,Pathogenic,4
SAU,Antagonistic/Biocontrol,4
UKR,Pathogenic,4
uk,Endophytic,4
uk,Pathogenic,4
ATA,Unknown/Other,3
AUT,Unknown/Other,3
BGR,Pathogenic,3
BOL,Endophytic,3
BRA,Mutualistic,3
CAN,Antagonistic/Biocontrol,3
COL,Antagonistic/Biocontrol,3
CZE,Mycorrhizal,3
DNK,Antagonistic/Biocontrol,3
DNK,Endophytic,3
DNK,Pathogenic,3
ECU,Pathogenic,3
EGY,Mycorrhizal,3
EST,Pathogenic,3
FIN,Mutualistic,3
FRA,Mutualistic,3
FRA,Mycorrhizal,3
FRA,Unknown/Other,3
IRQ,Endophytic,3
JOR,Endophytic,3
JPN,Antagonistic/Biocontrol,3
KEN,Pathogenic,3
MEX,Mycorrhizal,3
