publication_year,relationship_type,study_count
2024,Endophytic,185
2023,Endophytic,167
2022,Endophytic,159
2021,Endophytic,132
2025,Endophytic,123
2020,Endophytic,119
2024,Pathogenic,108
2019,Endophytic,100
2018,Endophytic,95
2017,Endophytic,94
2023,Pathogenic,92
2021,Pathogenic,76
2016,Endophytic,74
2022,Pathogenic,71
2014,Endophytic,66
2025,Pathogenic,63
2020,Pathogenic,55
2015,Endophytic,52
2013,Endophytic,48
2016,Pathogenic,47
2014,Pathogenic,46
2013,Pathogenic,44
2012,Endophytic,42
2015,Pathogenic,42
2011,Endophytic,39
2019,Pathogenic,39
2024,Antagonistic/Biocontrol,35
2017,Pathogenic,33
2021,Unknown/Other,32
2018,Pathogenic,30
2023,Antagonistic/Biocontrol,29
2023,Unknown/Other,29
2024,Unknown/Other,29
2012,Pathogenic,28
2022,Antagonistic/Biocontrol,25
2020,Unknown/Other,23
2010,Endophytic,22
2022,Unknown/Other,22
2009,Endophytic,20
2019,Unknown/Other,19
2020,Antagonistic/Biocontrol,19
2021,Mycorrhizal,19
2017,Unknown/Other,18
2024,Mycorrhizal,17
2008,Endophytic,16
2009,Pathogenic,16
2011,Pathogenic,16
2023,Mycorrhizal,16
2019,Mycorrhizal,15
2008,Pathogenic,14
2025,Unknown/Other,14
2016,Mycorrhizal,12
2016,Unknown/Other,12
2021,Antagonistic/Biocontrol,12
2013,Unknown/Other,11
2020,Mycorrhizal,11
2017,Antagonistic/Biocontrol,10
2018,Mycorrhizal,10
2018,Unknown/Other,10
2019,Antagonistic/Biocontrol,10
2022,Mutualistic,10
2025,Antagonistic/Biocontrol,10
2010,Pathogenic,9
2015,Mycorrhizal,9
2015,Unknown/Other,9
2022,Mycorrhizal,9
2017,Mycorrhizal,8
2000,Endophytic,7
2005,Endophytic,7
2012,Mycorrhizal,7
2018,Antagonistic/Biocontrol,7
2025,Mycorrhizal,7
2006,Pathogenic,6
2008,Unknown/Other,6
2011,Mycorrhizal,6
2013,Mycorrhizal,6
2014,Mycorrhizal,6
2019,Mutualistic,6
2021,Mutualistic,6
2023,Mutualistic,6
2024,Mutualistic,6
2004,Pathogenic,5
2006,Endophytic,5
2007,Endophytic,5
2007,Pathogenic,5
2014,Mutualistic,5
2014,Unknown/Other,5
2015,Antagonistic/Biocontrol,5
2015,Mutualistic,5
2016,Mutualistic,5
2002,Endophytic,4
2005,Pathogenic,4
2011,Unknown/Other,4
2013,Antagonistic/Biocontrol,4
2013,Mutualistic,4
2014,Antagonistic/Biocontrol,4
2018,Mutualistic,4
2020,Mutualistic,4
1998,Endophytic,3
2003,Endophytic,3
2003,Pathogenic,3
2009,Unknown/Other,3
2012,Antagonistic/Biocontrol,3
2012,Mutualistic,3
2012,Unknown/Other,3
2016,Antagonistic/Biocontrol,3
2017,Mutualistic,3
2002,Pathogenic,2
2004,Endophytic,2
2005,Mycorrhizal,2
2008,Mycorrhizal,2
2009,Mutualistic,2
2010,Mycorrhizal,2
2011,Antagonistic/Biocontrol,2
2011,Mutualistic,2
2024,Saprotrophic,2
1944,Mycorrhizal,1
1955,Mycorrhizal,1
1971,Unknown/Other,1
1980,Pathogenic,1
1980,Unknown/Other,1
1983,Pathogenic,1
1983,Unknown/Other,1
1984,Pathogenic,1
1986,Pathogenic,1
1987,Pathogenic,1
1990,Endophytic,1
1990,Mutualistic,1
1990,Pathogenic,1
1992,Pathogenic,1
1993,Pathogenic,1
1994,Mycorrhizal,1
1995,Antagonistic/Biocontrol,1
1995,Endophytic,1
1995,Mycorrhizal,1
1995,Unknown/Other,1
1996,Mycorrhizal,1
1996,Pathogenic,1
1997,Endophytic,1
1997,Pathogenic,1
1999,Endophytic,1
1999,Pathogenic,1
2000,Mycorrhizal,1
2000,Pathogenic,1
2001,Endophytic,1
2001,Pathogenic,1
2002,Mycorrhizal,1
2003,Mycorrhizal,1
2004,Mutualistic,1
2004,Mycorrhizal,1
2005,Antagonistic/Biocontrol,1
2005,Mutualistic,1
2005,Unknown/Other,1
2006,Mycorrhizal,1
2007,Mutualistic,1
2008,Antagonistic/Biocontrol,1
2009,Antagonistic/Biocontrol,1
2009,Mycorrhizal,1
2010,Antagonistic/Biocontrol,1
2010,Unknown/Other,1
2014,Saprotrophic,1
2020,Saprotrophic,1
2023,Saprotrophic,1
2025,Saprotrophic,1
