genus,phylum,family,study_count
Fusarium,Ascomycota,Nectriaceae,247
Aspergillus,Ascomycota,Aspergillaceae,187
Penicillium,Ascomycota,Aspergillaceae,131
Alternaria,Ascomycota,Pleosporaceae,114
Trichoderma,Ascomycota,Hypocreaceae,111
Colletotrichum,Ascomycota,Glomerellaceae,92
Epichloe,Ascomycota,Clavicipitaceae,85
Serendipita,Basidiomycota,Serendipitaceae,73
Diaporthe,Ascomycota,Diaporthaceae,64
Chaetomium,Ascomycota,Chaetomiaceae,31
Talaromyces,Ascomycota,Aspergillaceae,29
Pestalotiopsis,Ascomycota,Pestalotiopsidaceae,28
Cladosporium,Ascomycota,Cladosporiaceae,27
Curvularia,Ascomycota,Pleosporaceae,27
Phyllosticta,Ascomycota,Phyllostictaceae,20
Rhizophagus,Glomeromycota,Glomeraceae,20
Xylaria,Ascomycota,Xylariaceae,20
Nigrospora,Ascomycota,Trichosphaeriaceae,18
Phialocephala,Ascomycota,Mollisiaceae,16
Erysiphe,Ascomycota,Erysiphaceae,15
Paecilomyces,Ascomycota,Aspergillaceae,15
Aureobasidium,Ascomycota,Saccotheciaceae,14
Funneliformis,Glomeromycota,Glomeraceae,14
Pyricularia,Ascomycota,Pyriculariaceae,14
Cercospora,Ascomycota,Mycosphaerellaceae,13
Hyaloscypha,Ascomycota,Hyaloscyphaceae,13
Athelia,Basidiomycota,Atheliaceae,12
Sarocladium,Ascomycota,Sarocladiaceae,12
Acaulospora,Glomeromycota,Acaulosporaceae,11
Bipolaris,Ascomycota,Pleosporaceae,11
Entrophospora,Glomeromycota,Entrophosporaceae,11
Rhizopus,Mucoromycota,Rhizopodaceae,11
Exophiala,Ascomycota,Herpotrichiellaceae,9
Gigaspora,Glomeromycota,Gigasporaceae,9
Induratia,Ascomycota,Induratiaceae,9
Mucor,Mucoromycota,Mucoraceae,9
Purpureocillium,Ascomycota,Ophiocordycipitaceae,9
Ustilago,Basidiomycota,Ustilaginaceae,9
Cytospora,Ascomycota,Valsaceae,8
Emericella,Ascomycota,Aspergillaceae,8
Lophodermium,Ascomycota,Rhytismataceae,8
Paraphoma,Ascomycota,Phaeosphaeriaceae,8
Phomopsis,Ascomycota,Diaporthaceae,8
Pseudocercospora,Ascomycota,Mycosphaerellaceae,8
Puccinia,Basidiomycota,Pucciniaceae,8
Sclerotinia,Ascomycota,Sclerotiniaceae,8
Corynespora,Ascomycota,Corynesporascaceae,7
Didymella,Ascomycota,Didymellaceae,7
Gaeumannomyces,Ascomycota,Magnaporthaceae,7
Microdochium,Ascomycota,Amphisphaeriaceae,7
Neopestalotiopsis,Ascomycota,Pestalotiopsidaceae,7
Periconia,Ascomycota,Periconiaceae,7
Zymoseptoria,Ascomycota,Mycosphaerellaceae,7
Candida,Ascomycota,Debaryomycetaceae,6
Ceratocystis,Ascomycota,Ceratocystidaceae,6
Cryphonectria,Ascomycota,Cryphonectriaceae,6
Hymenoscyphus,Ascomycota,Helotiaceae,6
Leptosphaeria,Ascomycota,Leptosphaeriaceae,6
Podosphaera,Ascomycota,Erysiphaceae,6
Pyrenophora,Ascomycota,Pleosporaceae,6
Stemphylium,Ascomycota,Pleosporaceae,6
Apiospora,Ascomycota,Apiosporaceae,5
Claviceps,Ascomycota,Clavicipitaceae,5
Glomus,Glomeromycota,Glomeraceae,5
Neurospora,Ascomycota,Sordariaceae,5
Pacispora,Glomeromycota,Pacisporaceae,5
Schizophyllum,Basidiomycota,Schizophyllaceae,5
Acrocalymma,Ascomycota,Acrocalymmaceae,4
Arcopilus,Ascomycota,Chaetomiaceae,4
Calonectria,Ascomycota,Nectriaceae,4
Hemileia,Basidiomycota,Zaghouaniaceae,4
Ilyonectria,Ascomycota,Nectriaceae,4
Irpex,Basidiomycota,Irpicaceae,4
Microascus,Ascomycota,Microascaceae,4
Pezicula,Ascomycota,Dermateaceae,4
Pseudopestalotiopsis,Ascomycota,Pestalotiopsidaceae,4
Rigidoporus,Basidiomycota,Meripilaceae,4
Sordaria,Ascomycota,Sordariaceae,4
Stereum,Basidiomycota,Stereaceae,4
Tulasnella,Basidiomycota,Tulasnellaceae,4
Ascochyta,Ascomycota,Didymellaceae,3
Berkeleyomyces,Ascomycota,Ceratocystidaceae,3
Brunneochlamydosporium,Ascomycota,Plectosphaerellaceae,3
Cladophialophora,Ascomycota,Herpotrichiellaceae,3
Cochliobolus,Ascomycota,Pleosporaceae,3
Coniochaeta,Ascomycota,Coniochaetaceae,3
Cyclaneusma,Ascomycota,Marthamycetaceae,3
Ganoderma,Basidiomycota,Polyporaceae,3
Geotrichum,Ascomycota,Dipodascaceae,3
Golovinomyces,Ascomycota,Erysiphaceae,3
Laburnicola,Ascomycota,Didymosphaeriaceae,3
Leveillula,Ascomycota,Erysiphaceae,3
Meyerozyma,Ascomycota,Debaryomycetaceae,3
Mollisia,Ascomycota,Mollisiaceae,3
Monascus,Ascomycota,Monascaceae,3
Mycosphaerella,Ascomycota,Mycosphaerellaceae,3
Nemania,Ascomycota,Xylariaceae,3
Neonectria,Ascomycota,Nectriaceae,3
Paracoccidioides,Ascomycota,Ajellomycetaceae,3
Pestalotia,Ascomycota,Pestalotiopsidaceae,3
