accepted_id,canonicalName,phylum,family,genus,study_count
2703459,Oryza sativa,Tracheophyta,Poaceae,Oryza,90
2930137,Solanum lycopersicum,Tracheophyta,Solanaceae,Solanum,90
5290052,Zea mays,Tracheophyta,Poaceae,Zea,83
7795888,Triticum aestivum,Tracheophyta,Poaceae,Triticum,70
3052436,Arabidopsis thaliana,Tracheophyta,Brassicaceae,Arabidopsis,53
2706241,Lolium perenne,Tracheophyta,Poaceae,Lolium,44
5359660,Glycine max,Tracheophyta,Fabaceae,Glycine,39
5372392,Vitis vinifera,Tracheophyta,Vitaceae,Vitis,39
2706231,Lolium arundinaceum,Tracheophyta,Poaceae,Lolium,28
2703912,Saccharum officinarum,Tracheophyta,Poaceae,Saccharum,27
2706056,Hordeum vulgare,Tracheophyta,Poaceae,Hordeum,25
3001244,Malus domestica,Tracheophyta,Rosaceae,Malus,25
2930262,Solanum tuberosum,Tracheophyta,Solanaceae,Solanum,23
3189635,Camellia sinensis,Tracheophyta,Theaceae,Camellia,21
2928774,Nicotiana tabacum,Tracheophyta,Solanaceae,Nicotiana,20
2895345,Coffea arabica,Tracheophyta,Rubiaceae,Coffea,19
2704922,Festuca rubra,Tracheophyta,Poaceae,Festuca,18
2932944,Capsicum annuum,Tracheophyta,Solanaceae,Capsicum,18
5285637,Pinus sylvestris,Tracheophyta,Pinaceae,Pinus,18
5415040,Olea europaea,Tracheophyta,Oleaceae,Olea,18
3152661,Gossypium hirsutum,Tracheophyta,Malvaceae,Gossypium,17
2874569,Cucumis sativus,Tracheophyta,Cucurbitaceae,Cucumis,16
3042636,Brassica napus,Tracheophyta,Brassicaceae,Brassica,15
5350452,Phaseolus vulgaris,Tracheophyta,Fabaceae,Phaseolus,15
5353770,Arachis hypogaea,Tracheophyta,Fabaceae,Arachis,15
2857697,Allium cepa,Tracheophyta,Amaryllidaceae,Allium,12
2875979,Corylus avellana,Tracheophyta,Betulaceae,Corylus,12
2947311,Cicer arietinum,Tracheophyta,Fabaceae,Cicer,12
3042845,Brassica oleracea,Tracheophyta,Brassicaceae,Brassica,12
2762680,Musa acuminata,Tracheophyta,Musaceae,Musa,11
3169830,Catharanthus roseus,Tracheophyta,Apocynaceae,Catharanthus,11
3172358,Fraxinus excelsior,Tracheophyta,Oleaceae,Fraxinus,11
5372262,Panax ginseng,Tracheophyta,Araliaceae,Panax,11
2705181,Sorghum bicolor,Tracheophyta,Poaceae,Sorghum,10
7403263,Lactuca sativa,Tracheophyta,Asteraceae,Lactuca,10
7903057,Brassica rapa,Tracheophyta,Brassicaceae,Brassica,10
2874570,Cucumis melo,Tracheophyta,Cucurbitaceae,Cucumis,9
2882316,Fagus sylvatica,Tracheophyta,Fagaceae,Fagus,9
2882849,Vaccinium corymbosum,Tracheophyta,Ericaceae,Vaccinium,9
3190638,Mangifera indica,Tracheophyta,Anacardiaceae,Mangifera,9
5284884,Picea abies,Tracheophyta,Pinaceae,Picea,9
5317489,Dendrobium nobile,Tracheophyta,Orchidaceae,Dendrobium,9
8373355,Artemisia annua,Tracheophyta,Asteraceae,Artemisia,9
2688470,Huperzia serrata,Tracheophyta,Lycopodiaceae,Huperzia,8
