iso_a3,name
FJI,Fiji
ESH,W. Sahara
SOM,Somalia
TCD,Chad
HTI,Haiti
DOM,Dominican Rep.
BHS,Bahamas
FLK,Falkland Is.
ATF,Fr. S. Antarctic Lands
TLS,Timor-Leste
LSO,Lesotho
SLV,El Salvador
GTM,Guatemala
BLZ,Belize
SUR,Suriname
BWA,Botswana
MRT,Mauritania
TGO,Togo
CIV,Côte d'Ivoire
GNB,Guinea-Bissau
LBR,Liberia
SLE,Sierra Leone
GNQ,Eq. Guinea
SWZ,eSwatini
LBN,Lebanon
PSE,Palestine
GMB,Gambia
VUT,Vanuatu
KHM,Cambodia
LAO,Laos
PRK,North Korea
TJK,Tajikistan
KGZ,Kyrgyzstan
TKM,Turkmenistan
ARM,Armenia
LVA,Latvia
SLB,Solomon Is.
AZE,Azerbaijan
BRN,Brunei
ERI,Eritrea
YEM,Yemen
CYP,Cyprus
DJI,Djibouti
RWA,Rwanda
MKD,North Macedonia
MNE,Montenegro
SSD,S. Sudan
