iso_a3,country_area_name,country_area_1000ha,country_area_km2,year
ABW,Aruba,18.0,180.0,2023
AFG,Afghanistan,65287.0,652870.0,2023
AGO,Angola,124670.0,1246700.0,2023
AIA,Anguilla,9.0,90.0,2023
ALB,Albania,2875.0,28750.0,2023
AND,Andorra,47.0,470.0,2023
ARE,United Arab Emirates,9864.79,98647.90000000001,2023
ARG,Argentina,278040.0,2780400.0,2023
ARM,Armenia,2974.0,29740.0,2023
ASM,American Samoa,20.0,200.0,2023
ATG,Antigua and Barbuda,44.0,440.0,2023
AUS,Australia,774122.0,7741220.0,2023
AUT,Austria,8387.9,83879.0,2023
AZE,Azerbaijan,8660.0,86600.0,2023
BDI,Burundi,2783.0,27830.0,2023
BEL,Belgium,3068.9,30689.0,2023
BEN,Benin,11476.0,114760.0,2023
BES,"Bonaire, Sint Eustatius and Saba",32.2,322.0,2023
BFA,Burkina Faso,27420.0,274200.0,2023
BGD,Bangladesh,14757.0,147570.0,2023
BGR,Bulgaria,11099.6758,110996.758,2023
BHR,Bahrain,80.0,800.0,2023
BHS,Bahamas,1388.0,13880.0,2023
BIH,Bosnia and Herzegovina,5121.0,51210.0,2023
BLM,Saint Barthélemy,2.0,20.0,2023
BLR,Belarus,20762.9,207629.0,2023
BLZ,Belize,2296.6,22966.0,2023
BMU,Bermuda,429.0,4290.0,2023
BOL,Bolivia (Plurinational State of),109858.0,1098580.0,2023
BRA,Brazil,851042.0,8510420.0,2023
BRB,Barbados,43.0,430.0,2023
BRN,Brunei Darussalam,577.0,5770.0,2023
BTN,Bhutan,3839.0,38390.0,2023
BWA,Botswana,58173.0,581730.0,2023
CAF,Central African Republic,62298.0,622980.0,2023
CAN,Canada,1563441.0,15634410.0,2023
CHE,Switzerland,4129.07,41290.7,2023
CHL,Chile,75724.488,757244.88,2023
CHN,"China, Taiwan Province of",3596.0,35960.0,2023
CIV,Côte d'Ivoire,32246.0,322460.0,2023
CMR,Cameroon,47544.0,475440.0,2023
COG,Democratic Republic of the Congo,234486.0,2344860.0,2023
COK,Cook Islands,24.0,240.0,2023
COL,Colombia,114061.91,1140619.1,2023
COM,Comoros,186.1,1861.0,2023
CPV,Cabo Verde,403.0,4030.0,2023
CRI,Costa Rica,5110.0,51100.0,2023
CUB,Cuba,10988.0,109880.0,2023
CUW,Curaçao,44.4,444.0,2023
CYM,Cayman Islands,26.4,264.0,2023
CYP,Cyprus,925.0,9250.0,2023
CZE,Czechia,7887.143,78871.43,2023
DEU,Germany,35768.0,357680.0,2023
DJI,Djibouti,2320.0,23200.0,2023
DMA,Dominica,75.0,750.0,2023
DNK,Denmark,4292.0,42920.0,2023
DOM,Dominican Republic,14683.946,146839.46,2023
DZA,Algeria,238174.0,2381740.0,2023
ECU,Ecuador,25637.0,256370.0,2023
EGY,Egypt,100145.0,1001450.0,2023
