iso_a3,name,data_status,country_name_x,country_key,country_name_y,priority_score,source,country_name,study_count,overlap_status
ALA,Aland,0,Aland,aland,,,,,,Understudied only
ASM,American Samoa,0,American Samoa,american samoa,American Samoa,15.0,WB_SMALL50XENDEMIC100,American Samoa,0.0,Understudied + priority area
ASM,American Samoa,0,American Samoa,american samoa,American Samoa,46.0,WB_TPROB80,American Samoa,0.0,Understudied + priority area
ASM,American Samoa,0,American Samoa,american samoa,American Samoa,1851.0,WB_TOTAL,American Samoa,0.0,Understudied + priority area
AND,Andorra,0,Andorra,andorra,Andorra,0.0,WB_SMALL50XENDEMIC100,Andorra,0.0,Understudied + priority area
AND,Andorra,0,Andorra,andorra,Andorra,259.0,WB_TPROB80,Andorra,0.0,Understudied + priority area
AND,Andorra,0,Andorra,andorra,Andorra,25302.0,WB_TOTAL,Andorra,0.0,Understudied + priority area
AGO,Angola,0,Angola,angola,Angola,89.0,WB_SMALL50XENDEMIC100,Angola,0.0,Understudied + priority area
AGO,Angola,0,Angola,angola,Angola,73.0,WB_TPROB80,Angola,0.0,Understudied + priority area
AGO,Angola,0,Angola,angola,Angola,7872.0,WB_TOTAL,Angola,0.0,Understudied + priority area
AIA,Anguilla,0,Anguilla,anguilla,Anguilla,2.0,WB_SMALL50XENDEMIC100,Anguilla,0.0,Understudied + priority area
AIA,Anguilla,0,Anguilla,anguilla,Anguilla,140.0,WB_TPROB80,Anguilla,0.0,Understudied + priority area
AIA,Anguilla,0,Anguilla,anguilla,Anguilla,6097.0,WB_TOTAL,Anguilla,0.0,Understudied + priority area
ATG,Antigua and Barb.,0,Antigua and Barb.,antigua and barb.,Antigua and Barbuda,4.0,WB_SMALL50XENDEMIC100,Antigua and Barb.,0.0,Understudied + priority area
ATG,Antigua and Barb.,0,Antigua and Barb.,antigua and barb.,Antigua and Barbuda,157.0,WB_TPROB80,Antigua and Barb.,0.0,Understudied + priority area
ATG,Antigua and Barb.,0,Antigua and Barb.,antigua and barb.,Antigua and Barbuda,6906.0,WB_TOTAL,Antigua and Barb.,0.0,Understudied + priority area
ARM,Armenia,0,Armenia,armenia,Armenia,80.0,WB_SMALL50XENDEMIC100,Armenia,0.0,Understudied + priority area
ARM,Armenia,0,Armenia,armenia,Armenia,104.0,WB_TPROB80,Armenia,0.0,Understudied + priority area
ARM,Armenia,0,Armenia,armenia,Armenia,7423.0,WB_TOTAL,Armenia,0.0,Understudied + priority area
ABW,Aruba,0,Aruba,aruba,Aruba,7.0,WB_SMALL50XENDEMIC100,Aruba,0.0,Understudied + priority area
ABW,Aruba,0,Aruba,aruba,Aruba,202.0,WB_TPROB80,Aruba,0.0,Understudied + priority area
ABW,Aruba,0,Aruba,aruba,Aruba,8656.0,WB_TOTAL,Aruba,0.0,Understudied + priority area
BHS,Bahamas,0,Bahamas,bahamas,"Bahamas, The",128.0,WB_SMALL50XENDEMIC100,Bahamas,0.0,Understudied + priority area
BHS,Bahamas,0,Bahamas,bahamas,"Bahamas, The",321.0,WB_TPROB80,Bahamas,0.0,Understudied + priority area
BHS,Bahamas,0,Bahamas,bahamas,"Bahamas, The",14798.0,WB_TOTAL,Bahamas,0.0,Understudied + priority area
BHR,Bahrain,0,Bahrain,bahrain,Bahrain,0.0,WB_SMALL50XENDEMIC100,Bahrain,0.0,Understudied + priority area
BHR,Bahrain,0,Bahrain,bahrain,Bahrain,27.0,WB_TPROB80,Bahrain,0.0,Understudied + priority area
BHR,Bahrain,0,Bahrain,bahrain,Bahrain,1950.0,WB_TOTAL,Bahrain,0.0,Understudied + priority area
BLZ,Belize,0,Belize,belize,Belize,106.0,WB_SMALL50XENDEMIC100,Belize,0.0,Understudied + priority area
BLZ,Belize,0,Belize,belize,Belize,269.0,WB_TPROB80,Belize,0.0,Understudied + priority area
BLZ,Belize,0,Belize,belize,Belize,18640.0,WB_TOTAL,Belize,0.0,Understudied + priority area
IOT,Br. Indian Ocean Ter.,0,Br. Indian Ocean Ter.,br. indian ocean ter.,British Indian Ocean Territory (UK),1.0,WB_SMALL50XENDEMIC100,Br. Indian Ocean Ter.,0.0,Understudied + priority area
IOT,Br. Indian Ocean Ter.,0,Br. Indian Ocean Ter.,br. indian ocean ter.,British Indian Ocean Territory (UK),12.0,WB_TPROB80,Br. Indian Ocean Ter.,0.0,Understudied + priority area
IOT,Br. Indian Ocean Ter.,0,Br. Indian Ocean Ter.,br. indian ocean ter.,British Indian Ocean Territory (UK),1386.0,WB_TOTAL,Br. Indian Ocean Ter.,0.0,Understudied + priority area
VGB,British Virgin Is.,0,British Virgin Is.,british virgin is.,British Virgin Islands,12.0,WB_SMALL50XENDEMIC100,British Virgin Is.,0.0,Understudied + priority area
VGB,British Virgin Is.,0,British Virgin Is.,british virgin is.,British Virgin Islands,190.0,WB_TPROB80,British Virgin Is.,0.0,Understudied + priority area
VGB,British Virgin Is.,0,British Virgin Is.,british virgin is.,British Virgin Islands,7078.0,WB_TOTAL,British Virgin Is.,0.0,Understudied + priority area
KHM,Cambodia,0,Cambodia,cambodia,Cambodia,46.0,WB_SMALL50XENDEMIC100,Cambodia,0.0,Understudied + priority area
KHM,Cambodia,0,Cambodia,cambodia,Cambodia,125.0,WB_TPROB80,Cambodia,0.0,Understudied + priority area
KHM,Cambodia,0,Cambodia,cambodia,Cambodia,11117.0,WB_TOTAL,Cambodia,0.0,Understudied + priority area
CPV,Cape Verde,0,Cape Verde,cape verde,Cabo Verde,117.0,WB_SMALL50XENDEMIC100,,,Understudied + priority area
CPV,Cape Verde,0,Cape Verde,cape verde,Cabo Verde,100.0,WB_TPROB80,,,Understudied + priority area
CPV,Cape Verde,0,Cape Verde,cape verde,Cabo Verde,2499.0,WB_TOTAL,,,Understudied + priority area
CYM,Cayman Is.,0,Cayman Is.,cayman is.,Cayman Islands,42.0,WB_SMALL50XENDEMIC100,Cayman Is.,0.0,Understudied + priority area
CYM,Cayman Is.,0,Cayman Is.,cayman is.,Cayman Islands,207.0,WB_TPROB80,Cayman Is.,0.0,Understudied + priority area
CYM,Cayman Is.,0,Cayman Is.,cayman is.,Cayman Islands,9639.0,WB_TOTAL,Cayman Is.,0.0,Understudied + priority area
CAF,Central African Rep.,0,Central African Rep.,central african rep.,Central African Republic,15.0,WB_SMALL50XENDEMIC100,Central African Rep.,0.0,Understudied + priority area
CAF,Central African Rep.,0,Central African Rep.,central african rep.,Central African Republic,31.0,WB_TPROB80,Central African Rep.,0.0,Understudied + priority area
CAF,Central African Rep.,0,Central African Rep.,central african rep.,Central African Republic,5621.0,WB_TOTAL,Central African Rep.,0.0,Understudied + priority area
COM,Comoros,0,Comoros,comoros,Comoros,47.0,WB_SMALL50XENDEMIC100,Comoros,0.0,Understudied + priority area
COM,Comoros,0,Comoros,comoros,Comoros,56.0,WB_TPROB80,Comoros,0.0,Understudied + priority area
COM,Comoros,0,Comoros,comoros,Comoros,5052.0,WB_TOTAL,Comoros,0.0,Understudied + priority area
COK,Cook Is.,0,Cook Is.,cook is.,Cook Islands,23.0,WB_SMALL50XENDEMIC100,Cook Is.,0.0,Understudied + priority area
COK,Cook Is.,0,Cook Is.,cook is.,Cook Islands,27.0,WB_TPROB80,Cook Is.,0.0,Understudied + priority area
COK,Cook Is.,0,Cook Is.,cook is.,Cook Islands,1790.0,WB_TOTAL,Cook Is.,0.0,Understudied + priority area
CUW,Curaçao,0,Curaçao,curaçao,Curacao,23.0,WB_SMALL50XENDEMIC100,Curaçao,0.0,Understudied + priority area
CUW,Curaçao,0,Curaçao,curaçao,Curacao,205.0,WB_TPROB80,Curaçao,0.0,Understudied + priority area
CUW,Curaçao,0,Curaçao,curaçao,Curacao,9077.0,WB_TOTAL,Curaçao,0.0,Understudied + priority area
PRK,Dem. Rep. Korea,0,Dem. Rep. Korea,dem. rep. korea,"Korea, Dem. People's Rep.",0.0,WB_SMALL50XENDEMIC100,,,Understudied + priority area
PRK,Dem. Rep. Korea,0,Dem. Rep. Korea,dem. rep. korea,"Korea, Dem. People's Rep.",177.0,WB_TPROB80,,,Understudied + priority area
PRK,Dem. Rep. Korea,0,Dem. Rep. Korea,dem. rep. korea,"Korea, Dem. People's Rep.",9858.0,WB_TOTAL,,,Understudied + priority area
DJI,Djibouti,0,Djibouti,djibouti,Djibouti,5.0,WB_SMALL50XENDEMIC100,Djibouti,0.0,Understudied + priority area
DJI,Djibouti,0,Djibouti,djibouti,Djibouti,22.0,WB_TPROB80,Djibouti,0.0,Understudied + priority area
