iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
CHN,China,1600,36.6914066943658,103.37804954019,2024,18743803170827.2,13.272857715075011
USA,United States of America,909,44.7437315933838,-103.629562815378,2024,28750956130731.2,13.458652291995941
IND,India,709,22.7766430406963,79.5639109389664,2024,3909891533858.08,12.592164709595279
BRA,Brazil,508,-10.6390487701916,-53.2157339228017,2024,2185821648943.86,12.339614723011916
CAN,Canada,225,60.4177669822984,-96.5486267197423,2024,2243636826633.76,12.350952559824094
AUS,Australia,223,-25.7641815561038,134.30382913002,2024,1757022451652.83,12.244777311049441
IDN,Indonesia,213,-2.26406781680181,117.179729817036,2024,1396300098190.97,12.144978768560598
ITA,Italy,206,42.7156861349631,12.2010485239598,2024,2380825077243.59,12.376727488316035
NER,Niger,198,17.412007956852,9.33161006984644,2024,19876128485.7857,10.298331795503932
EGY,Egypt,177,26.4598028985904,29.8782696549861,2024,389059911003.566,11.590016483111897
THA,Thailand,176,15.0825849496213,101.000648503115,2024,526517658841.684,11.721412941540292
KOR,South Korea,174,36.3733672308111,127.834771142642,2024,1875388209406.8,12.273091181264805
ESP,Spain,161,40.2076540000071,-3.70353622939026,2024,1725671652742.19,12.236958165094311
NZL,New Zealand,160,-41.70233373206,172.921343850907,2024,260172385097.616,11.415261198312523
ARG,Argentina,148,-34.6839876743353,-64.7626148983941,2024,638365455340.04,11.805069377463727
JPN,Japan,147,37.4608804853389,137.66000627904901,2024,4027597523550.58,12.605046065150123
IRN,Iran,136,32.5273359426532,54.4408756065363,2024,475252089215.416,11.676924034706827
MEX,Mexico,133,23.9241551704984,-102.170985308226,2024,1856365616165.94,12.268663515765258
ZAF,South Africa,117,-28.9742085225055,25.1934382247275,2024,401144998373.585,11.603301381625652
DEU,Germany,113,51.0505771978561,10.3643715937045,2024,4685592577804.69,12.670764523077906
POL,Poland,105,52.111835614271,19.4197062974278,2024,917767106146.761,11.96273248801221
PAK,Pakistan,85,29.883945351266,69.1684395572922,2024,371570000121.266,11.57004064259895
MYS,Malaysia,82,3.8111404318149,109.699342986129,2024,422227005428.688,11.62554600711845
GBR,United Kingdom,82,54.0116497480881,-2.75814205608557,2024,3686033044482.13,12.566559224255794
ATA,Antarctica,75,-84.9385929477074,82.0706689749783,NA,NA,NA
SAU,Saudi Arabia,71,24.0865579782446,44.6631748168919,2024,1239804533333.33,12.093353220012046
TWN,Taiwan,67,23.7502041987188,120.951465589739,NA,NA,NA
FIN,Finland,63,64.255135991488,26.1949731018386,2024,298696961297.656,11.47523080446428
CHL,Chile,61,-36.0762465062762,-71.0561908536527,2024,330267137371.592,11.518865362161858
NLD,Netherlands,54,52.2269195770955,4.99154802314379,2024,1214927698572.66,12.084550433452657
RUS,Russia,52,66.031721934886,95.6413766746893,2024,2173835806671.66,12.337226738025617
CHE,Switzerland,51,46.7988964206596,8.2062819999427,2024,936564198048.516,11.97153755202907
PAN,Panama,47,8.52023299527355,-80.1187762438785,2024,86523959131.7472,10.93713638351014
PRT,Portugal,47,39.6062103116453,-8.52813019289129,2024,313271185085.102,11.495920449991663
COL,Colombia,45,3.90348006031405,-73.0770322696693,2024,418818154879.271,11.622025499160088
TUR,Turkey,45,39.137013307072,35.1728012224334,2024,1359123768774.12,12.13325900761409
SWE,Sweden,38,62.3836560723776,16.2669501808054,2024,603715224265.798,11.780832127868148
DZA,Algeria,37,28.055993421913,2.63118841954702,2024,269322281664.773,11.430272285100166
BGD,Bangladesh,35,23.8606661326485,90.2471041127559,2024,450119432068.852,11.65332776223443
NGA,Nigeria,35,9.59094556758435,8.0795868551995,2024,252261880141.151,11.401851628261783
LKA,Sri Lanka,35,7.61103817767182,80.7016320171591,2024,98963185509.6499,10.995473666279482
CMR,Cameroon,34,5.68116800254082,12.7339439705861,2024,53296694320.2057,10.726700273135114
ECU,Ecuador,34,-1.4241098578538,-78.749298314531,2024,124676074700,11.095783120497925
MAR,Morocco,34,29.7668591255143,-8.72784776313941,2024,160610994054.734,11.205775270045308
CRI,Costa Rica,31,9.97613127767004,-84.1898695369301,2024,95350423176.5962,10.979322624837218
