metric,value
Total papers with resolved plant host,12527
Papers studying Poaceae,3059
Percent studying Poaceae,24.41925441047338
"Papers studying major crop families (Poaceae, Fabaceae, Solanaceae)",4582
Percent studying major crop families,36.57699369362178
Papers studying major crop/ag genera,4861
Percent studying major crop/ag genera,38.80418296479604
Total papers with resolved fungal host,10909
Papers studying Fusarium,1207
Percent studying Fusarium,11.064258868823906
Papers studying Aspergillus,880
Percent studying Aspergillus,8.066733889449079
Papers studying Epichloe,845
Percent studying Epichloe,7.745897882482354
Papers studying Alternaria,526
Percent studying Alternaria,4.821706847557063
Papers studying Penicillium,514
Percent studying Penicillium,4.711705930882757
Papers studying Trichoderma,486
Percent studying Trichoderma,4.455037125309377
Papers studying Colletotrichum,437
Percent studying Colletotrichum,4.005866715555963
Total studied fungal species (unique),2850
Studied Ascomycota species,2419
Percent of fungal species that are Ascomycota,84.87719298245614
