genus,phylum,family,study_count,percent_of_fungal_studies
Fusarium,Ascomycota,Nectriaceae,1207,11.064258868823906
Aspergillus,Ascomycota,Aspergillaceae,880,8.066733889449079
Epichloe,Ascomycota,Clavicipitaceae,845,7.745897882482354
Alternaria,Ascomycota,Pleosporaceae,526,4.821706847557063
Penicillium,Ascomycota,Aspergillaceae,514,4.711705930882757
Trichoderma,Ascomycota,Hypocreaceae,486,4.455037125309377
Colletotrichum,Ascomycota,Glomerellaceae,437,4.005866715555963
Serendipita,Basidiomycota,Serendipitaceae,415,3.804198368319736
Diaporthe,Ascomycota,Diaporthaceae,285,2.612521771014759
Beauveria,Ascomycota,Cordycipitaceae,279,2.557521312677606
Chaetomium,Ascomycota,Chaetomiaceae,161,1.4758456320469338
Cladosporium,Ascomycota,Cladosporiaceae,155,1.420845173709781
Metarhizium,Ascomycota,Clavicipitaceae,141,1.292510770923091
Talaromyces,Ascomycota,Aspergillaceae,134,1.228343569529746
Rhizophagus,Glomeromycota,Glomeraceae,133,1.2191768264735539
Rhizoctonia,Basidiomycota,Ceratobasidiaceae,133,1.2191768264735539
Lasiodiplodia,Ascomycota,Botryosphaeriaceae,131,1.2008433403611696
Pestalotiopsis,Ascomycota,Pestalotiopsidaceae,127,1.1641763681364012
Curvularia,Ascomycota,Pleosporaceae,123,1.1275093959116327
Botrytis,Ascomycota,Sclerotiniaceae,119,1.0908424236868641
Phyllosticta,Ascomycota,Phyllostictaceae,107,0.9808415070125585
Funneliformis,Glomeromycota,Glomeraceae,105,0.9625080209001743
Neofusicoccum,Ascomycota,Botryosphaeriaceae,105,0.9625080209001743
Phialocephala,Ascomycota,Mollisiaceae,102,0.9350077917315979
Nigrospora,Ascomycota,Trichosphaeriaceae,96,0.8800073333944449
Epicoccum,Ascomycota,Didymellaceae,96,0.8800073333944449
Sarocladium,Ascomycota,Sarocladiaceae,80,0.7333394444953708
Hyaloscypha,Ascomycota,Hyaloscyphaceae,78,0.7150059583829865
Xylaria,Ascomycota,Xylariaceae,71,0.6508387569896416
Verticillium,Ascomycota,Plectosphaerellaceae,68,0.6233385278210651
Bipolaris,Ascomycota,Pleosporaceae,66,0.6050050417086809
Macrophomina,Ascomycota,Botryosphaeriaceae,59,0.540837840315336
Pyricularia,Ascomycota,Pyriculariaceae,58,0.5316710972591439
Aureobasidium,Ascomycota,Saccotheciaceae,55,0.5041708680905674
Botryosphaeria,Ascomycota,Botryosphaeriaceae,53,0.48583738197818316
Ustilago,Basidiomycota,Ustilaginaceae,52,0.4766706389219911
Emericella,Ascomycota,Aspergillaceae,52,0.4766706389219911
Clonostachys,Ascomycota,Bionectriaceae,51,0.46750389586579894
Paecilomyces,Ascomycota,Aspergillaceae,50,0.4583371528096068
Lophodermium,Ascomycota,Rhytismataceae,47,0.4308369236410303
Daldinia,Ascomycota,Hypoxylaceae,47,0.4308369236410303
Induratia,Ascomycota,Induratiaceae,46,0.4216701805848382
Entrophospora,Glomeromycota,Entrophosporaceae,45,0.41250343752864604
Sclerotinia,Ascomycota,Sclerotiniaceae,45,0.41250343752864604
Acremonium,Ascomycota,Bionectriaceae,45,0.41250343752864604
Didymella,Ascomycota,Didymellaceae,45,0.41250343752864604
Sphaeropsis,Ascomycota,Botryosphaeriaceae,42,0.3850032083600697
Diplodia,Ascomycota,Botryosphaeriaceae,41,0.3758364653038775
Neopestalotiopsis,Ascomycota,Pestalotiopsidaceae,37,0.339169493079109
Stemphylium,Ascomycota,Pleosporaceae,37,0.339169493079109
Mucor,Mucoromycota,Mucoraceae,36,0.33000275002291685
Athelia,Basidiomycota,Atheliaceae,36,0.33000275002291685
Exophiala,Ascomycota,Herpotrichiellaceae,34,0.31166926391053257
Acaulospora,Glomeromycota,Acaulosporaceae,33,0.30250252085434043
Paraphoma,Ascomycota,Phaeosphaeriaceae,33,0.30250252085434043
Microdochium,Ascomycota,Amphisphaeriaceae,32,0.29333577779814834
Podosphaera,Ascomycota,Erysiphaceae,32,0.29333577779814834
Cercospora,Ascomycota,Mycosphaerellaceae,31,0.2841690347419562
Phomopsis,Ascomycota,Diaporthaceae,31,0.2841690347419562
Cytospora,Ascomycota,Valsaceae,31,0.2841690347419562
Biscogniauxia,Ascomycota,Graphostromataceae,30,0.27500229168576407
Zymoseptoria,Ascomycota,Mycosphaerellaceae,29,0.2658355486295719
Purpureocillium,Ascomycota,Ophiocordycipitaceae,29,0.2658355486295719
Puccinia,Basidiomycota,Pucciniaceae,29,0.2658355486295719
Erysiphe,Ascomycota,Erysiphaceae,29,0.2658355486295719
Rhizopus,Mucoromycota,Rhizopodaceae,29,0.2658355486295719
Periconia,Ascomycota,Periconiaceae,28,0.2566688055733798
Phoma,Ascomycota,Didymellaceae,28,0.2566688055733798
Candida,Ascomycota,Debaryomycetaceae,28,0.2566688055733798
Apiospora,Ascomycota,Apiosporaceae,28,0.2566688055733798
Glomus,Glomeromycota,Glomeraceae,28,0.2566688055733798
Metacordyceps,Ascomycota,Clavicipitaceae,28,0.2566688055733798
Pezicula,Ascomycota,Dermateaceae,25,0.2291685764048034
Apiognomonia,Ascomycota,Gnomoniaceae,25,0.2291685764048034
Exserohilum,Ascomycota,Pleosporaceae,24,0.22000183334861123
Gigaspora,Glomeromycota,Gigasporaceae,24,0.22000183334861123
Hypoxylon,Ascomycota,Hypoxylaceae,24,0.22000183334861123
Dothiorella,Ascomycota,Botryosphaeriaceae,23,0.2108350902924191
Pyrenophora,Ascomycota,Pleosporaceae,22,0.20166834723622695
Plectosphaerella,Ascomycota,Plectosphaerellaceae,22,0.20166834723622695
Corynespora,Ascomycota,Corynesporascaceae,21,0.19250160418003484
Acrocalymma,Ascomycota,Acrocalymmaceae,21,0.19250160418003484
Ilyonectria,Ascomycota,Nectriaceae,21,0.19250160418003484
Rhodotorula,Basidiomycota,Sporidiobolaceae,20,0.1833348611238427
Pseudopestalotiopsis,Ascomycota,Pestalotiopsidaceae,20,0.1833348611238427
Venturia,Ascomycota,Venturiaceae,20,0.1833348611238427
Gaeumannomyces,Ascomycota,Magnaporthaceae,20,0.1833348611238427
Schizophyllum,Basidiomycota,Schizophyllaceae,19,0.17416811806765056
Cladophialophora,Ascomycota,Herpotrichiellaceae,19,0.17416811806765056
Mycosphaerella,Ascomycota,Mycosphaerellaceae,19,0.17416811806765056
Cadophora,Ascomycota,Ploettnerulaceae,19,0.17416811806765056
Sydowia,Ascomycota,Dothioraceae,19,0.17416811806765056
Ganoderma,Basidiomycota,Polyporaceae,18,0.16500137501145842
Claviceps,Ascomycota,Clavicipitaceae,18,0.16500137501145842
Blumeria,Ascomycota,Erysiphaceae,18,0.16500137501145842
Pseudocercospora,Ascomycota,Mycosphaerellaceae,18,0.16500137501145842
Suillus,Basidiomycota,Suillaceae,17,0.15583463195526628
Neonectria,Ascomycota,Nectriaceae,17,0.15583463195526628
Ceratocystis,Ascomycota,Ceratocystidaceae,17,0.15583463195526628
Tulasnella,Basidiomycota,Tulasnellaceae,17,0.15583463195526628
