family,study_count,percent_of_studies
Poaceae,3059,24.41925441047338
Fabaceae,930,7.423964237247545
Solanaceae,627,5.005188792208829
Asteraceae,419,3.3447752853835713
Pinaceae,389,3.1052925680530055
Brassicaceae,301,2.4028099305500117
Rosaceae,236,1.8839307096671192
Orchidaceae,200,1.59655144887044
Vitaceae,200,1.59655144887044
Fagaceae,198,1.5805859343817354
Malvaceae,183,1.4608445757164525
Ericaceae,176,1.4049652750059871
Cucurbitaceae,129,1.0297756845214339
Amaranthaceae,127,1.0138101700327293
Euphorbiaceae,122,0.9738963838109684
Apocynaceae,120,0.9579308693222639
Rhizophoraceae,111,0.8860860541230942
Rubiaceae,110,0.8781032968787419
Myrtaceae,99,0.7902929671908677
Oleaceae,97,0.7743274527021633
Araliaceae,92,0.7344136664804024
Salicaceae,90,0.718448151991698
Acanthaceae,88,0.7024826375029936
Rutaceae,86,0.6865171230142891
Zingiberaceae,82,0.6545860940368803
Betulaceae,81,0.6466033367925281
Theaceae,76,0.6066895505707671
Arecaceae,73,0.5827412788377105
Lycopodiaceae,72,0.5747585215933584
Anacardiaceae,65,0.518879220882893
Cupressaceae,64,0.5108964636385408
Amaryllidaceae,63,0.5029137063941885
Lauraceae,61,0.4869481919054842
Sapindaceae,60,0.47896543466113195
Polygonaceae,59,0.4709826774167798
Musaceae,58,0.4629999201724275
Apiaceae,56,0.44703440568372316
Moraceae,55,0.43905164843937095
Combretaceae,45,0.359224075995849
Thymelaeaceae,45,0.359224075995849
Annonaceae,44,0.3512413187514968
Ginkgoaceae,44,0.3512413187514968
Piperaceae,44,0.3512413187514968
Asparagaceae,40,0.319310289774088
Berberidaceae,38,0.30334477528538356
Lythraceae,38,0.30334477528538356
Plantaginaceae,37,0.29536201804103135
Dioscoreaceae,34,0.27141374630797477
Celastraceae,32,0.2554482318192704
Cactaceae,31,0.2474654745749182
Araceae,30,0.23948271733056598
Cyperaceae,30,0.23948271733056598
Cannabaceae,28,0.22351720284186158
Juglandaceae,28,0.22351720284186158
Menispermaceae,27,0.21553444559750937
Clusiaceae,26,0.20755168835315715
Melanthiaceae,26,0.20755168835315715
Primulaceae,25,0.199568931108805
Caryophyllaceae,23,0.1836034166201006
Iridaceae,23,0.1836034166201006
Lamiaceae,22,0.1756206593757484
Asphodelaceae,21,0.16763790213139618
Bignoniaceae,19,0.15167238764269178
Paeoniaceae,19,0.15167238764269178
Scrophulariaceae,18,0.1436896303983396
Cephalotaxaceae,17,0.13570687315398738
Papaveraceae,17,0.13570687315398738
Schisandraceae,17,0.13570687315398738
Burseraceae,16,0.1277241159096352
Rhamnaceae,16,0.1277241159096352
Aquifoliaceae,15,0.11974135866528299
Caricaceae,15,0.11974135866528299
Casuarinaceae,15,0.11974135866528299
Crassulaceae,15,0.11974135866528299
Geraniaceae,15,0.11974135866528299
Bromeliaceae,14,0.11175860142093079
Campanulaceae,14,0.11175860142093079
Nyssaceae,14,0.11175860142093079
Phyllanthaceae,14,0.11175860142093079
Plumbaginaceae,14,0.11175860142093079
Pteridaceae,14,0.11175860142093079
Rehmanniaceae,14,0.11175860142093079
Magnoliaceae,13,0.10377584417657858
Passifloraceae,13,0.10377584417657858
Saururaceae,13,0.10377584417657858
Dilleniaceae,12,0.09579308693222639
Liliaceae,12,0.09579308693222639
Podocarpaceae,12,0.09579308693222639
Tamaricaceae,12,0.09579308693222639
Balsaminaceae,11,0.0878103296878742
Dipterocarpaceae,11,0.0878103296878742
Ephedraceae,11,0.0878103296878742
Juncaceae,11,0.0878103296878742
Pontederiaceae,11,0.0878103296878742
Rhodomelaceae,11,0.0878103296878742
Elaeagnaceae,10,0.079827572443522
Gentianaceae,10,0.079827572443522
Hydrocharitaceae,10,0.079827572443522
Hypericaceae,10,0.079827572443522
Loranthaceae,10,0.079827572443522
Sapotaceae,10,0.079827572443522
Ulmaceae,10,0.079827572443522
Zygophyllaceae,10,0.079827572443522
Boraginaceae,9,0.0718448151991698
Vochysiaceae,9,0.0718448151991698
Actinidiaceae,8,0.0638620579548176
Aizoaceae,8,0.0638620579548176
Araucariaceae,8,0.0638620579548176
Cornaceae,8,0.0638620579548176
Costaceae,8,0.0638620579548176
Nothofagaceae,8,0.0638620579548176
Platanaceae,8,0.0638620579548176
Proteaceae,8,0.0638620579548176
Santalaceae,8,0.0638620579548176
Simaroubaceae,8,0.0638620579548176
Smilacaceae,8,0.0638620579548176
Typhaceae,8,0.0638620579548176
Urticaceae,8,0.0638620579548176
Verbenaceae,8,0.0638620579548176
Calophyllaceae,7,0.055879300710465395
Colchicaceae,7,0.055879300710465395
Marchantiaceae,7,0.055879300710465395
Polytrichaceae,7,0.055879300710465395
Dryopteridaceae,6,0.047896543466113196
Ebenaceae,6,0.047896543466113196
Lecythidaceae,6,0.047896543466113196
Melastomataceae,6,0.047896543466113196
Nelumbonaceae,6,0.047896543466113196
Nymphaeaceae,6,0.047896543466113196
Pedaliaceae,6,0.047896543466113196
Posidoniaceae,6,0.047896543466113196
Ranunculaceae,6,0.047896543466113196
Scorpidiaceae,6,0.047896543466113196
Cistaceae,5,0.039913786221761
Codiaceae,5,0.039913786221761
Gracilariaceae,5,0.039913786221761
Myristicaceae,5,0.039913786221761
Polygalaceae,5,0.039913786221761
Saxifragaceae,5,0.039913786221761
Viburnaceae,5,0.039913786221761
Winteraceae,5,0.039913786221761
Chlorellaceae,4,0.0319310289774088
Commelinaceae,4,0.0319310289774088
Cordiaceae,4,0.0319310289774088
Eriocaulaceae,4,0.0319310289774088
Gigartinaceae,4,0.0319310289774088
Grimmiaceae,4,0.0319310289774088
Nitrariaceae,4,0.0319310289774088
Onagraceae,4,0.0319310289774088
Ophioglossaceae,4,0.0319310289774088
Oxalidaceae,4,0.0319310289774088
Pandanaceae,4,0.0319310289774088
Salviniaceae,4,0.0319310289774088
Selaginellaceae,4,0.0319310289774088
Styracaceae,4,0.0319310289774088
Thelypteridaceae,4,0.0319310289774088
Ulvaceae,4,0.0319310289774088
Viscaceae,4,0.0319310289774088
Acoraceae,3,0.023948271733056598
Anastrophyllaceae,3,0.023948271733056598
Basellaceae,3,0.023948271733056598
Buxaceae,3,0.023948271733056598
Convolvulaceae,3,0.023948271733056598
Cyatheaceae,3,0.023948271733056598
Droseraceae,3,0.023948271733056598
Funariaceae,3,0.023948271733056598
Gelsemiaceae,3,0.023948271733056598
Hamamelidaceae,3,0.023948271733056598
Heliotropiaceae,3,0.023948271733056598
Hylocomiaceae,3,0.023948271733056598
Lepidoziaceae,3,0.023948271733056598
Phytolaccaceae,3,0.023948271733056598
Anemiaceae,2,0.0159655144887044
Aristolochiaceae,2,0.0159655144887044
Aytoniaceae,2,0.0159655144887044
Bixaceae,2,0.0159655144887044
Burmanniaceae,2,0.0159655144887044
Cannaceae,2,0.0159655144887044
Chrysobalanaceae,2,0.0159655144887044
Cochlospermaceae,2,0.0159655144887044
Corallinaceae,2,0.0159655144887044
Coriariaceae,2,0.0159655144887044
Corsiaceae,2,0.0159655144887044
Cymodoceaceae,2,0.0159655144887044
Dasyaceae,2,0.0159655144887044
Datiscaceae,2,0.0159655144887044
Elaeocarpaceae,2,0.0159655144887044
Goodeniaceae,2,0.0159655144887044
Haloragaceae,2,0.0159655144887044
Halymeniaceae,2,0.0159655144887044
Hernandiaceae,2,0.0159655144887044
Isoetaceae,2,0.0159655144887044
Lophocoleaceae,2,0.0159655144887044
Lunulariaceae,2,0.0159655144887044
Myricaceae,2,0.0159655144887044
Nephrolepidaceae,2,0.0159655144887044
Paulowniaceae,2,0.0159655144887044
Polemoniaceae,2,0.0159655144887044
Portulacaceae,2,0.0159655144887044
Stemonaceae,2,0.0159655144887044
Talinaceae,2,0.0159655144887044
Trichocoleaceae,2,0.0159655144887044
Velloziaceae,2,0.0159655144887044
Ximeniaceae,2,0.0159655144887044
Zamiaceae,2,0.0159655144887044
Zosterophyllaceae,2,0.0159655144887044
Achatocarpaceae,1,0.0079827572443522
Alzateaceae,1,0.0079827572443522
Aneuraceae,1,0.0079827572443522
Anthocerotaceae,1,0.0079827572443522
