genus,family,study_count,percent_of_studies,is_major_crop_genus
Lolium,Poaceae,993,7.926877943641735,TRUE
Solanum,Solanaceae,439,3.5044304302706157,TRUE
Oryza,Poaceae,390,3.1132753252973577,TRUE
Zea,Poaceae,357,2.849844336233735,TRUE
Triticum,Poaceae,329,2.6263271333918734,TRUE
Pinus,Pinaceae,221,1.764189351001836,FALSE
Vitis,Vitaceae,194,1.5486549054043266,TRUE
Glycine,Fabaceae,181,1.444879061227748,TRUE
Hordeum,Poaceae,144,1.1495170431867168,TRUE
Arabidopsis,Brassicaceae,143,1.1415342859423645,FALSE
Brassica,Brassicaceae,137,1.0936377424762511,TRUE
Quercus,Fagaceae,122,0.9738963838109684,FALSE
Picea,Pinaceae,114,0.9100343258561507,FALSE
Malus,Rosaceae,108,0.8621377823900375,TRUE
Achnatherum,Poaceae,98,0.7823102099465155,FALSE
Festuca,Poaceae,90,0.718448151991698,TRUE
Phaseolus,Fabaceae,89,0.7104653947473457,TRUE
Vaccinium,Ericaceae,83,0.6625688512812324,TRUE
Nicotiana,Solanaceae,79,0.6306378223038238,TRUE
Cucumis,Cucurbitaceae,78,0.6226550650594715,TRUE
Panax,Araliaceae,77,0.6146723078151194,FALSE
Camellia,Theaceae,74,0.5907240360820627,TRUE
Arachis,Fabaceae,70,0.558793007104654,TRUE
Populus,Salicaceae,70,0.558793007104654,FALSE
Dendrobium,Orchidaceae,67,0.5348447353715974,FALSE
Gossypium,Malvaceae,61,0.4869481919054842,TRUE
Artemisia,Asteraceae,60,0.47896543466113195,FALSE
Huperzia,Lycopodiaceae,60,0.47896543466113195,FALSE
Citrus,Rutaceae,59,0.4709826774167798,TRUE
Prunus,Rosaceae,59,0.4709826774167798,TRUE
Rhizophora,Rhizophoraceae,59,0.4709826774167798,FALSE
Theobroma,Malvaceae,59,0.4709826774167798,TRUE
Musa,Musaceae,58,0.4629999201724275,TRUE
Trifolium,Fabaceae,58,0.4629999201724275,TRUE
Fagus,Fagaceae,55,0.43905164843937095,FALSE
Lactuca,Asteraceae,54,0.43106889119501873,FALSE
Medicago,Fabaceae,54,0.43106889119501873,TRUE
Allium,Amaryllidaceae,52,0.4151033767063143,TRUE
Olea,Oleaceae,52,0.4151033767063143,TRUE
Capsicum,Solanaceae,49,0.39115510497325773,TRUE
Saccharum,Poaceae,48,0.38317234772890557,TRUE
Avicennia,Acanthaceae,46,0.3672068332402012,FALSE
Vigna,Fabaceae,46,0.3672068332402012,TRUE
Astragalus,Fabaceae,45,0.359224075995849,FALSE
Vicia,Fabaceae,45,0.359224075995849,FALSE
Coffea,Rubiaceae,44,0.3512413187514968,TRUE
Ginkgo,Ginkgoaceae,44,0.3512413187514968,FALSE
Bromus,Poaceae,43,0.34325856150714457,FALSE
Catharanthus,Apocynaceae,43,0.34325856150714457,FALSE
Elymus,Poaceae,42,0.33527580426279235,FALSE
Betula,Betulaceae,41,0.32729304701844014,FALSE
Fragaria,Rosaceae,41,0.32729304701844014,TRUE
Eucalyptus,Myrtaceae,39,0.3113275325297358,FALSE
Helianthus,Asteraceae,39,0.3113275325297358,FALSE
Piper,Piperaceae,39,0.3113275325297358,FALSE
Phragmites,Poaceae,37,0.29536201804103135,FALSE
Cicer,Fabaceae,35,0.279396503552327,TRUE
Euphorbia,Euphorbiaceae,35,0.279396503552327,FALSE
Dioscorea,Dioscoreaceae,34,0.27141374630797477,TRUE
Fraxinus,Oleaceae,33,0.2634309890636226,FALSE
